Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8
0,000	6,725	-0,006
0,050	6,725	-0,008
0,100	6,725	-0,007
0,150	6,725	-0,008
0,200	6,725	-0,007
0,250	6,722	-0,008
0,300	6,701	-0,007
0,350	6,665	-0,008
0,400	6,641	-0,007
0,450	6,621	-0,008
0,500	6,608	-0,007
0,550	6,590	-0,008
0,600	6,570	-0,008
0,650	6,547	-0,009
0,700	6,527	-0,008
0,750	6,508	-0,009
0,800	6,486	-0,008
0,850	6,457	-0,009
0,900	6,427	-0,008
0,950	6,399	-0,009
1,000	6,376	-0,009
1,050	6,353	-0,010
1,100	6,323	-0,009
1,150	6,289	-0,010
1,200	6,255	-0,009
1,250	6,222	-0,010
1,300	6,189	-0,009
1,350	6,160	-0,010
1,400	6,133	-0,009
1,450	6,105	-0,010
1,500	6,073	-0,010
1,550	6,028	-0,011
1,600	5,986	-0,010
1,650	5,961	-0,011
1,700	5,949	-0,010
1,750	5,935	-0,012
1,800	5,925	-0,011
1,850	5,913	-0,012
1,900	5,902	-0,010
1,950	5,889	-0,011
2,000	5,876	-0,011
2,050	5,863	-0,012
2,100	5,852	-0,011
2,150	5,840	-0,012
2,200	5,830	-0,011
2,250	5,816	-0,012
2,300	5,800	-0,011
2,350	5,786	-0,012
2,400	5,773	-0,011
2,450	5,764	-0,012
2,500	5,753	-0,011
2,550	5,739	-0,013
2,600	5,721	-0,012
2,650	5,699	-0,013
2,700	5,683	-0,012
2,750	5,674	-0,013
2,800	5,670	-0,012
2,850	5,662	-0,013
2,900	5,650	-0,012
2,950	5,632	-0,014
3,000	5,618	-0,012
3,050	5,605	-0,013
3,100	5,595	-0,012
3,150	5,583	-0,013
3,200	5,568	-0,012
3,250	5,547	-0,014
3,300	5,523	-0,013
3,350	5,497	-0,014
3,400	5,475	-0,013
3,450	5,454	-0,014
3,500	5,439	-0,013
3,550	5,424	-0,014
3,600	5,411	-0,013
3,650	5,397	-0,014
3,700	5,383	-0,013
3,750	5,366	-0,015
3,800	5,354	-0,013
3,850	5,345	-0,015
3,900	5,331	-0,013
3,950	5,314	-0,015
4,000	5,302	-0,013
4,050	5,292	-0,015
4,100	5,279	-0,014
4,150	5,263	-0,015
4,200	5,247	-0,014
4,250	5,231	-0,015
4,300	5,215	-0,014
4,350	5,198	-0,015
4,400	5,180	-0,014
4,450	5,162	-0,016
4,500	5,147	-0,015
4,550	5,136	-0,016
4,600	5,124	-0,015
4,650	5,116	-0,016
4,700	5,106	-0,015
4,750	5,098	-0,016
4,800	5,095	-0,015
4,850	5,085	-0,016
4,900	5,075	-0,015
4,950	5,065	-0,016
5,000	5,059	-0,015
5,050	5,049	-0,016
5,100	5,043	-0,015
5,150	5,039	-0,016
5,200	5,030	-0,016
5,250	5,017	-0,017
5,300	5,003	-0,015
5,350	4,990	-0,016
5,400	4,978	-0,015
5,450	4,970	-0,017
5,500	4,959	-0,016
5,550	4,947	-0,017
5,600	4,938	-0,016
5,650	4,926	-0,017
5,700	4,919	-0,016
5,750	4,912	-0,017
5,800	4,903	-0,016
5,850	4,898	-0,017
5,900	4,894	-0,016
5,950	4,884	-0,017
6,000	4,873	-0,016
6,050	4,864	-0,017
6,100	4,854	-0,016
6,150	4,844	-0,017
6,200	4,831	-0,016
6,250	4,812	-0,018
6,300	4,795	-0,017
6,350	4,781	-0,018
6,400	4,769	-0,017
6,450	4,759	-0,018
6,500	4,755	-0,017
6,550	4,747	-0,018
6,600	4,740	-0,017
6,650	4,728	-0,018
6,700	4,722	-0,017
6,750	4,714	-0,019
6,800	4,706	-0,017
6,850	4,700	-0,019
6,900	4,692	-0,018
6,950	4,683	-0,018
7,000	4,672	-0,017
7,050	4,666	-0,018
7,100	4,658	-0,018
7,150	4,650	-0,019
7,200	4,639	-0,018
7,250	4,631	-0,019
7,300	4,621	-0,018
7,350	4,614	-0,019
7,400	4,605	-0,018
7,450	4,597	-0,019
7,500	4,590	-0,018
7,550	4,580	-0,019
7,600	4,569	-0,018
7,650	4,557	-0,020
7,700	4,546	-0,018
7,750	4,533	-0,020
7,800	4,524	-0,019
7,850	4,512	-0,020
7,900	4,501	-0,019
7,950	4,486	-0,020
8,000	4,475	-0,019
8,050	4,464	-0,020
8,100	4,453	-0,019
8,150	4,441	-0,020
8,200	4,431	-0,019
8,250	4,420	-0,020
8,300	4,411	-0,019
8,350	4,401	-0,020
8,400	4,389	-0,019
8,450	4,380	-0,021
8,500	4,370	-0,019
8,550	4,357	-0,020
8,600	4,346	-0,019
8,650	4,333	-0,021
8,700	4,321	-0,020
8,750	4,312	-0,021
8,800	4,301	-0,020
8,850	4,293	-0,021
8,900	4,289	-0,020
8,950	4,286	-0,021
9,000	4,285	-0,020
9,050	4,285	-0,021
9,100	4,285	-0,020
9,150	4,285	-0,021
9,200	4,285	-0,020
9,250	4,284	-0,021
9,300	4,285	-0,020
9,350	4,284	-0,021
9,400	4,284	-0,020
9,450	4,284	-0,021
9,500	4,284	-0,020
9,550	4,284	-0,021
9,600	4,284	-0,020
9,650	4,284	-0,022
9,700	4,284	-0,020
9,750	4,284	-0,022
9,800	4,284	-0,021
9,850	4,284	-0,021
9,900	4,275	-0,021
9,950	4,249	-0,022
10,000	4,216	-0,021
10,050	4,189	-0,022
10,100	4,168	-0,021
10,150	4,144	-0,022
10,200	4,117	-0,021
10,250	4,089	-0,022
10,300	4,063	-0,021
10,350	4,035	-0,023
10,400	4,008	-0,022
10,450	3,987	-0,023
10,500	3,976	-0,022
10,550	3,963	-0,023
10,600	3,951	-0,022
10,650	3,935	-0,023
10,700	3,916	-0,022
10,750	3,894	-0,024
10,800	3,876	-0,023
10,850	3,865	-0,023
10,900	3,853	-0,023
10,950	3,846	-0,024
11,000	3,839	-0,023
11,050	3,820	-0,024
11,100	3,795	-0,023
11,150	3,773	-0,024
11,200	3,761	-0,023
11,250	3,753	-0,024
11,300	3,742	-0,023
11,350	3,725	-0,024
11,400	3,709	-0,024
11,450	3,689	-0,025
11,500	3,668	-0,024
11,550	3,645	-0,025
11,600	3,622	-0,024
11,650	3,600	-0,025
11,700	3,580	-0,024
11,750	3,558	-0,025
11,800	3,534	-0,024
11,850	3,511	-0,025
11,900	3,496	-0,025
11,950	3,482	-0,026
12,000	3,465	-0,025
12,050	3,446	-0,026
12,100	3,428	-0,025
12,150	3,410	-0,026
12,200	3,393	-0,025
12,250	3,376	-0,026
12,300	3,362	-0,025
12,350	3,349	-0,026
12,400	3,336	-0,025
12,450	3,321	-0,026
12,500	3,301	-0,025
12,550	3,277	-0,026
12,600	3,256	-0,025
12,650	3,243	-0,027
12,700	3,231	-0,026
12,750	3,220	-0,027
12,800	3,207	-0,026
12,850	3,192	-0,027
12,900	3,179	-0,026
12,950	3,169	-0,027
13,000	3,164	-0,026
13,050	3,161	-0,027
13,100	3,160	-0,026
13,150	3,159	-0,027
13,200	3,156	-0,026
13,250	3,149	-0,027
13,300	3,146	-0,026
13,350	3,143	-0,027
13,400	3,142	-0,026
13,450	3,142	-0,027
13,500	3,142	-0,026
13,550	3,141	-0,027
13,600	3,141	-0,027
13,650	3,140	-0,027
13,700	3,122	-0,026
13,750	3,083	-0,028
13,800	3,045	-0,027
13,850	3,008	-0,028
13,900	2,975	-0,027
13,950	2,945	-0,028
14,000	2,927	-0,027
14,050	2,916	-0,028
14,100	2,892	-0,027
14,150	2,851	-0,029
14,200	2,816	-0,028
14,250	2,792	-0,029
14,300	2,774	-0,028
14,350	2,759	-0,029
14,400	2,744	-0,028
14,450	2,728	-0,029
14,500	2,712	-0,028
14,550	2,696	-0,030
14,600	2,681	-0,029
14,650	2,668	-0,029
14,700	2,655	-0,029
14,750	2,639	-0,030
14,800	2,620	-0,029
14,850	2,599	-0,030
14,900	2,581	-0,029
14,950	2,563	-0,030
15,000	2,542	-0,029
15,050	2,522	-0,030
15,100	2,506	-0,029
15,150	2,487	-0,030
15,200	2,465	-0,030
15,250	2,439	-0,031
15,300	2,418	-0,030
15,350	2,404	-0,031
15,400	2,391	-0,030
15,450	2,382	-0,031
15,500	2,371	-0,030
15,550	2,357	-0,031
15,600	2,348	-0,031
15,650	2,337	-0,031
15,700	2,327	-0,030
15,750	2,316	-0,031
15,800	2,305	-0,030
15,850	2,294	-0,032
15,900	2,281	-0,031
15,950	2,266	-0,032
16,000	2,244	-0,031
16,050	2,220	-0,032
16,100	2,199	-0,031
16,150	2,180	-0,032
16,200	2,160	-0,031
16,250	2,143	-0,032
16,300	2,125	-0,031
16,350	2,104	-0,032
16,400	2,080	-0,032
16,450	2,054	-0,033
16,500	2,032	-0,032
16,550	2,015	-0,033
16,600	1,998	-0,032
16,650	1,982	-0,033
16,700	1,963	-0,032
16,750	1,941	-0,033
16,800	1,919	-0,032
16,850	1,900	-0,034
16,900	1,890	-0,033
16,950	1,878	-0,034
17,000	1,865	-0,033
17,050	1,849	-0,034
17,100	1,829	-0,033
17,150	1,808	-0,034
17,200	1,788	-0,033
17,250	1,771	-0,034
17,300	1,757	-0,033
17,350	1,747	-0,034
17,400	1,742	-0,034
17,450	1,740	-0,034
17,500	1,736	-0,034
17,550	1,728	-0,035
17,600	1,724	-0,034
17,650	1,721	-0,035
17,700	1,721	-0,034
17,750	1,719	-0,035
17,800	1,719	-0,034
17,850	1,719	-0,035
17,900	1,719	-0,034
17,950	1,708	-0,035
18,000	1,673	-0,034
18,050	1,630	-0,035
18,100	1,604	-0,035
18,150	1,584	-0,036
18,200	1,560	-0,035
18,250	1,535	-0,036
18,300	1,508	-0,035
18,350	1,482	-0,036
18,400	1,459	-0,035
18,450	1,430	-0,036
18,500	1,401	-0,035
18,550	1,376	-0,036
18,600	1,355	-0,036
18,650	1,342	-0,037
18,700	1,328	-0,036
18,750	1,310	-0,037
18,800	1,291	-0,036
18,850	1,271	-0,037
18,900	1,252	-0,036
18,950	1,227	-0,037
19,000	1,196	-0,037
19,050	1,163	-0,037
19,100	1,129	-0,037
19,150	1,100	-0,038
19,200	1,077	-0,037
19,250	1,058	-0,038
19,300	1,042	-0,037
19,350	1,019	-0,038
19,400	1,000	-0,037
19,450	0,979	-0,038
19,500	0,956	-0,038
19,550	0,934	-0,038
19,600	0,915	-0,038
19,650	0,903	-0,038
19,700	0,888	-0,038
19,750	0,871	-0,039
19,800	0,851	-0,038
19,850	0,837	-0,039
