Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9
0,000	-6,919	8,384E-4	0,000	-6,904	0,002	0,000	-6,907	0,003	0,000	-6,938	0,003	0,000	-6,949	0,002	0,000	-7,011	0,010	0,000	-7,015	0,024	0,000	-6,954	0,004	0,000	-7,017	0,002
0,050	-6,919	0,002	0,050	-6,904	0,003	0,050	-6,906	0,003	0,050	-6,939	0,002	0,050	-6,950	0,002	0,050	-7,011	0,010	0,050	-7,015	0,024	0,050	-6,955	0,003	0,050	-7,016	0,003
0,100	-6,919	6,882E-4	0,100	-6,904	0,003	0,100	-6,906	0,004	0,100	-6,939	0,002	0,100	-6,950	0,002	0,100	-7,011	0,010	0,100	-7,015	0,025	0,100	-6,955	0,003	0,100	-7,016	0,002
0,150	-6,919	0,001	0,150	-6,904	0,003	0,150	-6,906	0,003	0,150	-6,939	0,002	0,150	-6,950	0,002	0,150	-7,011	0,010	0,150	-7,015	0,024	0,150	-6,956	0,003	0,150	-7,016	0,003
0,200	-6,919	7,603E-4	0,200	-6,904	0,002	0,200	-6,906	0,004	0,200	-6,939	0,003	0,200	-6,950	0,003	0,200	-7,011	0,010	0,200	-7,016	0,024	0,200	-6,955	0,004	0,200	-7,017	0,001
0,250	-6,919	0,002	0,250	-6,904	0,003	0,250	-6,906	0,003	0,250	-6,939	0,002	0,250	-6,950	0,002	0,250	-7,010	0,010	0,250	-7,015	0,024	0,250	-6,956	0,003	0,250	-7,016	0,002
0,300	-6,919	0,001	0,300	-6,904	0,003	0,300	-6,906	0,004	0,300	-6,939	0,003	0,300	-6,949	0,003	0,300	-7,011	0,010	0,300	-7,015	0,025	0,300	-6,955	0,003	0,300	-7,017	0,002
0,350	-6,919	0,001	0,350	-6,904	0,003	0,350	-6,906	0,003	0,350	-6,939	0,002	0,350	-6,950	0,002	0,350	-7,010	0,010	0,350	-7,015	0,024	0,350	-6,956	0,003	0,350	-7,016	0,002
0,400	-6,919	7,480E-4	0,400	-6,904	0,002	0,400	-6,906	0,004	0,400	-6,939	0,003	0,400	-6,950	0,002	0,400	-7,011	0,010	0,400	-7,015	0,025	0,400	-6,955	0,003	0,400	-7,017	0,002
0,450	-6,919	0,001	0,450	-6,904	0,003	0,450	-6,906	0,003	0,450	-6,940	0,002	0,450	-6,950	0,002	0,450	-7,011	0,010	0,450	-7,015	0,024	0,450	-6,956	0,003	0,450	-7,016	0,003
