Zeit (s) Messreihe #1;Spannung, Ch A (V) Messreihe #1;Spannung, Ch B (V) Messreihe #1;Zeit (s) Ringkern 1 Schalter Links;Spannung, Ch A (V) Ringkern 1 Schalter Links;Spannung, Ch B (V) Ringkern 1 Schalter Links;Zeit (s) RK1 Schalter links R_V;Spannung, Ch A (V) RK1 Schalter links R_V;Spannung, Ch B (V) RK1 Schalter links R_V;Zeit (s) Messreihe #4;Spannung, Ch A (V) Messreihe #4;Spannung, Ch B (V) Messreihe #4;Zeit (s) Messreihe #5;Spannung, Ch A (V) Messreihe #5;Spannung, Ch B (V) Messreihe #5;Zeit (s) Messreihe #6;Spannung, Ch A (V) Messreihe #6;Spannung, Ch B (V) Messreihe #6;Zeit (s) Messreihe #7;Spannung, Ch A (V) Messreihe #7;Spannung, Ch B (V) Messreihe #7;Zeit (s) Messreihe #8;Spannung, Ch A (V) Messreihe #8;Spannung, Ch B (V) Messreihe #8;Zeit (s) Messreihe #9;Spannung, Ch A (V) Messreihe #9;Spannung, Ch B (V) Messreihe #9;Zeit (s) Messreihe #10;Spannung, Ch A (V) Messreihe #10;Spannung, Ch B (V) Messreihe #10;Zeit (s) Messreihe #11;Spannung, Ch A (V) Messreihe #11;Spannung, Ch B (V) Messreihe #11;Zeit (s) Messreihe #12;Spannung, Ch A (V) Messreihe #12;Spannung, Ch B (V) Messreihe #12;Zeit (s) Messreihe #13;Spannung, Ch A (V) Messreihe #13;Spannung, Ch B (V) Messreihe #13;Zeit (s) Messreihe #14;Spannung, Ch A (V) Messreihe #14;Spannung, Ch B (V) Messreihe #14;Zeit (s) Messreihe #15;Spannung, Ch A (V) Messreihe #15;Spannung, Ch B (V) Messreihe #15;Zeit (s) Messreihe #16;Spannung, Ch A (V) Messreihe #16;Spannung, Ch B (V) Messreihe #16
0,000;4,441E-4;0,006;0,000;3,953E-4;-0,051;0,000;0,011;-5,243E-4;0,000;0,465;0,003;0,000;0,464;0,008;0,000;0,465;0,133;0,000;0,464;0,137;0,000;-6,783;-0,683;0,000;6,584;0,922;0,000;6,917;0,002;0,000;6,623;0,006;0,000;6,660;-0,001;0,000;6,675;0,002;0,000;0,999;0,283;0,000;1,000;3,400E-4;0,000;0,998;9,662E-4
0,050;6,541E-4;0,006;0,050;4,954E-4;-0,051;0,050;0,011;-0,001;0,050;0,464;0,001;0,050;0,464;0,007;0,050;0,465;0,134;0,050;0,464;0,136;0,050;-6,786;-0,683;0,050;6,584;0,922;0,050;6,917;0,002;0,050;6,622;0,006;0,050;6,660;-0,002;0,050;6,675;0,002;0,050;0,999;0,284;0,050;1,000;-6,622E-4;0,050;0,999;5,756E-4
0,100;6,699E-4;0,006;0,100;5,759E-4;-0,051;0,100;0,011;-4,633E-4;0,100;0,465;0,003;0,100;0,464;0,008;0,100;0,465;0,133;0,100;0,464;0,137;0,100;-6,787;-0,683;0,100;6,584;0,922;0,100;6,920;0,002;0,100;6,622;0,006;0,100;6,660;-0,001;0,100;6,675;0,002;0,100;1,000;0,283;0,100;1,000;2,252E-4;0,100;0,999;0,001
0,150;3,464E-4;0,006;0,150;7,566E-4;-0,050;0,150;0,010;-9,503E-4;0,150;0,465;0,002;0,150;0,465;0,008;0,150;0,465;0,134;0,150;0,464;0,136;0,150;-6,787;-0,683;0,150;6,585;0,922;0,150;6,926;0,002;0,150;6,622;0,006;0,150;6,660;-0,002;0,150;6,675;0,002;0,150;1,000;0,284;0,150;0,999;-0,001;0,150;0,999;8,221E-4
0,200;6,541E-4;0,006;0,200;6,870E-4;-0,051;0,200;0,008;-6,653E-5;0,200;0,465;0,003;0,200;0,464;0,008;0,200;0,465;0,133;0,200;0,464;0,137;0,200;-6,787;-0,683;0,200;6,585;0,922;0,200;6,926;0,002;0,200;6,621;0,006;0,200;6,660;-0,001;0,200;6,675;0,002;0,200;1,000;0,283;0,200;0,999;2,777E-4;0,200;0,998;7,526E-4
0,250;5,112E-4;0,006;0,250;8,665E-4;-0,050;0,250;0,008;-0,001;0,250;0,465;0,002;0,250;0,464;0,007;0,250;0,465;0,134;0,250;0,464;0,136;0,250;-6,787;-0,683;0,250;6,585;0,922;0,250;6,926;0,002;0,250;6,623;0,006;0,250;6,660;-0,002;0,250;6,675;0,002;0,250;1,000;0,284;0,250;0,999;-8,661E-4;0,250;0,999;4,376E-4
0,300;6,174E-4;0,006;0,300;7,639E-4;-0,051;0,300;0,011;-6,287E-5;0,300;0,464;0,003;0,300;0,464;0,008;0,300;0,465;0,133;0,300;0,464;0,137;0,300;-6,786;-0,683;0,300;6,584;0,922;0,300;6,926;0,002;0,300;6,622;0,006;0,300;6,660;-0,001;0,300;6,675;0,002;0,300;0,999;0,282;0,300;0,999;2,020E-4;0,300;0,998;0,001
0,350;5,125E-4;0,006;0,350;5,039E-4;-0,051;0,350;0,032;-8,490E-4;0,350;0,464;0,002;0,350;0,464;0,007;0,350;0,465;0,134;0,350;0,463;0,136;0,350;-6,786;-0,683;0,350;6,584;0,922;0,350;6,926;0,003;0,350;6,622;0,006;0,350;6,660;-0,002;0,350;6,675;0,002;0,350;0,999;0,284;0,350;1,000;-8,087E-4;0,350;0,998;3,094E-4
0,400;3,000E-4;0,006;0,400;7,273E-4;-0,051;0,400;0,052;7,019E-5;0,400;0,464;0,003;0,400;0,465;0,008;0,400;0,465;0,133;0,400;0,463;0,137;0,400;-6,783;-0,683;0,400;6,585;0,923;0,400;6,926;0,002;0,400;6,623;0,006;0,400;6,660;-0,001;0,400;6,675;0,002;0,400;0,999;0,283;0,400;1,000;4,828E-4;0,400;0,998;9,698E-4
0,450;7,187E-4;0,006;0,450;6,895E-4;-0,051;0,450;0,063;-4,242E-4;0,450;0,464;0,001;0,450;0,465;0,007;0,450;0,465;0,134;0,450;0,463;0,136;0,450;-6,784;-0,683;0,450;6,584;0,922;0,450;6,926;0,003;0,450;6,622;0,006;0,450;6,660;-0,002;0,450;6,675;0,002;0,450;1,000;0,284;0,450;1,000;-6,232E-4;0,450;0,998;2,826E-4
0,500;5,796E-4;0,006;0,500;6,406E-4;-0,051;0,500;0,063;2,521E-4;0,500;0,464;0,003;0,500;0,465;0,008;0,500;0,465;0,133;0,500;0,462;0,137;0,500;-6,783;-0,683;0,500;6,584;0,922;0,500;6,926;0,002;0,500;6,623;0,006;0,500;6,660;-8,673E-4;0,500;6,675;0,002;0,500;1,000;0,283;0,500;0,999;2,325E-4;0,500;0,999;0,001
0,550;5,820E-4;0,006;0,550;5,125E-4;-0,051;0,550;0,067;-9,784E-4;0,550;0,465;0,002;0,550;0,465;0,007;0,550;0,465;0,134;0,550;0,463;0,136;0,550;-6,783;-0,683;0,550;6,588;0,922;0,550;6,926;0,003;0,550;6,623;0,006;0,550;6,660;-0,002;0,550;6,675;0,002;0,550;1,000;0,284;0,550;0,999;-9,357E-4;0,550;0,998;2,460E-4
0,600;3,464E-4;0,006;0,600;6,064E-4;-0,051;0,600;0,084;2,899E-4;0,600;0,461;0,003;0,600;0,466;0,008;0,600;0,465;0,133;0,600;0,462;0,137;0,600;-6,783;-0,683;0,600;6,589;0,923;0,600;6,926;0,002;0,600;6,622;0,006;0,600;6,660;-0,001;0,600;6,675;0,002;0,600;1,000;0,283;0,600;0,999;3,375E-4;0,600;0,998;9,808E-4
0,650;5,735E-4;0,006;0,650;6,138E-4;-0,050;0,650;0,119;-9,949E-5;0,650;0,459;0,002;0,650;0,465;0,008;0,650;0,465;0,134;0,650;0,462;0,136;0,650;-6,783;-0,683;0,650;6,589;0,921;0,650;6,926;0,003;0,650;6,622;0,006;0,650;6,658;-0,002;0,650;6,676;0,002;0,650;1,000;0,284;0,650;0,999;-0,001;0,650;0,999;6,354E-4
0,700;5,063E-4;0,006;0,700;7,468E-4;-0,050;0,700;0,149;0,001;0,700;0,459;0,003;0,700;0,465;0,007;0,700;0,464;0,133;0,700;0,462;0,137;0,700;-6,783;-0,683;0,700;6,589;0,923;0,700;6,926;0,002;0,700;6,621;0,006;0,700;6,655;-8,429E-4;0,700;6,676;0,002;0,700;1,000;0,283;0,700;0,999;3,052E-6;0,700;0,999;0,001
0,750;5,930E-4;0,006;0,750;6,687E-4;-0,050;0,750;0,180;7,477E-4;0,750;0,457;0,002;0,750;0,465;0,007;0,750;0,463;0,134;0,750;0,462;0,136;0,750;-6,783;-0,683;0,750;6,589;0,922;0,750;6,929;0,002;0,750;6,623;0,006;0,750;6,649;-0,002;0,750;6,676;0,002;0,750;1,000;0,284;0,750;0,999;-9,698E-4;0,750;0,999;5,206E-4
0,800;2,781E-4;0,006;0,800;9,519E-4;-0,050;0,800;0,212;0,002;0,800;0,449;0,003;0,800;0,465;0,007;0,800;0,459;0,133;0,800;0,462;0,137;0,800;-6,783;-0,683;0,800;6,589;0,923;0,800;6,930;0,002;0,800;6,624;0,006;0,800;6,637;-0,001;0,800;6,675;0,002;0,800;1,000;0,283;0,800;0,999;1,434E-4;0,800;0,998;0,001
0,850;5,820E-4;0,006;0,850;9,421E-4;-0,049;0,850;0,233;0,002;0,850;0,442;0,001;0,850;0,465;0,007;0,850;0,451;0,133;0,850;0,462;0,136;0,850;-6,783;-0,683;0,850;6,589;0,922;0,850;6,930;0,002;0,850;6,622;0,006;0,850;6,632;-0,002;0,850;6,669;0,002;0,850;1,000;0,284;0,850;1,000;-7,086E-4;0,850;0,999;5,096E-4
0,900;1,890E-4;0,005;0,900;0,001;-0,049;0,900;0,253;0,003;0,900;0,437;0,003;0,900;0,464;0,008;0,900;0,448;0,133;0,900;0,460;0,137;0,900;-6,783;-0,683;0,900;6,585;0,922;0,900;6,928;0,002;0,900;6,623;0,006;0,900;6,631;-9,869E-4;0,900;6,658;0,002;0,900;1,000;0,283;0,900;1,000;2,692E-4;0,900;0,998;8,856E-4
0,950;-4,053E-5;0,005;0,950;0,002;-0,048;0,950;0,266;0,002;0,950;0,436;0,001;0,950;0,460;0,008;0,950;0,444;0,133;0,950;0,458;0,136;0,950;-6,783;-0,683;0,950;6,585;0,922;0,950;6,924;0,003;0,950;6,621;0,006;0,950;6,629;-0,002;0,950;6,656;0,002;0,950;0,999;0,284;0,950;0,999;-8,563E-4;0,950;0,999;4,742E-4
1,000;-5,518E-5;0,005;1,000;0,001;-0,048;1,000;0,282;0,003;1,000;0,433;0,002;1,000;0,450;0,007;1,000;0,444;0,133;1,000;0,457;0,137;1,000;-6,787;-0,683;1,000;6,585;0,923;1,000;6,922;0,002;1,000;6,621;0,006;1,000;6,622;-0,001;1,000;6,645;0,002;1,000;1,000;0,283;1,000;0,999;3,229E-4;1,000;0,999;0,001
1,050;-1,455E-4;0,005;1,050;0,002;-0,047;1,050;0,287;0,003;1,050;0,431;0,001;1,050;0,438;0,007;1,050;0,444;0,133;1,050;0,457;0,136;1,050;-6,779;-0,683;1,050;6,585;0,922;1,050;6,925;0,003;1,050;6,620;0,006;1,050;6,602;-0,002;1,050;6,640;0,002;1,050;0,999;0,284;1,050;1,000;-8,575E-4;1,050;0,998;2,692E-4
1,100;2,109E-4;0,005;1,100;0,002;-0,046;1,100;0,288;0,003;1,100;0,426;0,002;1,100;0,435;0,007;1,100;0,444;0,133;1,100;0,456;0,137;1,100;-6,777;-0,683;1,100;6,585;0,923;1,100;6,923;0,002;1,100;6,620;0,006;1,100;6,602;-0,001;1,100;6,636;0,002;1,100;1,000;0,283;1,100;0,999;1,813E-4;1,100;0,998;0,001
1,150;-1,367E-5;0,005;1,150;0,002;-0,046;1,150;0,302;0,003;1,150;0,426;0,001;1,150;0,435;0,007;1,150;0,444;0,134;1,150;0,455;0,136;1,150;-6,778;-0,683;1,150;6,577;0,922;1,150;6,924;0,003;1,150;6,620;0,006;1,150;6,584;-0,002;1,150;6,625;0,002;1,150;0,999;0,284;1,150;1,000;-8,319E-4;1,150;0,998;2,740E-4
1,200;-1,077E-4;0,005;1,200;0,002;-0,046;1,200;0,308;0,004;1,200;0,425;0,002;1,200;0,434;0,007;1,200;0,444;0,133;1,200;0,454;0,137;1,200;-6,777;-0,683;1,200;6,564;0,922;1,200;6,924;0,002;1,200;6,620;0,006;1,200;6,570;-0,001;1,200;6,624;0,002;1,200;0,999;0,283;1,200;0,999;-4,089E-5;1,200;0,998;0,001
1,250;-7,959E-5;0,004;1,250;0,002;-0,045;1,250;0,319;0,003;1,250;0,424;0,001;1,250;0,434;0,007;1,250;0,444;0,134;1,250;0,453;0,136;1,250;-6,777;-0,683;1,250;6,562;0,921;1,250;6,930;0,003;1,250;6,620;0,006;1,250;6,565;-0,002;1,250;6,613;0,002;1,250;0,998;0,284;1,250;0,999;-0,001;1,250;0,998;1,288E-4
1,300;4,492E-5;0,004;1,300;0,002;-0,046;1,300;0,333;0,004;1,300;0,423;0,002;1,300;0,434;0,007;1,300;0,445;0,133;1,300;0,453;0,137;1,300;-6,774;-0,684;1,300;6,561;0,922;1,300;6,925;0,002;1,300;6,620;0,006;1,300;6,550;-0,001;1,300;6,612;0,002;1,300;0,998;0,283;1,300;1,000;3,046E-4;1,300;0,999;0,001
1,350;-9,180E-5;0,004;1,350;0,002;-0,045;1,350;0,347;0,003;1,350;0,422;0,002;1,350;0,434;0,007;1,350;0,444;0,134;1,350;0,453;0,136;1,350;-6,760;-0,683;1,350;6,554;0,921;1,350;6,921;0,003;1,350;6,620;0,006;1,350;6,548;-0,001;1,350;6,605;0,002;1,350;0,997;0,284;1,350;1,000;-7,001E-4;1,350;0,998;1,508E-4
1,400;-1,064E-4;0,004;1,400;0,002;-0,045;1,400;0,361;0,004;1,400;0,422;0,002;1,400;0,435;0,008;1,400;0,444;0,133;1,400;0,453;0,137;1,400;-6,746;-0,683;1,400;6,554;0,922;1,400;6,920;0,002;1,400;6,620;0,006;1,400;6,548;-9,027E-4;1,400;6,598;0,001;1,400;0,997;0,283;1,400;0,999;-2,264E-4;1,400;0,999;0,001
