"Zeit (s) Messreihe #36";"Spannung, Ch A (V) Messreihe #36";"Spannung, Ch B (V) Messreihe #36"
0,000;0,008;0,043
0,050;0,008;0,038
0,100;0,007;0,043
0,150;0,007;0,038
0,200;0,007;0,042
0,250;0,007;0,038
0,300;0,007;0,044
0,350;0,008;0,043
0,400;0,007;0,047
0,450;0,007;0,043
0,500;0,007;0,047
0,550;0,007;0,043
0,600;0,007;0,046
0,650;0,007;0,043
0,700;0,007;0,047
0,750;0,007;0,043
0,800;0,007;0,047
0,850;0,008;0,044
0,900;0,008;0,046
0,950;0,008;0,043
1,000;0,009;0,045
1,050;0,008;0,039
1,100;0,008;0,041
1,150;0,007;0,039
1,200;0,007;0,041
1,250;0,625;2,043
1,300;0,023;0,039
1,350;0,042;0,055
1,400;0,051;0,046
1,450;0,065;0,050
1,500;0,078;0,057
1,550;0,092;0,058
1,600;0,105;0,059
1,650;0,119;0,061
1,700;0,132;0,062
1,750;0,146;0,064
1,800;0,159;0,066
1,850;0,173;0,070
1,900;0,186;0,072
1,950;0,200;0,078
2,000;0,214;0,081
2,050;0,227;0,087
2,100;0,240;0,092
2,150;0,254;0,101
2,200;0,267;0,106
2,250;0,281;0,118
2,300;0,295;0,126
2,350;0,307;0,137
2,400;0,321;0,139
2,450;0,334;0,143
2,500;0,347;0,137
2,550;0,361;0,136
2,600;0,374;0,127
2,650;0,388;0,128
2,700;0,401;0,122
2,750;0,414;0,124
2,800;0,428;0,117
2,850;0,441;0,121
2,900;0,455;0,114
2,950;0,468;0,121
3,000;0,482;0,116
3,050;0,495;0,124
3,100;0,508;0,122
3,150;0,522;0,134
3,200;0,535;0,134
3,250;0,549;0,151
3,300;0,562;0,155
3,350;0,575;0,175
3,400;0,589;0,185
3,450;0,602;0,214
3,500;0,615;0,230
3,550;0,628;0,269
3,600;0,641;0,293
3,650;0,655;0,344
3,700;0,668;0,378
3,750;0,681;0,440
3,800;0,695;0,479
3,850;0,708;0,563
3,900;0,721;0,613
3,950;0,735;0,702
4,000;0,749;0,765
4,050;0,762;0,854
4,100;0,775;0,908
4,150;0,789;0,975
4,200;0,802;0,984
4,250;0,816;1,000
4,300;0,829;0,966
4,350;0,842;0,958
4,400;0,855;0,906
4,450;0,869;0,888
4,500;0,882;0,827
4,550;0,896;0,803
4,600;0,909;0,742
4,650;0,922;0,718
4,700;0,935;0,662
4,750;0,949;0,645
4,800;0,962;0,593
4,850;0,975;0,576
4,900;0,989;0,547
4,950;1,002;0,550
5,000;1,015;0,528
5,050;1,029;0,556
5,100;1,042;0,550
5,150;1,055;0,600
5,200;1,069;0,616
5,250;1,082;0,691
