Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12
0,000	1,004	-0,001
0,050	1,004	-0,002
0,100	1,004	-0,001
0,150	1,004	-0,002
0,200	1,004	-0,001
0,250	1,004	-0,002
0,300	1,004	-0,001
0,350	1,004	-0,002
0,400	1,004	-0,001
0,450	1,004	-0,002
0,500	1,003	-9,951E-4
0,550	0,998	-0,002
0,600	0,996	-0,002
0,650	0,996	-0,003
0,700	0,996	-0,002
0,750	0,996	-0,003
0,800	0,996	-0,002
0,850	0,994	-0,003
0,900	0,993	-0,002
0,950	0,992	-0,003
1,000	0,992	-0,002
1,050	0,990	-0,003
1,100	0,988	-0,002
1,150	0,987	-0,003
1,200	0,985	-0,002
1,250	0,983	-0,003
1,300	0,982	-0,003
1,350	0,981	-0,004
1,400	0,980	-0,002
1,450	0,979	-0,003
1,500	0,977	-0,003
1,550	0,976	-0,004
1,600	0,975	-0,003
1,650	0,974	-0,004
1,700	0,973	-0,003
1,750	0,972	-0,004
1,800	0,971	-0,003
1,850	0,970	-0,004
1,900	0,969	-0,003
1,950	0,968	-0,004
2,000	0,966	-0,003
2,050	0,966	-0,004
2,100	0,964	-0,004
2,150	0,963	-0,004
2,200	0,963	-0,003
2,250	0,962	-0,005
2,300	0,961	-0,004
2,350	0,960	-0,005
2,400	0,960	-0,003
2,450	0,958	-0,005
2,500	0,957	-0,004
2,550	0,956	-0,005
2,600	0,955	-0,004
2,650	0,953	-0,005
2,700	0,951	-0,004
2,750	0,950	-0,006
2,800	0,949	-0,004
2,850	0,949	-0,005
2,900	0,948	-0,004
2,950	0,946	-0,006
3,000	0,944	-0,005
3,050	0,942	-0,006
3,100	0,940	-0,005
3,150	0,938	-0,006
3,200	0,935	-0,005
3,250	0,933	-0,006
3,300	0,931	-0,005
3,350	0,931	-0,006
3,400	0,930	-0,005
3,450	0,929	-0,007
3,500	0,929	-0,005
3,550	0,927	-0,007
3,600	0,926	-0,006
3,650	0,925	-0,007
3,700	0,922	-0,006
3,750	0,919	-0,007
3,800	0,917	-0,006
3,850	0,915	-0,007
3,900	0,913	-0,006
3,950	0,912	-0,007
4,000	0,909	-0,007
4,050	0,907	-0,008
4,100	0,904	-0,007
4,150	0,902	-0,008
4,200	0,901	-0,007
4,250	0,900	-0,008
4,300	0,899	-0,007
4,350	0,898	-0,008
4,400	0,895	-0,007
4,450	0,892	-0,009
4,500	0,889	-0,008
4,550	0,886	-0,009
4,600	0,883	-0,008
4,650	0,880	-0,010
4,700	0,881	-0,008
4,750	0,881	-0,009
4,800	0,881	-0,008
4,850	0,881	-0,009
4,900	0,881	-0,008
4,950	0,881	-0,009
5,000	0,880	-0,008
5,050	0,880	-0,009
5,100	0,880	-0,008
5,150	0,880	-0,010
5,200	0,878	-0,008
5,250	0,873	-0,010
5,300	0,871	-0,009
5,350	0,868	-0,010
5,400	0,864	-0,009
5,450	0,859	-0,011
5,500	0,853	-0,010
5,550	0,850	-0,011
5,600	0,848	-0,010
5,650	0,847	-0,012
5,700	0,845	-0,010
5,750	0,843	-0,012
5,800	0,842	-0,011
5,850	0,839	-0,012
5,900	0,838	-0,011
5,950	0,836	-0,012
6,000	0,833	-0,011
6,050	0,831	-0,013
6,100	0,830	-0,012
6,150	0,828	-0,013
6,200	0,827	-0,012
6,250	0,825	-0,013
6,300	0,823	-0,012
6,350	0,821	-0,013
6,400	0,821	-0,012
6,450	0,818	-0,014
6,500	0,818	-0,013
6,550	0,818	-0,014
6,600	0,818	-0,012
6,650	0,818	-0,014
6,700	0,818	-0,013
6,750	0,818	-0,014
6,800	0,818	-0,013
6,850	0,818	-0,014
6,900	0,818	-0,013
6,950	0,818	-0,014
7,000	0,818	-0,012
7,050	0,816	-0,014
7,100	0,814	-0,013
7,150	0,813	-0,014
7,200	0,812	-0,013
7,250	0,810	-0,014
7,300	0,808	-0,013
7,350	0,806	-0,014
