Zeit (s) Ringkern 1 Schalter Links	Spannung, Ch A (V) Ringkern 1 Schalter Links	Spannung, Ch B (V) Ringkern 1 Schalter Links
0,000	3,953E-4	-0,051
0,050	4,954E-4	-0,051
0,100	5,759E-4	-0,051
0,150	7,566E-4	-0,050
0,200	6,870E-4	-0,051
0,250	8,665E-4	-0,050
0,300	7,639E-4	-0,051
0,350	5,039E-4	-0,051
0,400	7,273E-4	-0,051
0,450	6,895E-4	-0,051
0,500	6,406E-4	-0,051
0,550	5,125E-4	-0,051
0,600	6,064E-4	-0,051
0,650	6,138E-4	-0,050
0,700	7,468E-4	-0,050
0,750	6,687E-4	-0,050
0,800	9,519E-4	-0,050
0,850	9,421E-4	-0,049
0,900	0,001	-0,049
0,950	0,002	-0,048
1,000	0,001	-0,048
1,050	0,002	-0,047
1,100	0,002	-0,046
1,150	0,002	-0,046
1,200	0,002	-0,046
1,250	0,002	-0,045
1,300	0,002	-0,046
1,350	0,002	-0,045
1,400	0,002	-0,045
1,450	0,002	-0,044
1,500	0,002	-0,045
1,550	0,002	-0,044
1,600	0,002	-0,045
1,650	0,002	-0,044
1,700	0,002	-0,044
1,750	0,002	-0,044
1,800	0,002	-0,044
1,850	0,002	-0,043
1,900	0,002	-0,043
1,950	0,002	-0,043
2,000	0,002	-0,043
2,050	0,002	-0,042
2,100	0,003	-0,043
2,150	0,002	-0,042
2,200	0,002	-0,042
2,250	0,002	-0,042
2,300	0,002	-0,042
2,350	0,002	-0,041
2,400	0,003	-0,042
2,450	0,003	-0,041
2,500	0,003	-0,041
2,550	0,003	-0,041
2,600	0,003	-0,041
2,650	0,003	-0,040
2,700	0,002	-0,041
2,750	0,003	-0,040
2,800	0,003	-0,040
2,850	0,003	-0,039
2,900	0,003	-0,040
2,950	0,003	-0,039
3,000	0,003	-0,040
3,050	0,003	-0,039
3,100	0,003	-0,040
3,150	0,003	-0,038
3,200	0,003	-0,039
3,250	0,003	-0,038
3,300	0,003	-0,038
3,350	0,003	-0,037
3,400	0,004	-0,038
3,450	0,004	-0,037
3,500	0,004	-0,037
3,550	0,004	-0,036
3,600	0,004	-0,037
3,650	0,004	-0,036
3,700	0,004	-0,036
3,750	0,004	-0,036
3,800	0,004	-0,036
3,850	0,004	-0,035
3,900	0,004	-0,036
3,950	0,004	-0,035
4,000	0,004	-0,036
4,050	0,004	-0,035
4,100	0,004	-0,035
4,150	0,004	-0,034
4,200	0,004	-0,035
4,250	0,004	-0,034
4,300	0,004	-0,035
4,350	0,004	-0,034
4,400	0,004	-0,034
4,450	0,004	-0,034
4,500	0,004	-0,034
4,550	0,004	-0,033
4,600	0,004	-0,034
4,650	0,004	-0,033
4,700	0,004	-0,034
4,750	0,005	-0,032
4,800	0,005	-0,033
4,850	0,005	-0,032
4,900	0,005	-0,032
4,950	0,005	-0,032
5,000	0,005	-0,032
5,050	0,005	-0,031
5,100	0,005	-0,031
5,150	0,005	-0,030
5,200	0,005	-0,031
5,250	0,005	-0,030
5,300	0,005	-0,031
5,350	0,006	-0,030
5,400	0,006	-0,030
5,450	0,005	-0,030
5,500	0,006	-0,030
5,550	0,006	-0,029
5,600	0,006	-0,030
5,650	0,006	-0,028
5,700	0,006	-0,028
5,750	0,006	-0,028
5,800	0,006	-0,028
5,850	0,006	-0,027
5,900	0,006	-0,027
5,950	0,006	-0,027
6,000	0,006	-0,027
6,050	0,006	-0,026
6,100	0,006	-0,027
6,150	0,007	-0,026
6,200	0,007	-0,027
6,250	0,007	-0,026
6,300	0,007	-0,027
6,350	0,006	-0,026
6,400	0,007	-0,026
6,450	0,007	-0,025
6,500	0,007	-0,026
6,550	0,007	-0,025
6,600	0,007	-0,026
6,650	0,007	-0,025
6,700	0,007	-0,026
6,750	0,007	-0,025
6,800	0,007	-0,025
6,850	0,007	-0,025
6,900	0,007	-0,026
6,950	0,007	-0,025
7,000	0,007	-0,025
7,050	0,007	-0,024
7,100	0,007	-0,026
7,150	0,007	-0,025
7,200	0,007	-0,025
7,250	0,007	-0,025
7,300	0,007	-0,025
7,350	0,007	-0,025
7,400	0,007	-0,025
7,450	0,007	-0,024
7,500	0,007	-0,025
7,550	0,007	-0,025
7,600	0,007	-0,025
7,650	0,007	-0,024
7,700	0,008	-0,024
7,750	0,007	-0,023
7,800	0,008	-0,024
7,850	0,007	-0,023
7,900	0,008	-0,024
7,950	0,007	-0,023
8,000	0,008	-0,024
8,050	0,007	-0,023
8,100	0,008	-0,023
8,150	0,008	-0,022
8,200	0,008	-0,023
8,250	0,008	-0,022
8,300	0,008	-0,023
8,350	0,008	-0,022
8,400	0,008	-0,022
8,450	0,008	-0,021
8,500	0,008	-0,022
8,550	0,008	-0,021
8,600	0,009	-0,022
8,650	0,008	-0,021
8,700	0,008	-0,022
8,750	0,008	-0,021
8,800	0,009	-0,021
8,850	0,009	-0,020
8,900	0,009	-0,021
8,950	0,009	-0,020
9,000	0,009	-0,021
9,050	0,009	-0,020
9,100	0,009	-0,020
9,150	0,009	-0,019
9,200	0,009	-0,020
9,250	0,009	-0,019
9,300	0,009	-0,020
9,350	0,009	-0,018
9,400	0,010	-0,019
9,450	0,009	-0,018
9,500	0,010	-0,019
9,550	0,009	-0,018
9,600	0,010	-0,018
9,650	0,010	-0,017
9,700	0,010	-0,018
9,750	0,010	-0,017
9,800	0,010	-0,018
9,850	0,010	-0,017
9,900	0,010	-0,018
9,950	0,010	-0,017
10,000	0,010	-0,018
10,050	0,010	-0,017
10,100	0,010	-0,018
10,150	0,010	-0,016
10,200	0,010	-0,017
10,250	0,010	-0,016
10,300	0,010	-0,017
10,350	0,010	-0,016
10,400	0,010	-0,017
10,450	0,010	-0,016
10,500	0,010	-0,017
10,550	0,010	-0,016
10,600	0,010	-0,017
10,650	0,010	-0,016
10,700	0,010	-0,017
10,750	0,010	-0,016
10,800	0,011	-0,016
10,850	0,011	-0,015
10,900	0,011	-0,016
10,950	0,011	-0,015
11,000	0,011	-0,016
11,050	0,011	-0,015
11,100	0,011	-0,016
11,150	0,011	-0,015
11,200	0,011	-0,016
11,250	0,011	-0,015
11,300	0,011	-0,016
11,350	0,011	-0,015
11,400	0,011	-0,016
11,450	0,011	-0,015
11,500	0,011	-0,015
11,550	0,011	-0,014
11,600	0,011	-0,015
11,650	0,011	-0,014
11,700	0,011	-0,015
11,750	0,011	-0,014
11,800	0,011	-0,014
11,850	0,012	-0,013
11,900	0,011	-0,014
11,950	0,011	-0,013
12,000	0,012	-0,014
12,050	0,012	-0,013
12,100	0,012	-0,013
12,150	0,012	-0,013
12,200	0,012	-0,013
12,250	0,012	-0,012
12,300	0,012	-0,013
12,350	0,012	-0,012
12,400	0,012	-0,012
12,450	0,013	-0,011
12,500	0,012	-0,012
12,550	0,012	-0,011
12,600	0,012	-0,012
12,650	0,012	-0,012
12,700	0,012	-0,012
12,750	0,012	-0,012
12,800	0,012	-0,012
12,850	0,012	-0,012
12,900	0,013	-0,012
12,950	0,012	-0,011
13,000	0,013	-0,011
13,050	0,013	-0,011
13,100	0,013	-0,011
13,150	0,013	-0,010
13,200	0,013	-0,011
13,250	0,013	-0,010
13,300	0,013	-0,010
13,350	0,013	-0,010
13,400	0,013	-0,010
13,450	0,013	-0,009
13,500	0,014	-0,009
13,550	0,014	-0,009
13,600	0,014	-0,009
13,650	0,014	-0,008
13,700	0,014	-0,009
13,750	0,014	-0,008
13,800	0,014	-0,009
13,850	0,014	-0,008
13,900	0,014	-0,009
13,950	0,014	-0,008
14,000	0,014	-0,008
14,050	0,014	-0,007
14,100	0,015	-0,008
14,150	0,014	-0,007
14,200	0,014	-0,008
14,250	0,015	-0,007
14,300	0,015	-0,008
14,350	0,015	-0,007
14,400	0,015	-0,008
14,450	0,015	-0,007
14,500	0,015	-0,007
14,550	0,015	-0,007
14,600	0,015	-0,007
14,650	0,015	-0,006
14,700	0,015	-0,007
14,750	0,015	-0,006
14,800	0,015	-0,007
14,850	0,015	-0,006
14,900	0,015	-0,007
14,950	0,015	-0,006
15,000	0,015	-0,006
15,050	0,015	-0,006
15,100	0,015	-0,006
15,150	0,015	-0,006
15,200	0,015	-0,006
15,250	0,016	-0,005
15,300	0,015	-0,006
15,350	0,016	-0,005
15,400	0,016	-0,006
15,450	0,015	-0,005
15,500	0,016	-0,006
15,550	0,016	-0,005
15,600	0,016	-0,005
15,650	0,016	-0,005
15,700	0,016	-0,005
15,750	0,016	-0,005
15,800	0,016	-0,005
15,850	0,016	-0,004
15,900	0,016	-0,005
15,950	0,016	-0,004
16,000	0,016	-0,005
16,050	0,016	-0,004
16,100	0,017	-0,004
16,150	0,016	-0,004
16,200	0,017	-0,004
16,250	0,017	-0,004
16,300	0,017	-0,004
16,350	0,017	-0,004
16,400	0,017	-0,004
16,450	0,017	-0,004
16,500	0,016	-0,004
16,550	0,017	-0,004
16,600	0,016	-0,005
16,650	0,016	-0,004
16,700	0,016	-0,005
16,750	0,017	-0,003
16,800	0,017	-0,004
16,850	0,017	-0,003
16,900	0,017	-0,004
16,950	0,017	-0,003
17,000	0,017	-0,003
17,050	0,017	-0,002
17,100	0,017	-0,003
17,150	0,018	-0,002
17,200	0,018	-0,003
17,250	0,017	-0,002
17,300	0,018	-0,002
17,350	0,018	-0,001
17,400	0,018	-0,002
17,450	0,018	-0,001
17,500	0,018	-0,002
17,550	0,018	-7,831E-4
17,600	0,018	-0,001
17,650	0,018	-9,747E-4
17,700	0,018	-0,002
17,750	0,018	-8,673E-4
17,800	0,018	-0,002
17,850	0,018	-9,296E-4
17,900	0,018	-0,001
17,950	0,018	-0,001
18,000	0,019	-9,747E-4
18,050	0,019	-3,375E-4
18,100	0,019	-8,490E-4
18,150	0,019	-8,972E-5
18,200	0,019	-6,720E-4
18,250	0,019	-1,569E-4
18,300	0,019	-9,198E-4
18,350	0,019	1,520E-4
18,400	0,019	-1,459E-4
18,450	0,019	-5,066E-5
18,500	0,019	-2,435E-4
18,550	0,019	2,472E-4
18,600	0,019	-2,155E-4
18,650	0,019	4,633E-4
18,700	0,019	1,569E-4
18,750	0,020	0,001
18,800	0,020	6,036E-4
18,850	0,020	0,001
18,900	0,020	6,769E-4
18,950	0,020	0,001
19,000	0,020	9,528E-4
19,050	0,020	0,002
19,100	0,020	7,977E-4
19,150	0,020	0,001
19,200	0,020	8,685E-4
19,250	0,020	0,002
19,300	0,020	9,808E-4
19,350	0,020	0,001
19,400	0,020	0,001
19,450	0,020	0,002
19,500	0,020	0,001
19,550	0,020	0,002
19,600	0,020	0,001
19,650	0,020	0,001
19,700	0,020	8,551E-4
19,750	0,020	0,001
19,800	0,020	9,100E-4
19,850	0,020	0,002
19,900	0,020	0,001
19,950	0,020	0,002
20,000	0,020	0,001
20,050	0,020	0,001
20,100	0,020	0,001
20,150	0,020	0,001
20,200	0,020	0,001
20,250	0,020	0,002
20,300	0,020	0,001
20,350	0,020	0,001
20,400	0,020	0,001
20,450	0,020	0,002
20,500	0,020	0,002
20,550	0,020	0,001
20,600	0,020	0,001
20,650	0,020	0,001
20,700	0,020	0,001
20,750	0,020	0,001
20,800	0,020	0,001
20,850	0,020	0,002
20,900	0,020	0,001
20,950	0,020	0,001
21,000	0,020	8,807E-4
21,050	0,020	0,001
21,100	0,020	9,406E-4
21,150	0,020	9,930E-4
21,200	0,020	5,988E-4
21,250	0,020	8,844E-4
21,300	0,019	4,608E-4
21,350	0,019	6,854E-4
21,400	0,019	5,145E-4
21,450	0,019	6,268E-4
21,500	0,019	3,815E-4
21,550	0,019	4,303E-4
21,600	0,019	5,798E-5
21,650	0,019	1,984E-4
21,700	0,019	-2,502E-5
21,750	0,019	1,837E-4
21,800	0,019	2,502E-5
21,850	0,019	-8,606E-5
21,900	0,019	-2,136E-5
21,950	0,019	-1,038E-5
22,000	0,019	-5,157E-4
22,050	0,019	-2,045E-4
22,100	0,018	-8,917E-4
22,150	0,019	-3,998E-4
22,200	0,018	-8,478E-4
22,250	0,018	-4,474E-4
22,300	0,019	-5,304E-4
22,350	0,019	-4,926E-4
22,400	0,018	-7,672E-4
22,450	0,018	-5,194E-4
22,500	0,018	-0,001
22,550	0,018	-7,635E-4
22,600	0,018	-0,001
22,650	0,018	-7,806E-4
22,700	0,018	-0,001
22,750	0,018	-8,405E-4
22,800	0,018	-0,001
22,850	0,018	-0,001
22,900	0,018	-0,001
22,950	0,018	-0,001
23,000	0,018	-0,002
23,050	0,018	-0,002
23,100	0,017	-0,002
23,150	0,018	-0,002
23,200	0,018	-0,002
23,250	0,018	-0,002
23,300	0,017	-0,002
23,350	0,017	-0,002
23,400	0,017	-0,002
23,450	0,017	-0,002
23,500	0,017	-0,003
23,550	0,017	-0,002
23,600	0,017	-0,002
23,650	0,017	-0,002
23,700	0,017	-0,002
23,750	0,017	-0,003
23,800	0,017	-0,003
23,850	0,016	-0,003
23,900	0,017	-0,003
23,950	0,017	-0,003
24,000	0,016	-0,003
24,050	0,017	-0,003
24,100	0,017	-0,003
24,150	0,017	-0,003
24,200	0,017	-0,003
24,250	0,017	-0,003
24,300	0,017	-0,003
24,350	0,016	-0,003
24,400	0,016	-0,003
24,450	0,016	-0,003
24,500	0,016	-0,004
24,550	0,016	-0,003
24,600	0,016	-0,003
24,650	0,016	-0,004
24,700	0,016	-0,003
24,750	0,016	-0,003
24,800	0,016	-0,003
24,850	0,016	-0,004
24,900	0,016	-0,003
24,950	0,016	-0,004
25,000	0,016	-0,004
25,050	0,015	-0,005
25,100	0,016	-0,004
25,150	0,015	-0,005
25,200	0,015	-0,005
25,250	0,015	-0,005
25,300	0,015	-0,005
25,350	0,015	-0,005
25,400	0,015	-0,005
25,450	0,015	-0,005
25,500	0,015	-0,005
25,550	0,015	-0,006
25,600	0,015	-0,006
25,650	0,015	-0,006
25,700	0,015	-0,006
25,750	0,014	-0,006
25,800	0,014	-0,006
25,850	0,014	-0,006
25,900	0,014	-0,006
25,950	0,014	-0,006
26,000	0,014	-0,006
26,050	0,014	-0,007
26,100	0,014	-0,007
26,150	0,014	-0,007
26,200	0,014	-0,007
26,250	0,014	-0,007
26,300	0,014	-0,007
26,350	0,014	-0,007
26,400	0,014	-0,007
26,450	0,013	-0,008
26,500	0,014	-0,007
26,550	0,013	-0,008
26,600	0,014	-0,007
26,650	0,014	-0,008
26,700	0,013	-0,008
26,750	0,013	-0,008
26,800	0,013	-0,008
26,850	0,014	-0,008
26,900	0,013	-0,008
26,950	0,013	-0,008
27,000	0,014	-0,008
27,050	0,014	-0,008
27,100	0,013	-0,008
27,150	0,013	-0,009
27,200	0,013	-0,009
27,250	0,013	-0,009
27,300	0,012	-0,009
27,350	0,013	-0,010
27,400	0,013	-0,009
27,450	0,012	-0,010
27,500	0,013	-0,009
27,550	0,012	-0,010
27,600	0,012	-0,009
27,650	0,012	-0,010
27,700	0,012	-0,010
27,750	0,012	-0,010
27,800	0,012	-0,010
27,850	0,012	-0,010
27,900	0,012	-0,010
27,950	0,012	-0,010
28,000	0,012	-0,010
28,050	0,012	-0,010
28,100	0,012	-0,010
28,150	0,012	-0,010
