Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4
0,000	6,659	-0,002
0,050	6,659	-9,939E-4
0,100	6,659	-0,002
0,150	6,659	-0,001
0,200	6,659	-0,002
0,250	6,659	-9,951E-4
0,300	6,659	-0,002
0,350	6,659	-9,170E-4
0,400	6,659	-0,002
0,450	6,659	-9,731E-4
0,500	6,659	-0,002
0,550	6,660	-9,243E-4
0,600	6,660	-0,002
0,650	6,660	-9,939E-4
0,700	6,660	-0,002
0,750	6,660	-0,001
0,800	6,660	-0,002
0,850	6,660	-9,670E-4
0,900	6,660	-0,002
0,950	6,661	-8,364E-4
1,000	6,660	-0,002
1,050	6,660	-0,001
1,100	6,660	-0,002
1,150	6,661	-8,328E-4
1,200	6,660	-0,002
1,250	6,661	-0,001
1,300	6,660	-0,002
1,350	6,661	-9,329E-4
1,400	6,660	-0,002
1,450	6,661	-7,913E-4
1,500	6,658	-0,002
1,550	6,648	-9,805E-4
1,600	6,636	-0,002
1,650	6,630	-0,001
1,700	6,627	-0,002
1,750	6,626	-7,949E-4
1,800	6,622	-0,002
1,850	6,615	-0,001
1,900	6,611	-0,002
1,950	6,609	-0,001
2,000	6,607	-0,002
2,050	6,599	-0,001
2,100	6,593	-0,003
2,150	6,585	-0,002
2,200	6,577	-0,003
2,250	6,567	-0,002
2,300	6,554	-0,003
2,350	6,543	-0,002
2,400	6,530	-0,003
2,450	6,517	-0,002
2,500	6,501	-0,003
2,550	6,490	-0,002
2,600	6,483	-0,003
2,650	6,473	-0,002
2,700	6,464	-0,004
2,750	6,454	-0,003
2,800	6,445	-0,004
2,850	6,435	-0,003
2,900	6,422	-0,004
2,950	6,410	-0,003
3,000	6,399	-0,004
3,050	6,394	-0,003
3,100	6,386	-0,004
3,150	6,379	-0,003
3,200	6,369	-0,004
3,250	6,358	-0,003
3,300	6,341	-0,005
3,350	6,320	-0,004
3,400	6,301	-0,005
3,450	6,288	-0,004
3,500	6,275	-0,005
3,550	6,261	-0,004
3,600	6,240	-0,005
3,650	6,219	-0,005
3,700	6,199	-0,006
3,750	6,183	-0,005
3,800	6,165	-0,006
3,850	6,148	-0,005
3,900	6,129	-0,006
3,950	6,107	-0,005
4,000	6,082	-0,007
4,050	6,058	-0,006
4,100	6,036	-0,007
4,150	6,017	-0,006
4,200	5,997	-0,007
4,250	5,979	-0,007
4,300	5,963	-0,008
4,350	5,944	-0,007
4,400	5,914	-0,008
4,450	5,879	-0,007
4,500	5,849	-0,009
4,550	5,826	-0,008
4,600	5,808	-0,009
4,650	5,793	-0,008
4,700	5,778	-0,009
4,750	5,763	-0,008
4,800	5,747	-0,009
4,850	5,727	-0,008
4,900	5,706	-0,010
4,950	5,687	-0,009
5,000	5,663	-0,010
5,050	5,637	-0,009
5,100	5,613	-0,011
5,150	5,593	-0,009
5,200	5,571	-0,011
5,250	5,550	-0,010
5,300	5,527	-0,011
5,350	5,504	-0,010
5,400	5,480	-0,012
5,450	5,459	-0,011
5,500	5,438	-0,013
5,550	5,420	-0,011
5,600	5,404	-0,012
5,650	5,386	-0,012
5,700	5,365	-0,013
5,750	5,345	-0,012
5,800	5,322	-0,013
5,850	5,303	-0,013
5,900	5,284	-0,014
5,950	5,265	-0,013
6,000	5,249	-0,014
6,050	5,232	-0,013
6,100	5,213	-0,015
6,150	5,192	-0,014
6,200	5,167	-0,015
6,250	5,143	-0,014
6,300	5,118	-0,016
6,350	5,093	-0,015
6,400	5,069	-0,016
6,450	5,048	-0,015
6,500	5,024	-0,016
6,550	5,001	-0,016
6,600	4,974	-0,017
6,650	4,947	-0,016
6,700	4,926	-0,017
6,750	4,910	-0,016
6,800	4,895	-0,018
6,850	4,881	-0,017
6,900	4,866	-0,018
6,950	4,851	-0,017
7,000	4,834	-0,018
7,050	4,817	-0,017
7,100	4,795	-0,019
7,150	4,767	-0,018
7,200	4,749	-0,019
7,250	4,737	-0,018
7,300	4,725	-0,020
7,350	4,717	-0,019
7,400	4,707	-0,020
7,450	4,700	-0,019
7,500	4,689	-0,020
7,550	4,677	-0,019
7,600	4,666	-0,020
7,650	4,638	-0,019
7,700	4,612	-0,021
7,750	4,597	-0,020
7,800	4,584	-0,021
7,850	4,578	-0,020
7,900	4,574	-0,021
7,950	4,573	-0,020
8,000	4,572	-0,021
8,050	4,572	-0,020
8,100	4,572	-0,021
8,150	4,571	-0,020
8,200	4,571	-0,021
8,250	4,571	-0,020
8,300	4,571	-0,021
8,350	4,571	-0,020
8,400	4,571	-0,021
8,450	4,571	-0,020
8,500	4,571	-0,021
8,550	4,571	-0,020
8,600	4,570	-0,022
8,650	4,571	-0,020
8,700	4,571	-0,021
8,750	4,571	-0,020
8,800	4,571	-0,021
8,850	4,571	-0,020
8,900	4,570	-0,021
8,950	4,571	-0,020
9,000	4,570	-0,021
9,050	4,570	-0,020
9,100	4,570	-0,022
9,150	4,570	-0,020
9,200	4,570	-0,021
9,250	4,570	-0,020
9,300	4,570	-0,021
9,350	4,567	-0,020
