Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13
0,000	0,002	0,006	0,000	0,003	0,003	0,000	0,002	0,010	0,000	0,003	0,001	0,000	0,002	0,003	0,000	0,003	0,002	0,000	0,003	0,003	0,000	0,002	0,002	0,000	0,003	0,004	0,000	0,003	0,004	0,000	0,003	0,006	0,000	0,003	0,004	0,000	0,003	0,004
0,020	0,003	0,006	0,020	0,003	0,003	0,020	0,003	0,009	0,020	0,003	2,271E-4	0,020	0,002	0,003	0,020	0,002	0,002	0,020	0,002	0,002	0,020	0,003	0,002	0,020	0,003	0,003	0,020	0,003	0,004	0,020	0,003	0,007	0,020	0,003	0,004	0,020	0,003	0,004
0,040	0,002	0,006	0,040	0,003	0,003	0,040	0,003	0,009	0,040	0,003	0,002	0,040	0,003	0,003	0,040	0,003	0,002	0,040	0,003	0,003	0,040	0,003	0,002	0,040	0,003	0,004	0,040	0,003	0,004	0,040	0,003	0,006	0,040	0,003	0,004	0,040	0,003	0,004
0,060	0,002	0,006	0,060	0,003	0,003	0,060	0,003	0,010	0,060	0,003	1,562E-4	0,060	0,002	0,002	0,060	0,003	0,002	0,060	0,002	0,003	0,060	0,003	0,003	0,060	0,003	0,003	0,060	0,002	0,004	0,060	0,003	0,006	0,060	0,003	0,004	0,060	0,003	0,004
0,080	0,003	0,006	0,080	0,003	0,003	0,080	0,003	0,009	0,080	0,002	3,625E-4	0,080	0,003	0,002	0,080	0,003	0,002	0,080	0,003	0,003	0,080	0,003	0,002	0,080	0,003	0,003	0,080	0,003	0,004	0,080	0,003	0,006	0,080	0,003	0,004	0,080	0,003	0,004
0,100	0,002	0,005	0,100	0,003	0,002	0,100	0,002	0,009	0,100	0,003	0,002	0,100	0,003	0,002	0,100	0,003	0,002	0,100	0,002	0,003	0,100	0,003	0,003	0,100	0,003	0,004	0,100	0,003	0,004	0,100	0,003	0,005	0,100	0,003	0,004	0,100	0,003	0,004
0,120	0,002	0,006	0,120	0,003	0,003	0,120	0,003	0,009	0,120	0,003	-3,589E-4	0,120	0,003	0,002	0,120	0,003	0,002	0,120	0,003	0,003	0,120	0,003	0,003	0,120	0,002	0,003	0,120	0,003	0,004	0,120	0,003	0,006	0,120	0,003	0,004	0,120	0,003	0,004
0,140	0,003	0,006	0,140	0,003	0,003	0,140	0,003	0,008	0,140	0,003	0,002	0,140	0,003	0,002	0,140	0,003	0,002	0,140	0,002	0,003	0,140	0,003	0,003	0,140	0,003	0,003	0,140	0,002	0,002	0,140	0,003	0,006	0,140	0,003	0,004	0,140	0,003	0,004
0,160	0,002	0,006	0,160	0,003	0,003	0,160	0,003	0,009	0,160	0,002	5,054E-4	0,160	0,003	0,003	0,160	0,003	0,002	0,160	0,003	0,003	0,160	0,003	0,002	0,160	0,003	0,004	0,160	0,003	0,003	0,160	0,003	0,006	0,160	0,003	0,004	0,160	0,003	0,004
0,180	0,002	0,006	0,180	0,003	0,003	0,180	0,002	0,007	0,180	0,002	-2,991E-4	0,180	0,003	0,002	0,180	0,003	0,002	0,180	0,003	0,003	0,180	5,286	7,367	0,180	0,002	0,003	0,180	0,003	0,004	0,180	0,003	0,006	0,180	0,003	0,004	0,180	0,002	0,004
