Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6
0,000	-0,460	-0,002
0,050	-0,460	-9,292E-4
0,100	-0,460	-0,002
0,150	-0,460	-9,597E-4
0,200	-0,460	-0,002
0,250	-0,460	-9,048E-4
0,300	-0,460	-0,002
0,350	-0,460	-9,438E-4
0,400	-0,460	-0,002
0,450	-0,460	-6,802E-4
0,500	-0,460	-0,002
0,550	-0,460	-0,001
0,600	-0,460	-0,002
0,650	-0,460	-8,059E-4
0,700	-0,460	-0,002
0,750	-0,460	-8,059E-4
0,800	-0,460	-0,002
0,850	-0,460	-0,001
0,900	-0,460	-0,002
0,950	-0,459	-0,001
1,000	-0,458	-0,002
1,050	-0,457	-9,280E-4
1,100	-0,457	-0,002
1,150	-0,456	-8,682E-4
1,200	-0,457	-0,002
1,250	-0,457	-0,001
1,300	-0,456	-0,002
1,350	-0,456	-0,001
1,400	-0,456	-0,002
1,450	-0,455	-8,279E-4
1,500	-0,455	-0,002
1,550	-0,455	-8,975E-4
1,600	-0,455	-0,002
1,650	-0,454	-0,001
1,700	-0,454	-0,002
1,750	-0,454	-9,524E-4
1,800	-0,453	-0,002
1,850	-0,453	-9,268E-4
1,900	-0,452	-0,002
1,950	-0,452	-0,001
2,000	-0,451	-0,002
2,050	-0,451	-9,487E-4
2,100	-0,450	-0,002
2,150	-0,451	-0,001
2,200	-0,450	-0,002
2,250	-0,449	-9,963E-4
2,300	-0,449	-0,002
2,350	-0,449	-0,001
2,400	-0,448	-0,002
2,450	-0,447	-8,682E-4
2,500	-0,447	-0,002
2,550	-0,447	-8,804E-4
2,600	-0,447	-0,002
2,650	-0,446	-8,730E-4
2,700	-0,445	-0,002
2,750	-0,445	-7,559E-4
2,800	-0,445	-0,002
2,850	-0,444	-7,607E-4
2,900	-0,444	-0,002
2,950	-0,443	-7,363E-4
3,000	-0,443	-0,002
3,050	-0,442	-9,438E-4
3,100	-0,442	-0,002
3,150	-0,442	-9,243E-4
3,200	-0,442	-0,002
3,250	-0,441	-0,001
3,300	-0,441	-0,002
3,350	-0,440	-7,266E-4
3,400	-0,440	-0,002
3,450	-0,440	-9,487E-4
3,500	-0,439	-0,002
3,550	-0,439	-0,001
3,600	-0,438	-0,002
3,650	-0,437	-5,850E-4
3,700	-0,437	-0,002
3,750	-0,436	-6,582E-4
3,800	-0,435	-0,002
3,850	-0,435	-7,620E-4
3,900	-0,435	-0,002
3,950	-0,434	-4,836E-4
4,000	-0,434	-0,002
4,050	-0,433	-7,241E-4
4,100	-0,432	-0,002
4,150	-0,431	-9,719E-4
4,200	-0,430	-0,002
4,250	-0,429	-4,739E-4
4,300	-0,429	-0,002
4,350	-0,428	-7,302E-4
4,400	-0,428	-0,002
4,450	-0,427	-8,987E-4
4,500	-0,427	-0,002
4,550	-0,426	-6,313E-4
4,600	-0,426	-0,002
4,650	-0,425	-8,169E-4
4,700	-0,424	-0,002
4,750	-0,423	-6,948E-4
4,800	-0,422	-0,002
4,850	-0,422	-8,743E-4
4,900	-0,422	-0,002
4,950	-0,421	-5,703E-4
5,000	-0,420	-0,002
5,050	-0,420	-8,730E-4
5,100	-0,419	-0,001
5,150	-0,418	-5,105E-4
5,200	-0,418	-0,001
5,250	-0,417	-8,511E-4
5,300	-0,416	-0,002
5,350	-0,416	-6,179E-4
5,400	-0,416	-0,002
5,450	-0,416	-6,069E-4
5,500	-0,415	-0,001
5,550	-0,414	-5,532E-4
5,600	-0,413	-0,001
5,650	-0,413	-6,448E-4
5,700	-0,412	-0,002
5,750	-0,411	-5,789E-4
5,800	-0,410	-0,001
5,850	-0,409	-3,555E-4
5,900	-0,409	-0,001
5,950	-0,408	-3,201E-4
6,000	-0,407	-0,001
6,050	-0,407	-7,009E-4
6,100	-0,406	-0,001
6,150	-0,405	-6,179E-4
6,200	-0,405	-0,001
6,250	-0,404	-4,116E-4
6,300	-0,403	-0,001
6,350	-0,402	-3,872E-4
6,400	-0,402	-0,001
6,450	-0,400	-4,739E-4
6,500	-0,399	-0,001
6,550	-0,399	-4,055E-4
6,600	-0,398	-0,001
6,650	-0,397	-6,497E-4
6,700	-0,396	-0,001
6,750	-0,396	-5,776E-4
6,800	-0,395	-0,001
6,850	-0,394	-2,749E-4
6,900	-0,394	-0,001
6,950	-0,393	-3,042E-4
7,000	-0,392	-0,001
7,050	-0,392	-2,126E-4
7,100	-0,391	-0,001
7,150	-0,390	-1,919E-4
7,200	-0,389	-9,976E-4
7,250	-0,388	-4,360E-4
7,300	-0,387	-0,001
7,350	-0,387	-4,324E-4
7,400	-0,386	-8,413E-4
7,450	-0,386	-9,912E-5
7,500	-0,385	-7,571E-4
7,550	-0,385	-1,443E-4
7,600	-0,384	-0,001
7,650	-0,383	-2,615E-4
7,700	-0,383	-0,001
7,750	-0,382	1,196E-5
7,800	-0,381	-0,001
7,850	-0,380	5,103E-5
7,900	-0,379	-8,169E-4
7,950	-0,379	3,027E-5
8,000	-0,378	-6,863E-4
8,050	-0,378	-1,724E-4
8,100	-0,377	-7,791E-4
8,150	-0,376	2,109E-4
8,200	-0,376	-8,706E-4
8,250	-0,376	-1,138E-4
8,300	-0,376	-7,949E-4
8,350	-0,376	-1,980E-4
8,400	-0,376	-7,205E-4
8,450	-0,376	-7,568E-6
8,500	-0,376	-0,001
8,550	-0,376	-1,223E-4
8,600	-0,376	-0,001
8,650	-0,376	-3,564E-5
8,700	-0,376	-7,632E-4
8,750	-0,376	1,267E-4
8,800	-0,376	-7,327E-4
8,850	-0,376	-9,302E-5
8,900	-0,376	-9,719E-4
8,950	-0,376	2,417E-5
9,000	-0,376	-0,001
9,050	-0,376	2,295E-5
9,100	-0,376	-9,316E-4
9,150	-0,375	2,903E-4
9,200	-0,376	-8,145E-4
9,250	-0,376	7,080E-6
9,300	-0,376	-8,047E-4
9,350	-0,376	-1,455E-4
9,400	-0,376	-6,826E-4
9,450	-0,376	-6,372E-5
9,500	-0,374	-5,886E-4
9,550	-0,372	2,051E-5
9,600	-0,371	-6,570E-4
9,650	-0,371	2,051E-5
9,700	-0,371	-4,812E-4
9,750	-0,370	-4,617E-4
9,800	-0,369	-6,887E-4
9,850	-0,369	-2,578E-4
9,900	-0,368	-4,421E-4
9,950	-0,368	1,316E-4
10,000	-0,367	-6,338E-4
10,050	-0,367	3,477E-4
10,100	-0,367	-6,887E-4
10,150	-0,367	-1,895E-4
10,200	-0,366	-4,360E-4
10,250	-0,366	-9,546E-5
10,300	-0,365	-5,911E-4
10,350	-0,365	-4,297E-5
10,400	-0,364	-4,629E-4
10,450	-0,363	2,341E-4
10,500	-0,363	-4,189E-4
10,550	-0,363	4,575E-4
10,600	-0,362	-5,142E-4
10,650	-0,362	-2,441E-7
10,700	-0,361	-4,739E-4
10,750	-0,360	3,953E-4
10,800	-0,359	-3,970E-4
10,850	-0,358	3,647E-4
