Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5
0,000	-0,463	-0,002
0,050	-0,463	-0,001
0,100	-0,463	-0,002
0,150	-0,463	-0,001
0,200	-0,463	-0,002
0,250	-0,463	-0,001
0,300	-0,463	-0,002
0,350	-0,463	-0,001
0,400	-0,463	-0,002
0,450	-0,463	-0,001
0,500	-0,463	-0,002
0,550	-0,462	-0,001
0,600	-0,460	-0,002
0,650	-0,459	-0,001
0,700	-0,458	-0,002
0,750	-0,458	-0,001
0,800	-0,457	-0,002
0,850	-0,455	-0,001
0,900	-0,455	-0,002
0,950	-0,454	-0,001
1,000	-0,453	-0,002
1,050	-0,452	-0,001
1,100	-0,450	-0,002
1,150	-0,450	-0,001
1,200	-0,449	-0,002
1,250	-0,448	-7,791E-4
1,300	-0,447	-0,002
1,350	-0,446	-0,001
1,400	-0,445	-0,002
1,450	-0,443	-7,168E-4
1,500	-0,442	-0,002
1,550	-0,441	-0,001
1,600	-0,440	-0,002
1,650	-0,439	-6,692E-4
1,700	-0,439	-0,002
1,750	-0,438	-8,315E-4
1,800	-0,438	-0,002
1,850	-0,437	-9,573E-4
1,900	-0,436	-0,002
1,950	-0,435	-6,240E-4
2,000	-0,435	-0,002
2,050	-0,435	-0,001
2,100	-0,434	-0,002
2,150	-0,433	-0,001
2,200	-0,432	-0,002
2,250	-0,431	-7,839E-4
2,300	-0,430	-0,002
2,350	-0,430	-8,279E-4
2,400	-0,429	-0,002
2,450	-0,428	-7,485E-4
2,500	-0,427	-0,002
2,550	-0,427	-7,314E-4
2,600	-0,426	-0,002
2,650	-0,425	-6,545E-4
2,700	-0,425	-0,002
2,750	-0,424	-4,482E-4
2,800	-0,423	-0,002
2,850	-0,421	-4,324E-4
2,900	-0,420	-0,001
2,950	-0,420	-5,593E-4
3,000	-0,419	-0,001
3,050	-0,419	-5,044E-4
3,100	-0,418	-0,001
3,150	-0,417	-6,851E-4
3,200	-0,416	-0,001
3,250	-0,415	-4,885E-4
3,300	-0,413	-0,001
3,350	-0,413	-5,264E-4
3,400	-0,411	-0,001
3,450	-0,411	-5,581E-4
3,500	-0,409	-0,001
3,550	-0,408	-2,686E-6
3,600	-0,406	-0,001
3,650	-0,404	-3,127E-4
3,700	-0,403	-0,001
3,750	-0,402	-1,235E-4
3,800	-0,401	-0,001
3,850	-0,400	-1,248E-4
3,900	-0,399	-9,902E-4
3,950	-0,398	-1,040E-4
4,000	-0,397	-0,001
4,050	-0,397	-9,668E-5
4,100	-0,395	-9,390E-4
4,150	-0,394	-4,800E-4
4,200	-0,393	-0,001
4,250	-0,393	-1,980E-4
4,300	-0,392	-0,001
4,350	-0,391	2,390E-4
4,400	-0,390	-7,913E-4
4,450	-0,389	-1,614E-4
4,500	-0,388	-9,402E-4
4,550	-0,388	-1,919E-4
4,600	-0,387	-8,706E-4
4,650	-0,386	-1,855E-5
4,700	-0,385	-7,241E-4
4,750	-0,385	-6,982E-5
4,800	-0,383	-5,593E-4
4,850	-0,382	4,233E-4
4,900	-0,381	-8,535E-4
4,950	-0,379	3,501E-4
5,000	-0,378	-6,912E-4
5,050	-0,377	3,232E-4
5,100	-0,376	-6,936E-4
5,150	-0,375	3,574E-4
5,200	-0,374	-5,813E-4
5,250	-0,373	4,539E-4
5,300	-0,373	-3,335E-4
5,350	-0,372	3,074E-4
5,400	-0,372	-9,097E-4
5,450	-0,371	3,538E-4
5,500	-0,369	-4,299E-4
5,550	-0,369	4,612E-4
5,600	-0,368	-4,971E-4
5,650	-0,367	4,441E-4
5,700	-0,367	-5,117E-4
5,750	-0,367	2,720E-4
5,800	-0,367	-6,997E-4
5,850	-0,366	2,976E-4
5,900	-0,366	-6,289E-4
5,950	-0,365	4,941E-4
6,000	-0,365	-4,702E-4
6,050	-0,365	4,539E-4
6,100	-0,364	-4,690E-4
6,150	-0,363	8,359E-4
6,200	-0,362	-3,860E-4
6,250	-0,361	6,479E-4
6,300	-0,360	-4,324E-4
6,350	-0,360	6,492E-4
6,400	-0,359	-3,396E-4
6,450	-0,358	4,478E-4
6,500	-0,357	-7,351E-4
6,550	-0,356	7,419E-4
6,600	-0,356	-3,604E-4
6,650	-0,355	4,807E-4
6,700	-0,355	-5,715E-4
6,750	-0,354	7,004E-4
6,800	-0,353	-1,895E-4
6,850	-0,353	5,015E-4
6,900	-0,352	1,318E-5
6,950	-0,352	5,466E-4
7,000	-0,351	-1,443E-4
7,050	-0,350	0,001
7,100	-0,350	-3,164E-4
7,150	-0,349	8,884E-4
7,200	-0,348	-2,908E-4
7,250	-0,348	9,556E-4
7,300	-0,347	-5,762E-5
7,350	-0,346	0,001
7,400	-0,345	1,023E-4
7,450	-0,345	8,225E-4
7,500	-0,344	-9,546E-5
7,550	-0,343	9,788E-4
7,600	-0,343	3,418E-6
7,650	-0,342	0,001
7,700	-0,341	4,614E-5
7,750	-0,340	0,001
7,800	-0,340	1,841E-4
7,850	-0,339	0,001
7,900	-0,340	-2,908E-4
7,950	-0,340	8,591E-4
8,000	-0,339	1,072E-4
8,050	-0,340	6,663E-4
8,100	-0,339	-1,260E-4
8,150	-0,339	9,629E-4
8,200	-0,339	-2,725E-4
8,250	-0,340	8,018E-4
8,300	-0,339	-3,442E-5
8,350	-0,339	0,001
8,400	-0,339	8,398E-5
8,450	-0,339	0,001
8,500	-0,339	3,271E-5
8,550	-0,339	0,001
8,600	-0,339	-5,884E-5
8,650	-0,339	0,001
8,700	-0,339	2,539E-5
8,750	-0,339	0,001
8,800	-0,339	3,025E-4
8,850	-0,339	9,873E-4
8,900	-0,339	5,835E-5
8,950	-0,339	0,001
9,000	-0,339	1,218E-4
9,050	-0,339	0,001
9,100	-0,339	-6,738E-5
9,150	-0,339	0,001
9,200	-0,339	-1,821E-4
9,250	-0,339	0,001
9,300	-0,339	-1,345E-4
9,350	-0,340	8,750E-4
9,400	-0,339	-6,128E-5
9,450	-0,340	8,665E-4
9,500	-0,339	-3,076E-5
9,550	-0,340	8,909E-4
9,600	-0,339	-2,100E-5
9,650	-0,339	9,678E-4
9,700	-0,340	-2,407E-4
9,750	-0,339	0,001
9,800	-0,340	-4,727E-4
9,850	-0,339	0,001
9,900	-0,339	-6,128E-5
9,950	-0,339	0,001
10,000	-0,338	1,133E-4
10,050	-0,337	7,859E-4
10,100	-0,336	-2,029E-4
10,150	-0,336	9,177E-4
10,200	-0,333	2,244E-4
10,250	-0,332	0,001
10,300	-0,331	1,902E-4
10,350	-0,331	0,001
10,400	-0,330	3,135E-4
10,450	-0,329	0,002
10,500	-0,329	1,975E-4
10,550	-0,328	0,001
10,600	-0,328	-1,418E-4
10,650	-0,327	0,001
10,700	-0,327	3,293E-4
10,750	-0,326	0,002
10,800	-0,325	2,659E-4
10,850	-0,324	0,002
10,900	-0,323	5,613E-4
10,950	-0,323	0,001
11,000	-0,322	3,672E-4
11,050	-0,322	0,002
11,100	-0,322	5,161E-4
11,150	-0,322	0,001
11,200	-0,320	2,842E-4
11,250	-0,320	0,002
11,300	-0,320	3,367E-4
11,350	-0,320	0,002
11,400	-0,319	2,634E-4
11,450	-0,318	0,001
11,500	-0,317	3,843E-4
11,550	-0,316	0,002
11,600	-0,315	4,478E-4
11,650	-0,313	0,001
11,700	-0,311	8,115E-4
11,750	-0,310	0,002
11,800	-0,309	9,202E-4
11,850	-0,308	0,002
11,900	-0,308	7,529E-4
11,950	-0,307	0,002
12,000	-0,306	7,529E-4
12,050	-0,305	0,002
12,100	-0,304	0,001
12,150	-0,304	0,002
12,200	-0,302	0,001
12,250	-0,300	0,002
12,300	-0,298	0,001
12,350	-0,295	0,003
12,400	-0,293	0,002
12,450	-0,291	0,003
12,500	-0,289	0,002
12,550	-0,287	0,003
12,600	-0,286	0,002
12,650	-0,284	0,003
12,700	-0,284	0,002
12,750	-0,282	0,003
12,800	-0,281	0,002
12,850	-0,280	0,003
12,900	-0,280	0,002
12,950	-0,279	0,003
13,000	-0,279	0,002
13,050	-0,278	0,003
13,100	-0,278	0,002
13,150	-0,277	0,003
13,200	-0,277	0,002
13,250	-0,276	0,003
13,300	-0,275	0,002
13,350	-0,274	0,004
13,400	-0,274	0,003
13,450	-0,274	0,004
13,500	-0,274	0,002
13,550	-0,274	0,004
13,600	-0,274	0,002
13,650	-0,274	0,003
13,700	-0,274	0,002
13,750	-0,274	0,003
13,800	-0,273	0,002
13,850	-0,272	0,003
13,900	-0,272	0,003
13,950	-0,271	0,004
14,000	-0,270	0,003
14,050	-0,269	0,004
14,100	-0,269	0,003
14,150	-0,268	0,004
14,200	-0,269	0,003
14,250	-0,268	0,004
14,300	-0,268	0,003
14,350	-0,267	0,004
14,400	-0,266	0,003
14,450	-0,265	0,004
14,500	-0,264	0,003
14,550	-0,264	0,004
14,600	-0,263	0,003
14,650	-0,263	0,004
14,700	-0,262	0,003
14,750	-0,262	0,004
14,800	-0,261	0,003
14,850	-0,261	0,004
14,900	-0,260	0,003
14,950	-0,260	0,004
15,000	-0,260	0,003
15,050	-0,260	0,005
15,100	-0,260	0,003
15,150	-0,260	0,004
15,200	-0,260	0,003
15,250	-0,260	0,004
15,300	-0,260	0,003
