Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11
0,000	1,003	-0,002
0,050	1,003	-0,001
0,100	1,003	-0,002
0,150	1,003	-0,001
0,200	1,003	-0,002
0,250	1,003	-0,001
0,300	1,003	-0,002
0,350	1,003	-0,001
0,400	1,003	-0,002
0,450	1,003	-0,001
0,500	1,003	-0,002
0,550	1,003	-0,001
0,600	1,002	-0,002
0,650	1,003	-0,001
0,700	1,003	-0,002
0,750	1,003	-0,001
0,800	1,002	-0,002
0,850	1,003	-0,001
0,900	1,003	-0,002
0,950	1,003	-0,001
1,000	1,003	-0,002
1,050	1,002	-0,001
1,100	1,000	-0,002
1,150	0,999	-0,002
1,200	0,998	-0,002
1,250	0,997	-0,001
1,300	0,996	-0,002
1,350	0,995	-0,002
1,400	0,994	-0,003
1,450	0,992	-0,002
1,500	0,991	-0,003
1,550	0,990	-0,002
1,600	0,989	-0,003
1,650	0,988	-0,002
1,700	0,987	-0,003
1,750	0,987	-0,002
1,800	0,986	-0,003
1,850	0,986	-0,002
1,900	0,985	-0,003
1,950	0,985	-0,002
2,000	0,983	-0,003
2,050	0,983	-0,002
2,100	0,982	-0,003
2,150	0,981	-0,002
2,200	0,979	-0,003
2,250	0,978	-0,002
2,300	0,977	-0,003
2,350	0,977	-0,002
2,400	0,976	-0,003
2,450	0,975	-0,003
2,500	0,974	-0,004
2,550	0,973	-0,003
2,600	0,972	-0,003
2,650	0,971	-0,003
2,700	0,969	-0,004
2,750	0,968	-0,003
2,800	0,967	-0,004
2,850	0,966	-0,003
2,900	0,965	-0,004
2,950	0,964	-0,003
3,000	0,963	-0,004
3,050	0,962	-0,004
3,100	0,960	-0,004
3,150	0,959	-0,004
3,200	0,958	-0,005
3,250	0,957	-0,004
3,300	0,958	-0,004
3,350	0,958	-0,004
3,400	0,958	-0,004
3,450	0,958	-0,004
3,500	0,957	-0,004
3,550	0,957	-0,004
3,600	0,958	-0,004
3,650	0,957	-0,004
3,700	0,957	-0,005
3,750	0,956	-0,004
3,800	0,953	-0,005
3,850	0,951	-0,004
3,900	0,948	-0,005
3,950	0,946	-0,005
4,000	0,943	-0,005
4,050	0,941	-0,005
4,100	0,939	-0,006
4,150	0,938	-0,005
4,200	0,936	-0,006
4,250	0,934	-0,005
4,300	0,932	-0,006
4,350	0,930	-0,005
4,400	0,928	-0,006
4,450	0,927	-0,005
4,500	0,925	-0,006
4,550	0,924	-0,006
4,600	0,923	-0,006
4,650	0,921	-0,006
4,700	0,920	-0,006
4,750	0,918	-0,006
4,800	0,917	-0,007
4,850	0,916	-0,006
4,900	0,913	-0,007
4,950	0,911	-0,006
5,000	0,908	-0,007
5,050	0,904	-0,007
5,100	0,901	-0,008
5,150	0,898	-0,008
5,200	0,895	-0,008
5,250	0,891	-0,008
5,300	0,888	-0,009
5,350	0,886	-0,008
5,400	0,886	-0,008
5,450	0,885	-0,008
5,500	0,884	-0,009
5,550	0,882	-0,009
5,600	0,881	-0,009
5,650	0,879	-0,008
5,700	0,877	-0,009
5,750	0,877	-0,009
5,800	0,877	-0,009
5,850	0,877	-0,008
5,900	0,877	-0,009
5,950	0,877	-0,009
6,000	0,877	-0,009
6,050	0,877	-0,009
6,100	0,877	-0,009
6,150	0,877	-0,008
6,200	0,876	-0,009
6,250	0,873	-0,009
6,300	0,871	-0,010
6,350	0,868	-0,009
6,400	0,866	-0,010
6,450	0,864	-0,009
6,500	0,862	-0,010
6,550	0,859	-0,010
6,600	0,856	-0,011
6,650	0,854	-0,010
6,700	0,853	-0,011
6,750	0,851	-0,010
6,800	0,850	-0,011
6,850	0,847	-0,011
6,900	0,845	-0,011
6,950	0,843	-0,011
7,000	0,842	-0,012
7,050	0,840	-0,011
7,100	0,838	-0,012
7,150	0,836	-0,012
7,200	0,835	-0,012
7,250	0,833	-0,011
7,300	0,831	-0,012
7,350	0,829	-0,012
7,400	0,828	-0,012
