Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14
0,000	-6,722	-0,002
0,050	-6,722	-0,002
0,100	-6,722	-0,002
0,150	-6,723	-0,002
0,200	-6,722	-0,002
0,250	-6,723	-0,002
0,300	-6,722	-0,002
0,350	-6,723	-0,002
0,400	-6,722	-0,002
0,450	-6,723	-0,002
0,500	-6,722	-0,002
0,550	-6,717	-0,002
0,600	-6,679	-0,002
0,650	-6,607	-0,002
0,700	-6,533	-0,002
0,750	-6,492	-0,002
0,800	-6,456	-0,002
0,850	-6,424	-0,002
0,900	-6,390	-0,002
0,950	-6,362	-0,002
1,000	-6,338	-0,002
1,050	-6,318	-0,002
1,100	-6,298	-0,002
1,150	-6,278	-0,002
1,200	-6,256	-0,002
1,250	-6,234	-0,001
1,300	-6,213	-0,002
1,350	-6,194	-0,002
1,400	-6,174	-0,002
1,450	-6,152	-0,002
1,500	-6,124	-0,002
1,550	-6,096	-0,002
1,600	-6,068	-0,002
1,650	-6,046	-0,002
1,700	-6,026	-0,002
1,750	-6,007	-0,002
1,800	-5,985	-0,002
1,850	-5,964	-0,002
1,900	-5,935	-0,002
1,950	-5,907	-0,002
2,000	-5,885	-0,002
2,050	-5,866	-0,001
2,100	-5,848	-0,002
2,150	-5,824	-0,002
2,200	-5,792	-0,002
2,250	-5,765	-0,002
2,300	-5,734	-0,002
2,350	-5,698	-0,001
2,400	-5,657	-0,002
2,450	-5,617	-0,002
2,500	-5,581	-0,002
2,550	-5,549	-0,002
2,600	-5,513	-0,001
2,650	-5,467	-0,002
2,700	-5,411	-0,002
2,750	-5,356	-0,001
2,800	-5,302	-0,001
2,850	-5,252	-0,002
2,900	-5,205	-0,001
2,950	-5,165	-0,001
3,000	-5,127	-0,001
3,050	-5,097	-0,001
3,100	-5,071	-0,001
3,150	-5,044	-0,001
3,200	-5,009	-0,001
3,250	-4,971	-0,002
3,300	-4,930	-0,002
3,350	-4,898	-0,001
3,400	-4,880	-0,001
3,450	-4,873	-0,002
3,500	-4,867	-0,001
3,550	-4,866	-0,001
3,600	-4,864	-0,001
3,650	-4,864	-0,001
3,700	-4,862	-8,376E-4
3,750	-4,863	-0,001
3,800	-4,862	-0,001
3,850	-4,864	-0,001
3,900	-4,863	-0,001
3,950	-4,863	-0,001
4,000	-4,845	-0,001
4,050	-4,799	-0,001
4,100	-4,744	-0,001
4,150	-4,686	-0,001
4,200	-4,625	-0,001
4,250	-4,566	-0,001
4,300	-4,509	-0,001
4,350	-4,455	-0,001
4,400	-4,400	-0,001
4,450	-4,345	-0,001
4,500	-4,284	-9,939E-4
4,550	-4,221	-9,133E-4
4,600	-4,152	-8,303E-4
4,650	-4,075	-0,001
4,700	-4,006	-9,902E-4
4,750	-3,959	-0,001
4,800	-3,922	-8,047E-4
4,850	-3,880	-0,001
4,900	-3,828	-7,791E-4
4,950	-3,771	-9,243E-4
5,000	-3,714	-8,621E-4
5,050	-3,671	-9,194E-4
5,100	-3,632	-8,767E-4
5,150	-3,589	-0,001
5,200	-3,549	-8,633E-4
5,250	-3,524	-9,426E-4
5,300	-3,509	-7,021E-4
5,350	-3,503	-6,948E-4
5,400	-3,498	-5,068E-4
5,450	-3,497	-7,266E-4
5,500	-3,495	-3,896E-4
5,550	-3,496	-8,389E-4
5,600	-3,494	-7,339E-4
5,650	-3,491	-7,083E-4
5,700	-3,435	-4,617E-4
5,750	-3,337	-7,986E-4
5,800	-3,257	-4,141E-4
5,850	-3,214	-8,071E-4
5,900	-3,181	-2,834E-4
5,950	-3,151	-8,901E-4
6,000	-3,103	-3,054E-4
6,050	-3,040	-6,936E-4
6,100	-2,979	-3,152E-4
6,150	-2,937	-4,629E-4
6,200	-2,902	-1,123E-5
6,250	-2,871	-7,559E-4
6,300	-2,842	-2,686E-6
6,350	-2,817	-4,299E-4
6,400	-2,784	-3,701E-4
6,450	-2,753	-3,079E-4
6,500	-2,724	-1,833E-4
6,550	-2,692	-1,125E-4
