Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1
0,000	6,693	-0,026
0,050	6,694	-0,026
0,100	6,693	-0,026
0,150	6,693	-0,026
0,200	6,693	-0,026
0,250	6,693	-0,026
0,300	6,693	-0,027
0,350	6,693	-0,026
0,400	6,693	-0,026
0,450	6,693	-0,026
0,500	6,693	-0,026
0,550	6,693	-0,026
0,600	6,693	-0,026
0,650	6,694	-0,026
0,700	6,693	-0,026
0,750	6,694	-0,026
0,800	6,693	-0,026
0,850	6,694	-0,026
0,900	6,693	-0,026
0,950	6,681	-0,026
1,000	6,629	-0,027
1,050	6,572	-0,027
1,100	6,543	-0,027
1,150	6,527	-0,027
1,200	6,506	-0,028
1,250	6,479	-0,028
1,300	6,452	-0,028
1,350	6,431	-0,028
1,400	6,414	-0,028
1,450	6,393	-0,028
1,500	6,361	-0,029
1,550	6,326	-0,029
1,600	6,290	-0,029
1,650	6,258	-0,029
1,700	6,230	-0,029
1,750	6,199	-0,030
1,800	6,162	-0,031
1,850	6,128	-0,030
1,900	6,104	-0,031
1,950	6,084	-0,031
2,000	6,065	-0,031
2,050	6,049	-0,031
2,100	6,029	-0,031
2,150	6,005	-0,032
2,200	5,977	-0,032
2,250	5,951	-0,032
2,300	5,936	-0,032
2,350	5,922	-0,032
2,400	5,904	-0,033
2,450	5,886	-0,032
2,500	5,868	-0,033
2,550	5,847	-0,033
2,600	5,830	-0,033
2,650	5,815	-0,033
2,700	5,806	-0,033
2,750	5,797	-0,033
2,800	5,780	-0,034
2,850	5,762	-0,034
2,900	5,749	-0,033
2,950	5,735	-0,034
3,000	5,719	-0,034
3,050	5,697	-0,034
3,100	5,668	-0,035
3,150	5,642	-0,034
3,200	5,619	-0,035
3,250	5,598	-0,035
3,300	5,579	-0,035
3,350	5,561	-0,035
3,400	5,545	-0,035
3,450	5,530	-0,036
3,500	5,509	-0,036
3,550	5,483	-0,036
3,600	5,457	-0,036
3,650	5,433	-0,037
3,700	5,411	-0,037
3,750	5,389	-0,037
3,800	5,366	-0,037
3,850	5,338	-0,037
3,900	5,307	-0,038
3,950	5,278	-0,038
4,000	5,251	-0,038
4,050	5,229	-0,039
4,100	5,210	-0,039
4,150	5,184	-0,039
4,200	5,155	-0,039
4,250	5,125	-0,040
4,300	5,098	-0,040
4,350	5,075	-0,040
4,400	5,051	-0,040
4,450	5,024	-0,040
4,500	4,996	-0,041
4,550	4,971	-0,041
4,600	4,949	-0,041
4,650	4,927	-0,041
4,700	4,903	-0,042
4,750	4,875	-0,042
4,800	4,846	-0,042
4,850	4,824	-0,042
4,900	4,805	-0,043
4,950	4,786	-0,043
5,000	4,767	-0,043
5,050	4,745	-0,043
5,100	4,721	-0,044
5,150	4,695	-0,044
5,200	4,671	-0,044
5,250	4,651	-0,044
5,300	4,634	-0,045
5,350	4,619	-0,045
5,400	4,603	-0,045
5,450	4,581	-0,045
5,500	4,552	-0,046
5,550	4,527	-0,046
5,600	4,508	-0,046
5,650	4,490	-0,046
5,700	4,477	-0,047
5,750	4,463	-0,046
5,800	4,447	-0,047
5,850	4,428	-0,047
5,900	4,410	-0,047
5,950	4,393	-0,047
6,000	4,373	-0,048
6,050	4,353	-0,048
6,100	4,333	-0,048
6,150	4,315	-0,048
6,200	4,297	-0,049
6,250	4,278	-0,049
6,300	4,261	-0,049
6,350	4,246	-0,049
6,400	4,233	-0,049
6,450	4,221	-0,050
6,500	4,207	-0,050
6,550	4,195	-0,050
6,600	4,180	-0,050
6,650	4,163	-0,050
6,700	4,145	-0,051
6,750	4,126	-0,051
6,800	4,107	-0,051
6,850	4,085	-0,051
6,900	4,062	-0,052
6,950	4,041	-0,052
7,000	4,017	-0,052
7,050	3,991	-0,052
7,100	3,965	-0,053
7,150	3,941	-0,053
7,200	3,919	-0,054
7,250	3,897	-0,054
7,300	3,872	-0,055
7,350	3,845	-0,055
7,400	3,821	-0,055
7,450	3,804	-0,055
7,500	3,785	-0,056
7,550	3,762	-0,056
7,600	3,726	-0,057
7,650	3,683	-0,057
7,700	3,634	-0,058
7,750	3,582	-0,059
7,800	3,538	-0,060
7,850	3,494	-0,060
7,900	3,451	-0,061
7,950	3,398	-0,062
8,000	3,329	-0,063
8,050	3,259	-0,064
8,100	3,201	-0,065
8,150	3,164	-0,066
8,200	3,145	-0,067
8,250	3,121	-0,067
8,300	3,086	-0,068
8,350	3,051	-0,068
8,400	3,023	-0,069
8,450	2,999	-0,069
8,500	2,983	-0,070
8,550	2,964	-0,070
8,600	2,936	-0,071
8,650	2,908	-0,071
8,700	2,885	-0,072
8,750	2,874	-0,072
8,800	2,864	-0,073
8,850	2,848	-0,072
8,900	2,828	-0,074
8,950	2,807	-0,074
9,000	2,790	-0,074
9,050	2,781	-0,074
9,100	2,762	-0,075
9,150	2,735	-0,075
9,200	2,717	-0,076
9,250	2,709	-0,076
9,300	2,693	-0,076
9,350	2,656	-0,077
9,400	2,616	-0,078
9,450	2,587	-0,079
9,500	2,568	-0,080
9,550	2,537	-0,080
9,600	2,496	-0,082
9,650	2,454	-0,082
9,700	2,425	-0,083
9,750	2,410	-0,084
9,800	2,381	-0,085
9,850	2,328	-0,086
9,900	2,256	-0,088
9,950	2,171	-0,091
10,000	2,099	-0,093
10,050	2,052	-0,094
10,100	2,020	-0,096
10,150	1,989	-0,097
10,200	1,958	-0,098
10,250	1,934	-0,099
10,300	1,918	-0,100
10,350	1,906	-0,100
10,400	1,892	-0,100
10,450	1,863	-0,101
10,500	1,814	-0,103
10,550	1,759	-0,105
10,600	1,719	-0,107
10,650	1,693	-0,108
10,700	1,674	-0,109
10,750	1,654	-0,109
10,800	1,629	-0,110
10,850	1,597	-0,111
10,900	1,563	-0,113
10,950	1,532	-0,114
11,000	1,502	-0,116
11,050	1,475	-0,117
11,100	1,442	-0,119
11,150	1,405	-0,120
11,200	1,364	-0,122
11,250	1,324	-0,124
11,300	1,289	-0,126
11,350	1,258	-0,127
11,400	1,228	-0,129
11,450	1,196	-0,130
11,500	1,161	-0,132
11,550	1,126	-0,134
11,600	1,091	-0,136
11,650	1,057	-0,138
11,700	1,027	-0,140
11,750	0,998	-0,141
11,800	0,969	-0,143
11,850	0,937	-0,145
11,900	0,902	-0,147
11,950	0,858	-0,149
12,000	0,817	-0,152
12,050	0,783	-0,154
12,100	0,749	-0,157
12,150	0,714	-0,159
12,200	0,681	-0,162
12,250	0,645	-0,164
12,300	0,601	-0,167
12,350	0,551	-0,171
12,400	0,509	-0,175
12,450	0,484	-0,177
12,500	0,464	-0,179
12,550	0,435	-0,181
12,600	0,382	-0,186
12,650	0,308	-0,192
12,700	0,233	-0,201
12,750	0,172	-0,208
12,800	0,124	-0,215
12,850	0,084	-0,220
12,900	0,050	-0,226
12,950	0,018	-0,230
13,000	-0,012	-0,236
13,050	-0,040	-0,241
13,100	-0,063	-0,246
13,150	-0,079	-0,250
13,200	-0,087	-0,252
13,250	-0,090	-0,254
13,300	-0,088	-0,255
13,350	-0,084	-0,255
13,400	-0,080	-0,255
13,450	-0,077	-0,255
13,500	-0,075	-0,255
13,550	-0,074	-0,255
13,600	-0,074	-0,255
13,650	-0,074	-0,255
13,700	-0,074	-0,255
13,750	-0,074	-0,255
13,800	-0,074	-0,255
13,850	-0,074	-0,255
13,900	-0,074	-0,255
13,950	-0,074	-0,254
14,000	-0,074	-0,255
14,050	-0,074	-0,255
14,100	-0,074	-0,255
14,150	-0,074	-0,255
14,200	-0,074	-0,255
14,250	-0,074	-0,255
14,300	-0,074	-0,255
14,350	-0,074	-0,255
14,400	-0,074	-0,255
14,450	-0,074	-0,255
14,500	-0,075	-0,255
14,550	-0,074	-0,255
14,600	-0,075	-0,255
14,650	-0,074	-0,255
14,700	-0,075	-0,255
14,750	-0,074	-0,255
14,800	-0,075	-0,255
14,850	-0,074	-0,255
14,900	-0,075	-0,255
14,950	-0,075	-0,255
15,000	-0,075	-0,255
15,050	-0,075	-0,255
15,100	-0,075	-0,255
15,150	-0,075	-0,255
15,200	-0,075	-0,255
15,250	-0,075	-0,255
15,300	-0,075	-0,255
15,350	-0,075	-0,255
15,400	-0,075	-0,255
15,450	-0,075	-0,255
15,500	-0,075	-0,255
15,550	-0,075	-0,255
15,600	-0,075	-0,255
15,650	-0,075	-0,255
15,700	-0,075	-0,255
15,750	-0,075	-0,255
15,800	-0,075	-0,255
15,850	-0,075	-0,255
15,900	-0,075	-0,255
15,950	-0,075	-0,255
16,000	-0,075	-0,255
16,050	-0,075	-0,255
16,100	-0,075	-0,255
16,150	-0,075	-0,255
16,200	-0,075	-0,255
16,250	-0,075	-0,255
16,300	-0,075	-0,255
16,350	-0,075	-0,255
16,400	-0,075	-0,255
16,450	-0,075	-0,255
16,500	-0,075	-0,255
16,550	-0,075	-0,255
16,600	-0,075	-0,255
16,650	-0,075	-0,255
16,700	-0,075	-0,255
16,750	-0,075	-0,255
16,800	-0,075	-0,255
16,850	-0,075	-0,255
16,900	-0,075	-0,255
16,950	-0,075	-0,255
17,000	-0,075	-0,255
17,050	-0,075	-0,255
17,100	-0,075	-0,255
17,150	-0,075	-0,255
17,200	-0,075	-0,255
17,250	-0,075	-0,255
17,300	-0,075	-0,255
17,350	-0,075	-0,255
17,400	-0,075	-0,255
17,450	-0,075	-0,255
17,500	-0,075	-0,255
17,550	-0,075	-0,255
17,600	-0,075	-0,255
17,650	-0,075	-0,255
17,700	-0,075	-0,255
17,750	-0,075	-0,255
17,800	-0,075	-0,255
17,850	-0,075	-0,255
17,900	-0,076	-0,256
17,950	-0,075	-0,255
18,000	-0,019	-0,253
18,050	0,076	-0,250
18,100	0,093	-0,249
18,150	0,089	-0,249
18,200	0,084	-0,249
18,250	0,081	-0,249
18,300	0,080	-0,249
18,350	0,079	-0,249
18,400	0,079	-0,249
18,450	0,079	-0,249
18,500	0,079	-0,249
18,550	0,078	-0,249
18,600	0,079	-0,249
18,650	0,078	-0,249
18,700	0,079	-0,249
18,750	0,079	-0,249
18,800	0,079	-0,249
18,850	0,079	-0,249
18,900	0,079	-0,249
18,950	0,078	-0,249
19,000	0,079	-0,249
19,050	0,078	-0,249
19,100	0,079	-0,249
19,150	0,079	-0,249
19,200	0,079	-0,249
19,250	0,079	-0,249
19,300	0,078	-0,249
19,350	0,079	-0,249
19,400	0,078	-0,250
19,450	0,079	-0,249
19,500	0,078	-0,250
19,550	0,079	-0,249
19,600	0,079	-0,249
