Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10
0,000	1,008	-0,002
0,050	1,008	-0,001
0,100	1,008	-0,002
0,150	1,008	-9,939E-4
0,200	1,008	-0,002
0,250	1,007	-0,001
0,300	1,008	-0,002
0,350	1,008	-0,001
0,400	1,008	-0,002
0,450	1,008	-0,001
0,500	1,008	-0,002
0,550	1,008	-0,001
0,600	1,008	-0,002
0,650	1,008	-0,001
0,700	1,008	-0,002
0,750	1,008	-0,002
0,800	1,008	-0,002
0,850	1,008	-0,001
0,900	1,008	-0,002
0,950	1,008	-0,001
1,000	1,008	-0,002
1,050	1,008	-0,001
1,100	1,008	-0,002
1,150	1,008	-0,001
1,200	1,008	-0,002
1,250	1,008	-0,001
1,300	1,008	-0,002
1,350	1,008	-0,001
1,400	1,008	-0,002
1,450	1,008	-0,001
1,500	1,006	-0,002
1,550	1,005	-0,001
1,600	1,003	-0,003
1,650	1,001	-0,002
1,700	1,000	-0,003
1,750	0,999	-0,002
1,800	0,999	-0,003
1,850	0,998	-0,002
1,900	0,997	-0,003
1,950	0,996	-0,002
2,000	0,995	-0,003
2,050	0,994	-0,002
2,100	0,993	-0,003
2,150	0,992	-0,002
2,200	0,991	-0,003
2,250	0,991	-0,002
2,300	0,990	-0,003
2,350	0,989	-0,002
2,400	0,988	-0,003
2,450	0,986	-0,003
2,500	0,985	-0,003
2,550	0,983	-0,003
2,600	0,979	-0,004
2,650	0,977	-0,003
2,700	0,975	-0,004
2,750	0,974	-0,003
2,800	0,973	-0,004
2,850	0,972	-0,003
2,900	0,971	-0,004
2,950	0,969	-0,003
3,000	0,968	-0,004
3,050	0,966	-0,003
3,100	0,963	-0,004
3,150	0,961	-0,004
3,200	0,959	-0,005
3,250	0,956	-0,004
3,300	0,952	-0,005
3,350	0,950	-0,004
3,400	0,946	-0,005
3,450	0,944	-0,005
3,500	0,944	-0,006
3,550	0,944	-0,005
3,600	0,944	-0,005
3,650	0,944	-0,005
3,700	0,944	-0,005
3,750	0,944	-0,005
3,800	0,944	-0,005
3,850	0,944	-0,005
3,900	0,944	-0,005
3,950	0,942	-0,005
4,000	0,938	-0,006
4,050	0,936	-0,005
4,100	0,934	-0,006
4,150	0,932	-0,006
4,200	0,931	-0,006
4,250	0,930	-0,006
4,300	0,928	-0,006
4,350	0,927	-0,006
4,400	0,925	-0,007
4,450	0,922	-0,006
4,500	0,920	-0,007
4,550	0,917	-0,007
4,600	0,915	-0,007
4,650	0,912	-0,007
4,700	0,911	-0,007
4,750	0,908	-0,007
4,800	0,906	-0,008
4,850	0,904	-0,007
4,900	0,903	-0,008
4,950	0,903	-0,007
5,000	0,901	-0,008
5,050	0,900	-0,008
5,100	0,899	-0,008
5,150	0,897	-0,008
5,200	0,895	-0,008
5,250	0,893	-0,008
5,300	0,890	-0,008
5,350	0,888	-0,008
5,400	0,885	-0,009
5,450	0,882	-0,009
5,500	0,880	-0,009
5,550	0,879	-0,009
5,600	0,878	-0,009
5,650	0,876	-0,009
5,700	0,873	-0,010
5,750	0,871	-0,010
5,800	0,869	-0,010
5,850	0,868	-0,010
5,900	0,866	-0,010
5,950	0,864	-0,010
6,000	0,862	-0,010
6,050	0,862	-0,010
6,100	0,862	-0,010
6,150	0,862	-0,010
6,200	0,862	-0,011
6,250	0,862	-0,010
6,300	0,862	-0,010
6,350	0,862	-0,010
6,400	0,862	-0,010
6,450	0,862	-0,010
6,500	0,862	-0,010
6,550	0,860	-0,010
6,600	0,858	-0,011
6,650	0,858	-0,010
6,700	0,857	-0,011
6,750	0,855	-0,010
6,800	0,853	-0,011
6,850	0,852	-0,011
6,900	0,850	-0,011
6,950	0,849	-0,011
7,000	0,847	-0,011
7,050	0,844	-0,011
7,100	0,842	-0,011
7,150	0,841	-0,011
7,200	0,841	-0,012
7,250	0,839	-0,012
7,300	0,836	-0,012
7,350	0,835	-0,012
7,400	0,833	-0,012
7,450	0,831	-0,012
7,500	0,828	-0,013
7,550	0,826	-0,013
7,600	0,825	-0,013
7,650	0,823	-0,013
7,700	0,821	-0,013
7,750	0,818	-0,013
7,800	0,816	-0,013
7,850	0,815	-0,013
7,900	0,813	-0,013
7,950	0,810	-0,014
8,000	0,807	-0,014
8,050	0,803	-0,014
8,100	0,800	-0,015
8,150	0,797	-0,015
8,200	0,795	-0,015
8,250	0,792	-0,015
8,300	0,789	-0,015
8,350	0,786	-0,016
8,400	0,784	-0,015
8,450	0,781	-0,016
8,500	0,780	-0,016
8,550	0,780	-0,016
8,600	0,780	-0,016
8,650	0,779	-0,016
8,700	0,779	-0,016
8,750	0,779	-0,016
8,800	0,779	-0,016
8,850	0,779	-0,016
8,900	0,779	-0,016
8,950	0,779	-0,016
9,000	0,780	-0,016
9,050	0,779	-0,016
9,100	0,779	-0,016
9,150	0,779	-0,016
9,200	0,779	-0,016
9,250	0,774	-0,017
9,300	0,771	-0,016
9,350	0,769	-0,017
9,400	0,766	-0,017
9,450	0,762	-0,018
9,500	0,757	-0,018
9,550	0,754	-0,018
9,600	0,752	-0,018
9,650	0,751	-0,019
9,700	0,749	-0,018
9,750	0,746	-0,019
9,800	0,742	-0,019
9,850	0,739	-0,019
9,900	0,736	-0,019
9,950	0,733	-0,020
10,000	0,731	-0,020
10,050	0,729	-0,020
10,100	0,727	-0,020
10,150	0,724	-0,021
10,200	0,722	-0,020
10,250	0,718	-0,021
10,300	0,715	-0,021
10,350	0,713	-0,022
10,400	0,710	-0,022
