Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7
0,000	6,749	-0,001
0,050	6,749	-0,002
0,100	6,748	-0,001
0,150	6,748	-0,002
0,200	6,748	-0,001
0,250	6,748	-0,002
0,300	6,748	-0,001
0,350	6,748	-0,002
0,400	6,747	-0,001
0,450	6,728	-0,002
0,500	6,688	-0,001
0,550	6,650	-0,002
0,600	6,629	-0,001
0,650	6,618	-0,002
0,700	6,612	-0,001
0,750	6,603	-0,002
0,800	6,589	-0,001
0,850	6,575	-0,002
0,900	6,562	-0,001
0,950	6,546	-0,002
1,000	6,524	-0,001
1,050	6,504	-0,002
1,100	6,491	-0,001
1,150	6,476	-0,002
1,200	6,461	-0,001
1,250	6,443	-0,002
1,300	6,421	-0,002
1,350	6,402	-0,002
1,400	6,385	-0,001
1,450	6,370	-0,002
1,500	6,358	-0,002
1,550	6,343	-0,002
1,600	6,324	-0,002
1,650	6,305	-0,002
1,700	6,284	-0,001
1,750	6,264	-0,002
1,800	6,246	-0,001
1,850	6,230	-0,002
1,900	6,214	-9,927E-4
1,950	6,200	-0,002
2,000	6,184	-0,001
2,050	6,167	-0,002
2,100	6,147	-0,001
2,150	6,131	-0,002
2,200	6,114	-0,001
2,250	6,098	-0,002
2,300	6,081	-0,002
2,350	6,064	-0,002
2,400	6,046	-0,001
2,450	6,027	-0,002
2,500	6,010	-0,002
2,550	5,995	-0,002
2,600	5,978	-0,001
2,650	5,963	-0,002
2,700	5,948	-0,001
2,750	5,933	-0,002
2,800	5,918	-0,002
2,850	5,903	-0,002
2,900	5,883	-0,001
2,950	5,865	-0,002
3,000	5,847	-0,002
3,050	5,833	-0,002
3,100	5,817	-0,002
3,150	5,800	-0,002
3,200	5,780	-0,002
3,250	5,761	-0,002
3,300	5,740	-0,002
3,350	5,718	-0,001
3,400	5,696	-0,002
3,450	5,677	-0,002
3,500	5,658	-0,002
3,550	5,640	-0,002
3,600	5,617	-0,002
3,650	5,592	-0,002
3,700	5,567	-0,002
3,750	5,543	-0,002
3,800	5,515	-0,002
3,850	5,484	-0,002
3,900	5,455	-0,002
3,950	5,431	-0,002
4,000	5,406	-0,002
4,050	5,383	-0,002
4,100	5,359	-0,002
4,150	5,337	-0,002
4,200	5,318	-0,002
4,250	5,303	-0,002
4,300	5,291	-0,001
4,350	5,279	-0,002
4,400	5,263	-0,002
4,450	5,244	-0,002
4,500	5,222	-0,001
4,550	5,203	-0,002
4,600	5,184	-0,002
4,650	5,163	-0,002
4,700	5,140	-0,002
4,750	5,110	-0,002
4,800	5,077	-0,002
4,850	5,053	-0,002
4,900	5,030	-0,002
4,950	5,006	-0,002
5,000	4,979	-0,002
5,050	4,951	-0,002
5,100	4,924	-0,002
5,150	4,900	-0,002
5,200	4,876	-0,002
5,250	4,853	-0,002
5,300	4,831	-0,002
5,350	4,810	-0,002
5,400	4,787	-0,002
5,450	4,764	-0,002
5,500	4,740	-0,002
5,550	4,715	-0,002
5,600	4,691	-0,002
5,650	4,668	-0,002
5,700	4,646	-0,002
5,750	4,627	-0,002
5,800	4,607	-0,002
5,850	4,588	-0,002
5,900	4,569	-0,002
5,950	4,551	-0,002
6,000	4,530	-0,002
6,050	4,508	-0,002
6,100	4,482	-0,002
6,150	4,461	-0,002
6,200	4,440	-0,002
6,250	4,420	-0,002
6,300	4,398	-0,002
6,350	4,377	-0,002
6,400	4,354	-0,002
6,450	4,330	-0,002
6,500	4,301	-0,002
6,550	4,269	-0,002
6,600	4,237	-0,002
6,650	4,211	-0,002
6,700	4,183	-0,002
6,750	4,152	-0,002
6,800	4,123	-0,002
6,850	4,099	-0,002
6,900	4,076	-0,002
6,950	4,052	-0,002
7,000	4,023	-0,002
7,050	3,994	-0,002
7,100	3,966	-0,002
7,150	3,944	-0,002
7,200	3,926	-0,002
7,250	3,910	-0,002
7,300	3,891	-0,002
7,350	3,870	-0,002
7,400	3,847	-0,002
7,450	3,827	-0,002
7,500	3,804	-0,002
7,550	3,783	-0,002
7,600	3,761	-0,002
7,650	3,743	-0,002
7,700	3,724	-0,002
7,750	3,704	-0,002
7,800	3,682	-0,002
7,850	3,667	-0,002
7,900	3,653	-0,002
7,950	3,635	-0,001
8,000	3,611	-0,002
8,050	3,589	-0,002
8,100	3,567	-0,003
8,150	3,548	-0,002
8,200	3,537	-0,002
8,250	3,522	-0,002
8,300	3,508	-0,002
8,350	3,494	-0,002
8,400	3,484	-0,002
8,450	3,480	-0,002
8,500	3,477	-0,002
8,550	3,473	-0,002
8,600	3,459	-0,003
8,650	3,446	-0,002
8,700	3,434	-0,002
8,750	3,425	-0,002
8,800	3,410	-0,002
8,850	3,392	-0,002
8,900	3,377	-0,002
8,950	3,362	-0,002
9,000	3,346	-0,003
9,050	3,331	-0,002
9,100	3,315	-0,002
9,150	3,297	-0,002
9,200	3,277	-0,003
9,250	3,256	-0,002
9,300	3,230	-0,002
9,350	3,205	-0,002
9,400	3,188	-0,002
9,450	3,177	-0,002
9,500	3,162	-0,003
9,550	3,145	-0,002
9,600	3,131	-0,003
9,650	3,125	-0,002
9,700	3,121	-0,003
9,750	3,120	-0,002
9,800	3,118	-0,003
9,850	3,118	-0,002
9,900	3,118	-0,003
9,950	3,118	-0,002
10,000	3,118	-0,002
10,050	3,118	-0,002
10,100	3,117	-0,003
10,150	3,117	-0,002
10,200	3,117	-0,002
10,250	3,118	-0,002
10,300	3,117	-0,002
10,350	3,116	-0,002
10,400	3,091	-0,003
10,450	3,039	-0,002
10,500	2,994	-0,003
10,550	2,968	-0,002
10,600	2,953	-0,003
10,650	2,936	-0,002
10,700	2,912	-0,002
10,750	2,889	-0,002
10,800	2,867	-0,003
10,850	2,845	-0,002
10,900	2,820	-0,003
10,950	2,791	-0,002
11,000	2,759	-0,003
11,050	2,727	-0,002
11,100	2,691	-0,002
11,150	2,655	-0,002
11,200	2,621	-0,003
11,250	2,591	-0,002
11,300	2,560	-0,003
11,350	2,532	-0,002
11,400	2,501	-0,003
11,450	2,471	-0,002
11,500	2,440	-0,003
11,550	2,410	-0,002
11,600	2,380	-0,003
11,650	2,350	-0,002
11,700	2,321	-0,003
11,750	2,298	-0,002
11,800	2,275	-0,003
11,850	2,253	-0,002
11,900	2,233	-0,003
11,950	2,218	-0,002
12,000	2,201	-0,003
12,050	2,183	-0,002
12,100	2,159	-0,003
12,150	2,131	-0,002
12,200	2,103	-0,003
12,250	2,080	-0,002
12,300	2,065	-0,003
12,350	2,048	-0,002
12,400	2,029	-0,003
12,450	2,014	-0,002
12,500	1,997	-0,003
12,550	1,982	-0,002
12,600	1,962	-0,003
12,650	1,942	-0,002
12,700	1,921	-0,003
12,750	1,902	-0,002
12,800	1,882	-0,003
12,850	1,866	-0,002
12,900	1,849	-0,003
12,950	1,833	-0,002
13,000	1,812	-0,003
13,050	1,792	-0,002
13,100	1,763	-0,003
13,150	1,728	-0,002
13,200	1,701	-0,003
13,250	1,684	-0,002
13,300	1,674	-0,003
13,350	1,662	-0,002
13,400	1,646	-0,003
13,450	1,632	-0,002
13,500	1,609	-0,003
13,550	1,586	-0,002
13,600	1,566	-0,003
13,650	1,549	-0,002
13,700	1,529	-0,003
13,750	1,510	-0,002
13,800	1,491	-0,003
13,850	1,469	-0,002
13,900	1,445	-0,003
13,950	1,432	-0,002
14,000	1,423	-0,003
14,050	1,420	-0,002
14,100	1,418	-0,003
14,150	1,417	-0,002
14,200	1,400	-0,003
14,250	1,364	-0,002
14,300	1,330	-0,003
14,350	1,311	-0,002
14,400	1,292	-0,003
14,450	1,273	-0,002
14,500	1,257	-0,003
14,550	1,249	-0,002
14,600	1,244	-0,003
14,650	1,242	-0,002
14,700	1,229	-0,003
14,750	1,201	-0,002
14,800	1,164	-0,003
14,850	1,134	-0,002
14,900	1,117	-0,003
14,950	1,098	-0,002
15,000	1,075	-0,003
15,050	1,062	-0,002
15,100	1,055	-0,003
15,150	1,052	-0,002
15,200	1,049	-0,003
15,250	1,049	-0,002
15,300	1,048	-0,003
15,350	1,048	-0,002
15,400	1,047	-0,003
15,450	1,048	-0,002
15,500	1,047	-0,003
15,550	1,048	-0,002
15,600	1,047	-0,003
15,650	1,047	-0,002
15,700	1,047	-0,003
15,750	1,048	-0,002
15,800	1,052	-0,003
15,850	1,064	-0,002
15,900	1,039	-0,003
15,950	0,992	-0,002
16,000	0,932	-0,003
16,050	0,886	-0,002
16,100	0,862	-0,003
16,150	0,843	-0,002
16,200	0,813	-0,003
16,250	0,778	-0,002
16,300	0,741	-0,003
16,350	0,705	-0,002
16,400	0,669	-0,003
16,450	0,638	-0,002
16,500	0,607	-0,003
16,550	0,580	-0,002
16,600	0,543	-0,003
16,650	0,493	-0,002
16,700	0,443	-0,003
16,750	0,394	-0,002
16,800	0,331	-0,003
16,850	0,266	-0,002
16,900	0,214	-0,003
16,950	0,172	-0,002
17,000	0,131	-0,003
17,050	0,092	-0,002
17,100	0,053	-0,003
17,150	0,021	-0,002
17,200	-0,008	-0,003
17,250	-0,029	-0,002
17,300	-0,043	-0,003
17,350	-0,049	-0,002
17,400	-0,052	-0,003
17,450	-0,054	-0,002
17,500	-0,055	-0,003
17,550	-0,056	-0,002
17,600	-0,056	-0,003
17,650	-0,056	-0,002
17,700	-0,056	-0,003
17,750	-0,056	-0,002
17,800	-0,056	-0,003
17,850	-0,057	-0,002
17,900	-0,057	-0,003
17,950	-0,057	-0,002
18,000	-0,057	-0,003
18,050	-0,057	-0,002
18,100	-0,057	-0,003
18,150	-0,057	-0,002
18,200	-0,057	-0,003
18,250	-0,057	-0,002
18,300	-0,057	-0,003
18,350	-0,057	-0,002
18,400	-0,057	-0,003
18,450	-0,057	-0,002
18,500	-0,057	-0,003
18,550	-0,057	-0,002
18,600	-0,057	-0,003
18,650	-0,057	-0,002
18,700	-0,057	-0,003
18,750	-0,057	-0,002
18,800	-0,057	-0,003
18,850	-0,057	-0,002
18,900	-0,057	-0,003
18,950	-0,057	-0,002
19,000	-0,058	-0,003
19,050	-0,057	-0,002
19,100	-0,057	-0,003
19,150	-0,057	-0,002
19,200	-0,057	-0,003
19,250	-0,058	-0,002
19,300	-0,057	-0,003
19,350	-0,057	-0,002
19,400	-0,057	-0,003
19,450	-0,057	-0,002
19,500	-0,057	-0,003
19,550	-0,057	-0,002
19,600	-0,058	-0,003
19,650	-0,058	-0,002
19,700	-0,058	-0,003
19,750	-0,057	-0,002
19,800	-0,038	-0,003
19,850	0,066	-0,002
19,900	0,063	-0,003
