Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17	Zeit (s) Messreihe #18	Spannung, Ch A (V) Messreihe #18	Spannung, Ch B (V) Messreihe #18	Zeit (s) Messreihe #19	Spannung, Ch A (V) Messreihe #19	Spannung, Ch B (V) Messreihe #19	Zeit (s) Messreihe #20	Spannung, Ch A (V) Messreihe #20	Spannung, Ch B (V) Messreihe #20	Zeit (s) Messreihe #21	Spannung, Ch A (V) Messreihe #21	Spannung, Ch B (V) Messreihe #21	Zeit (s) Messreihe #22	Spannung, Ch A (V) Messreihe #22	Spannung, Ch B (V) Messreihe #22	Zeit (s) Messreihe #23	Spannung, Ch A (V) Messreihe #23	Spannung, Ch B (V) Messreihe #23	Zeit (s) Messreihe #24	Spannung, Ch A (V) Messreihe #24	Spannung, Ch B (V) Messreihe #24	Zeit (s) Messreihe #25	Spannung, Ch A (V) Messreihe #25	Spannung, Ch B (V) Messreihe #25	Zeit (s) Messreihe #26	Spannung, Ch A (V) Messreihe #26	Spannung, Ch B (V) Messreihe #26	Zeit (s) Messreihe #27	Spannung, Ch A (V) Messreihe #27	Spannung, Ch B (V) Messreihe #27	Zeit (s) Messreihe #28	Spannung, Ch A (V) Messreihe #28	Spannung, Ch B (V) Messreihe #28	Zeit (s) Messreihe #29	Spannung, Ch A (V) Messreihe #29	Spannung, Ch B (V) Messreihe #29	Zeit (s) Messreihe #30	Spannung, Ch A (V) Messreihe #30	Spannung, Ch B (V) Messreihe #30	Zeit (s) Messreihe #31	Spannung, Ch A (V) Messreihe #31	Spannung, Ch B (V) Messreihe #31	Zeit (s) Messreihe #32	Spannung, Ch A (V) Messreihe #32	Spannung, Ch B (V) Messreihe #32	Zeit (s) Messreihe #33	Spannung, Ch A (V) Messreihe #33	Spannung, Ch B (V) Messreihe #33	Zeit (s) Messreihe #34	Spannung, Ch A (V) Messreihe #34	Spannung, Ch B (V) Messreihe #34	Zeit (s) Messreihe #35	Spannung, Ch A (V) Messreihe #35	Spannung, Ch B (V) Messreihe #35	Zeit (s) Messreihe #36	Spannung, Ch A (V) Messreihe #36	Spannung, Ch B (V) Messreihe #36
0,000	0,002	0,014	0,000	0,002	0,034	0,000	0,004	0,008	0,000	0,002	0,019	0,000	0,003	0,008	0,000	0,003	0,033	0,000	0,003	3,503E-4	0,000	0,003	5,896E-4	0,000	0,003	-7,800E-4	0,000	0,003	0,002	0,000	0,003	0,024	0,000	0,003	0,031	0,000	0,003	0,021	0,000	0,003	0,004	0,000	0,003	0,024	0,000	0,003	0,022	0,000	0,002	0,026	0,000	0,003	0,003	0,000	0,003	0,005	0,000	0,003	0,010	0,000	0,003	0,007	0,000	0,003	0,004	0,000	0,003	0,005	0,000	0,003	-0,002	0,000	0,007	0,041	0,000	0,008	0,022	0,000	0,007	0,056	0,000	0,008	0,044	0,000	0,008	0,055	0,000	0,007	0,051	0,000	0,007	0,019	0,000	0,008	0,031	0,000	0,008	0,060	0,000	0,008	0,052	0,000	0,007	0,048	0,000	0,008	0,043
0,050	0,003	0,035	0,050	0,002	0,015	0,050	0,004	0,043	0,050	0,003	0,021	0,050	0,002	0,022	0,050	0,002	3,064E-4	0,050	0,002	0,030	0,050	0,003	-0,024	0,050	0,003	0,030	0,050	0,003	0,018	0,050	0,003	0,006	0,050	0,003	-0,001	0,050	0,003	0,006	0,050	0,003	0,026	0,050	0,003	0,006	0,050	0,003	0,025	0,050	0,002	0,019	0,050	0,003	0,040	0,050	0,003	0,037	0,050	0,002	0,012	0,050	0,003	0,012	0,050	0,003	0,017	0,050	0,003	0,016	0,050	0,003	0,021	0,050	0,008	0,042	0,050	0,007	0,051	0,050	0,007	0,016	0,050	0,007	0,035	0,050	0,007	0,024	0,050	0,007	0,018	0,050	0,007	0,056	0,050	0,007	0,046	0,050	0,007	0,029	0,050	0,008	0,027	0,050	0,007	0,039	0,050	0,008	0,038
0,100	0,002	0,014	0,100	0,002	0,034	0,100	0,004	0,008	0,100	0,003	0,019	0,100	0,002	0,009	0,100	0,003	0,032	0,100	0,003	6,775E-4	0,100	0,003	0,002	0,100	0,003	-0,001	0,100	0,003	0,002	0,100	0,003	0,024	0,100	0,003	0,031	0,100	0,003	0,021	0,100	0,003	0,004	0,100	0,003	0,023	0,100	0,003	0,021	0,100	0,002	0,026	0,100	0,003	0,003	0,100	0,003	0,005	0,100	0,003	0,010	0,100	0,003	0,007	0,100	0,002	0,004	0,100	0,003	0,005	0,100	0,003	-0,002	0,100	0,007	0,040	0,100	0,007	0,020	0,100	0,007	0,056	0,100	0,007	0,045	0,100	0,007	0,054	0,100	0,007	0,051	0,100	0,007	0,020	0,100	0,007	0,033	0,100	0,008	0,060	0,100	0,007	0,051	0,100	0,007	0,048	0,100	0,007	0,043
0,150	0,002	0,034	0,150	0,003	0,016	0,150	0,004	0,043	0,150	0,002	0,021	0,150	0,002	0,021	0,150	0,003	4,224E-4	0,150	0,003	0,030	0,150	0,003	-0,024	0,150	0,003	0,030	0,150	0,003	0,018	0,150	0,003	0,006	0,150	0,003	-0,001	0,150	0,002	0,005	0,150	0,003	0,025	0,150	0,003	0,006	0,150	0,003	0,025	0,150	0,002	0,019	0,150	0,002	0,040	0,150	0,003	0,037	0,150	0,003	0,012	0,150	0,003	0,013	0,150	0,003	0,017	0,150	0,003	0,016	0,150	0,002	0,021	0,150	0,007	0,041	0,150	0,007	0,050	0,150	0,007	0,016	0,150	0,007	0,034	0,150	0,008	0,024	0,150	0,007	0,018	0,150	0,007	0,055	0,150	0,008	0,050	0,150	0,008	0,029	0,150	0,008	0,028	0,150	0,007	0,034	0,150	0,007	0,038
0,200	0,002	0,015	0,200	0,002	0,034	0,200	0,004	0,008	0,200	0,002	0,019	0,200	0,003	0,009	0,200	0,002	0,032	0,200	0,003	2,942E-4	0,200	0,003	0,003	0,200	0,003	-0,001	0,200	0,003	0,002	0,200	0,003	0,023	0,200	0,003	0,031	0,200	0,003	0,022	0,200	0,003	0,004	0,200	0,003	0,024	0,200	0,003	0,022	0,200	0,003	0,026	0,200	0,003	0,003	0,200	0,003	0,005	0,200	0,003	0,010	0,200	0,003	0,007	0,200	0,003	0,004	0,200	0,003	0,005	0,200	0,002	-0,003	0,200	0,008	0,039	0,200	0,008	0,020	0,200	0,007	0,056	0,200	0,008	0,045	0,200	0,008	0,055	0,200	0,008	0,057	0,200	0,007	0,020	0,200	0,008	0,035	0,200	0,007	0,060	0,200	0,008	0,052	0,200	0,007	0,048	0,200	0,007	0,042
0,250	0,002	0,034	0,250	0,002	0,016	0,250	0,004	0,043	0,250	0,002	0,022	0,250	0,003	0,021	0,250	0,003	4,382E-4	0,250	0,003	0,031	0,250	0,003	-0,022	0,250	0,003	0,030	0,250	0,003	0,017	0,250	0,003	0,006	0,250	0,003	-0,001	0,250	0,002	0,005	0,250	0,003	0,025	0,250	0,003	0,006	0,250	0,003	0,025	0,250	0,003	0,019	0,250	0,003	0,040	0,250	0,003	0,037	0,250	0,003	0,012	0,250	0,003	0,013	0,250	0,003	0,017	0,250	0,003	0,016	0,250	0,002	0,021	0,250	0,008	0,037	0,250	0,007	0,050	0,250	0,008	0,014	0,250	0,008	0,035	0,250	0,007	0,023	0,250	0,008	0,023	0,250	0,008	0,058	0,250	0,008	0,050	0,250	0,007	0,029	0,250	0,008	0,028	0,250	0,007	0,039	0,250	0,007	0,038
0,300	0,002	0,015	0,300	0,002	0,034	0,300	0,004	0,008	0,300	0,002	0,019	0,300	0,003	0,009	0,300	0,002	0,032	0,300	0,003	9,399E-5	0,300	0,003	0,004	0,300	0,003	-0,001	0,300	0,003	0,002	0,300	0,003	0,023	0,300	0,003	0,031	0,300	0,003	0,022	0,300	0,003	0,005	0,300	0,002	0,023	0,300	0,002	0,021	0,300	0,003	0,026	0,300	0,003	0,003	0,300	0,003	0,005	0,300	0,003	0,010	0,300	0,003	0,007	0,300	0,003	0,004	0,300	0,003	0,005	0,300	0,003	-0,002	0,300	0,007	0,036	0,300	0,007	0,020	0,300	0,008	0,061	0,300	0,008	0,045	0,300	0,007	0,054	0,300	0,008	0,056	0,300	0,007	0,023	0,300	0,008	0,036	0,300	0,008	0,061	0,300	0,008	0,052	0,300	0,007	0,048	0,300	0,007	0,044
0,350	0,002	0,034	0,350	0,002	0,016	0,350	0,004	0,043	0,350	0,002	0,021	0,350	0,002	0,021	0,350	0,003	6,348E-4	0,350	0,003	0,030	0,350	0,003	-0,022	0,350	0,003	0,030	0,350	0,003	0,017	0,350	0,003	0,006	0,350	0,003	-0,001	0,350	0,003	0,006	0,350	0,003	0,025	0,350	0,003	0,006	0,350	0,003	0,024	0,350	0,003	0,019	0,350	0,003	0,040	0,350	0,003	0,037	0,350	0,463	0,997	0,350	0,003	0,013	0,350	0,003	0,016	0,350	0,003	0,016	0,350	0,003	0,020	0,350	0,008	0,037	0,350	0,008	0,050	0,350	0,008	0,016	0,350	0,008	0,034	0,350	0,008	0,019	0,350	0,007	0,022	0,350	0,007	0,061	0,350	0,008	0,049	0,350	0,007	0,029	0,350	0,007	0,031	0,350	0,008	0,039	0,350	0,008	0,043
0,400	0,002	0,015	0,400	0,002	0,034	0,400	0,004	0,008	0,400	0,002	0,019	0,400	0,003	0,009	0,400	0,003	0,033	0,400	0,003	2,576E-4	0,400	0,003	0,005	0,400	0,003	-0,001	0,400	0,003	0,003	0,400	0,003	0,023	0,400	0,003	0,031	0,400	0,002	0,022	0,400	0,003	0,005	0,400	0,003	0,023	0,400	0,003	0,022	0,400	0,002	0,026	0,400	0,003	0,003	0,400	0,003	0,005	0,400	1,067	2,318	0,400	0,003	0,007	0,400	0,002	0,004	0,400	0,003	0,004	0,400	0,002	-0,003	0,400	0,007	0,036	0,400	0,007	0,018	0,400	0,007	0,056	0,400	0,008	0,046	0,400	0,007	0,049	0,400	0,007	0,056	0,400	0,007	0,024	0,400	0,007	0,035	0,400	0,007	0,055	0,400	0,007	0,057	0,400	0,007	0,048	0,400	0,007	0,047
0,450	0,002	0,034	0,450	0,002	0,016	0,450	0,004	0,043	0,450	0,002	0,022	0,450	0,003	0,021	0,450	0,003	4,687E-4	0,450	0,003	0,030	0,450	0,003	-0,020	0,450	0,003	0,031	0,450	0,003	0,017	0,450	0,003	0,006	0,450	0,003	-0,001	0,450	0,846	1,561	0,450	0,003	0,025	0,450	0,002	0,006	0,450	0,003	0,024	0,450	0,002	0,019	0,450	0,002	0,040	0,450	0,003	0,037	0,450	4,401	8,481	0,450	0,003	0,013	0,450	0,003	0,016	0,450	0,003	0,016	0,450	0,002	0,021	0,450	0,007	0,037	0,450	0,007	0,050	0,450	0,007	0,016	0,450	0,008	0,033	0,450	0,007	0,019	0,450	0,007	0,023	0,450	0,007	0,061	0,450	0,008	0,049	0,450	0,007	0,025	0,450	0,007	0,032	0,450	0,008	0,041	0,450	0,007	0,043
