Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15	Zeit (s) Messreihe #16	Spannung, Ch A (V) Messreihe #16	Spannung, Ch B (V) Messreihe #16	Zeit (s) Messreihe #17	Spannung, Ch A (V) Messreihe #17	Spannung, Ch B (V) Messreihe #17
0,000	0,002	0,028	0,000	0,002	0,031	0,000	0,002	0,031	0,000	0,218	0,044	0,000	0,002	0,025	0,000	0,010	0,008	0,000	0,011	0,008	0,000	0,011	0,008	0,000	0,011	0,007	0,000	0,010	0,007	0,000	0,011	0,008	0,000	0,011	0,007	0,000	0,011	0,007	0,000	0,011	0,007	0,000	0,011	0,008	0,000	0,041	0,007	0,000	0,011	0,007
0,050	0,002	0,035	0,020	0,003	0,031	0,020	0,002	0,032	0,020	0,224	0,044	0,020	0,003	0,026	0,020	0,010	0,008	0,020	0,011	0,008	0,020	0,011	0,008	0,020	0,011	0,007	0,020	0,011	0,008	0,020	0,010	0,007	0,020	0,011	0,008	0,020	0,012	0,008	0,020	0,011	0,008	0,020	0,011	0,008	0,010	-0,021	0,008	0,020	0,011	0,008
0,100	0,002	0,029	0,040	0,003	0,032	0,040	0,002	0,031	0,040	0,230	0,050	0,040	0,003	0,026	0,040	0,010	0,008	0,040	0,011	0,008	0,040	0,011	0,008	0,040	0,011	0,007	0,040	0,010	0,008	0,040	0,010	0,008	0,040	0,010	0,007	0,040	0,010	0,007	0,040	0,011	0,008	0,040	0,011	0,008	0,020	0,041	0,008	0,040	0,011	0,007
0,150	0,003	0,035	0,060	0,002	0,031	0,060	0,003	0,032	0,060	0,237	0,049	0,060	0,002	0,026	0,060	0,010	0,007	0,060	0,011	0,007	0,060	0,010	0,007	0,060	0,011	0,007	0,060	0,010	0,007	0,060	0,010	0,008	0,060	0,011	0,007	0,060	0,008	0,007	0,060	0,011	0,008	0,060	0,011	0,008	0,030	-0,021	0,007	0,060	0,011	0,007
0,200	0,002	0,030	0,080	0,002	0,031	0,080	0,003	0,032	0,080	0,242	0,044	0,080	0,002	0,025	0,080	0,010	0,008	0,080	0,011	0,007	0,080	0,011	0,007	0,080	0,011	0,008	0,080	0,011	0,008	0,080	0,011	0,008	0,080	0,011	0,008	0,080	0,011	0,008	0,080	0,011	0,007	0,080	0,010	0,007	0,040	0,045	0,007	0,080	0,011	0,008
0,250	0,003	0,034	0,100	0,002	0,031	0,100	0,003	0,032	0,100	0,247	0,044	0,100	0,002	0,026	0,100	0,011	0,008	0,100	0,010	0,007	0,100	0,009	0,008	0,100	0,011	0,007	0,100	0,011	0,008	0,100	0,010	0,007	0,100	0,011	0,008	0,100	0,010	0,008	0,100	0,010	0,007	0,100	0,011	0,008	0,050	-0,021	0,008	0,100	0,012	0,007
0,300	0,003	0,030	0,120	0,002	0,030	0,120	0,003	0,032	0,120	0,254	0,045	0,120	0,002	0,025	0,120	0,010	0,008	0,120	0,011	0,008	0,120	0,009	0,007	0,120	0,011	0,007	0,120	0,014	0,008	0,120	0,010	0,007	0,120	0,010	0,008	0,120	0,010	0,008	0,120	0,011	0,008	0,120	0,011	0,008	0,060	0,044	0,008	0,120	0,012	0,007
0,350	0,002	0,033	0,140	0,002	0,031	0,140	0,003	0,032	0,140	0,260	0,044	0,140	0,002	0,026	0,140	0,010	0,007	0,140	0,011	0,007	0,140	0,010	0,008	0,140	0,011	0,007	0,140	0,010	0,007	0,140	0,010	0,008	0,140	0,010	0,007	0,140	0,131	0,040	0,140	0,010	0,008	0,140	0,010	0,007	0,070	-0,021	0,008	0,140	0,011	0,008
0,400	0,002	0,030	0,160	0,002	0,031	0,160	0,002	0,032	0,160	0,266	0,045	0,160	0,002	0,026	0,160	0,011	0,008	0,160	0,011	0,008	0,160	0,010	0,008	0,160	0,177	0,062	0,160	0,011	0,008	0,160	0,010	0,008	0,160	0,011	0,007	0,160	0,160	0,095	0,160	0,007	0,008	0,160	0,010	0,007	0,080	0,044	0,008	0,160	0,009	0,007
0,450	0,002	0,032	0,180	0,002	0,031	0,180	0,002	0,031	0,180	0,272	0,044	0,180	0,002	0,026	0,180	0,010	0,007	0,180	0,011	0,007	0,180	0,066	0,023	0,180	0,174	0,086	0,180	0,011	0,008	0,180	0,010	0,007	0,180	0,012	0,008	0,180	0,059	0,056	0,180	0,011	0,008	0,180	0,010	0,007	0,090	-0,021	0,008	0,180	0,010	0,007
0,500	0,002	0,030	0,200	0,002	0,031	0,200	0,003	0,032	0,200	0,278	0,044	0,200	0,002	0,026	0,200	0,010	0,007	0,200	0,011	0,008	0,200	0,152	0,081	0,200	-0,017	0,020	0,200	0,010	0,008	0,200	0,011	0,008	0,200	0,023	0,012	0,200	0,128	0,094	0,200	0,007	0,008	0,200	0,010	0,007	0,100	0,044	0,007	0,200	0,010	0,008
0,550	0,002	0,031	0,220	0,002	0,031	0,220	0,002	0,032	0,220	0,284	0,046	0,220	0,003	0,027	0,220	0,010	0,008	0,220	0,011	0,008	0,220	0,213	0,100	0,220	-0,004	0,008	0,220	0,010	0,007	0,220	0,010	0,008	0,220	0,018	0,017	0,220	-0,031	0,016	0,220	0,143	0,042	0,220	0,010	0,007	0,110	-0,021	0,008	0,220	0,010	0,007
0,600	0,002	0,031	0,240	0,002	0,031	0,240	0,003	0,032	0,240	0,290	0,044	0,240	0,002	0,026	0,240	0,010	0,008	0,240	0,011	0,008	0,240	0,160	0,089	0,240	0,008	0,008	0,240	0,016	0,009	0,240	0,010	0,008	0,240	0,005	0,011	0,240	0,040	0,030	0,240	0,356	0,132	0,240	0,010	0,007	0,120	0,043	0,007	0,240	0,010	0,007
