Zeit (s) Messreihe #1	Spannung, Ch A (V) Messreihe #1	Spannung, Ch B (V) Messreihe #1	Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2	Zeit (s) Messreihe #3	Spannung, Ch A (V) Messreihe #3	Spannung, Ch B (V) Messreihe #3	Zeit (s) Messreihe #4	Spannung, Ch A (V) Messreihe #4	Spannung, Ch B (V) Messreihe #4	Zeit (s) Messreihe #5	Spannung, Ch A (V) Messreihe #5	Spannung, Ch B (V) Messreihe #5	Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6	Zeit (s) Messreihe #7	Spannung, Ch A (V) Messreihe #7	Spannung, Ch B (V) Messreihe #7	Zeit (s) Messreihe #8	Spannung, Ch A (V) Messreihe #8	Spannung, Ch B (V) Messreihe #8	Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9	Zeit (s) Messreihe #10	Spannung, Ch A (V) Messreihe #10	Spannung, Ch B (V) Messreihe #10	Zeit (s) Messreihe #11	Spannung, Ch A (V) Messreihe #11	Spannung, Ch B (V) Messreihe #11	Zeit (s) Messreihe #12	Spannung, Ch A (V) Messreihe #12	Spannung, Ch B (V) Messreihe #12	Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13	Zeit (s) Messreihe #14	Spannung, Ch A (V) Messreihe #14	Spannung, Ch B (V) Messreihe #14	Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15
0,000	0,008	0,031	0,000	0,008	0,031	0,000	0,007	0,027	0,000	0,008	0,028	0,000	0,007	0,028	0,000	0,008	0,025	0,000	0,008	0,026	0,000	0,008	0,028	0,000	0,008	0,039	0,000	0,008	0,031	0,000	0,008	0,033	0,000	0,007	0,033	0,000	0,008	0,035	0,000	0,007	0,030	0,000	0,008	0,031
0,020	0,008	0,031	0,020	0,008	0,031	0,020	0,008	0,027	0,020	0,008	0,029	0,020	0,008	0,028	0,020	0,008	0,025	0,020	0,008	0,026	0,020	0,008	0,077	0,020	0,008	0,035	0,020	0,008	0,032	0,020	0,008	0,033	0,020	0,008	0,033	0,020	0,008	0,034	0,020	0,007	0,030	0,020	0,008	0,031
0,040	0,008	0,030	0,040	0,008	0,031	0,040	0,008	0,027	0,040	0,009	0,029	0,040	0,007	0,028	0,040	0,008	0,026	0,040	0,008	0,027	0,040	0,008	0,059	0,040	0,008	0,037	0,040	0,008	0,031	0,040	0,008	0,032	0,040	0,008	0,033	0,040	0,008	0,034	0,040	0,007	0,030	0,040	0,008	0,030
0,060	0,008	0,030	0,060	0,008	0,030	0,060	0,008	0,027	0,060	0,007	0,027	0,060	0,008	0,028	0,060	0,008	0,026	0,060	0,008	0,026	0,060	0,008	0,023	0,060	0,008	0,026	0,060	0,008	0,031	0,060	0,008	0,033	0,060	0,008	0,033	0,060	0,008	0,035	0,060	0,008	0,031	0,060	0,008	0,030
0,080	0,007	0,030	0,080	0,008	0,031	0,080	0,008	0,028	0,080	0,008	0,028	0,080	0,007	0,028	0,080	0,008	0,025	0,080	0,008	0,027	0,080	0,008	0,024	0,080	0,008	0,005	0,080	0,007	0,031	0,080	0,008	0,033	0,080	0,008	0,033	0,080	0,008	0,035	0,080	0,007	0,030	0,080	0,008	0,030
0,100	0,008	0,030	0,100	0,008	0,031	0,100	0,008	0,027	0,100	0,008	0,029	0,100	0,008	0,028	0,100	0,008	0,025	0,100	0,008	0,026	0,100	0,008	0,024	0,100	0,008	0,025	0,100	0,008	0,031	0,100	0,008	0,032	0,100	0,008	0,033	0,100	0,008	0,034	0,100	0,008	0,030	0,100	0,008	0,031
0,120	0,008	0,030	0,120	0,008	0,031	0,120	0,008	0,027	0,120	0,008	0,028	0,120	0,008	0,028	0,120	0,008	0,025	0,120	0,008	0,027	0,120	0,008	0,023	0,120	0,008	0,028	0,120	0,008	0,030	0,120	0,008	0,033	0,120	0,007	0,033	0,120	0,008	0,034	0,120	0,008	0,030	0,120	0,007	0,030
0,140	0,007	0,030	0,140	0,008	0,030	0,140	0,008	0,026	0,140	0,008	0,027	0,140	0,008	0,028	0,140	0,007	0,025	0,140	0,008	0,027	0,140	0,008	0,023	0,140	0,008	0,028	0,140	0,008	0,031	0,140	0,008	0,034	0,140	0,008	0,033	0,140	0,008	0,035	0,140	0,007	0,030	0,140	0,007	0,030
0,160	0,008	0,030	0,160	0,008	0,030	0,160	0,008	0,027	0,160	0,008	0,028	0,160	0,008	0,028	0,160	0,007	0,024	0,160	0,008	0,027	0,160	0,008	0,039	0,160	0,008	0,028	0,160	0,008	0,032	0,160	0,008	0,029	0,160	0,008	0,033	0,160	0,008	0,028	0,160	0,008	0,029	0,160	0,008	0,031
0,180	0,008	0,031	0,180	0,008	0,031	0,180	0,007	0,032	0,180	0,008	0,029	0,180	0,007	0,027	0,180	0,008	0,031	0,180	0,008	0,027	0,180	0,008	0,154	0,180	0,008	0,028	0,180	0,007	0,031	0,180	0,008	0,028	0,180	0,008	0,033	0,180	0,008	0,030	0,180	0,008	0,030	0,180	0,008	0,030
0,200	0,008	0,030	0,200	0,008	0,031	0,200	0,008	0,032	0,200	0,008	0,029	0,200	0,007	0,027	0,200	0,008	0,030	0,200	0,008	0,026	0,200	0,008	0,126	0,200	0,008	0,027	0,200	0,008	0,031	0,200	0,008	0,028	0,200	0,008	0,033	0,200	0,008	0,030	0,200	0,008	0,035	0,200	0,007	0,029
0,220	0,008	0,030	0,220	0,008	0,030	0,220	0,008	0,032	0,220	0,008	0,027	0,220	0,008	0,028	0,220	0,008	0,030	0,220	0,008	0,026	0,220	0,008	0,017	0,220	0,008	0,030	0,220	0,008	0,031	0,220	0,007	0,028	0,220	0,008	0,033	0,220	0,008	0,030	0,220	0,008	0,035	0,220	0,008	0,030
0,240	0,008	0,030	0,240	0,008	0,031	0,240	0,008	0,031	0,240	0,008	0,027	0,240	0,008	0,028	0,240	0,007	0,029	0,240	0,008	0,027	0,240	0,008	0,020	0,240	0,007	0,028	0,240	0,008	0,031	0,240	0,008	0,029	0,240	0,008	0,033	0,240	0,008	0,030	0,240	0,008	0,034	0,240	0,008	0,027
0,260	0,008	0,025	0,260	0,008	0,030	0,260	0,008	0,032	0,260	0,008	0,028	0,260	0,008	0,027	0,260	0,008	0,030	0,260	0,008	0,031	0,260	0,008	0,023	0,260	0,008	0,028	0,260	0,008	0,031	0,260	0,008	0,028	0,260	0,007	0,032	0,260	0,008	0,030	0,260	0,008	0,035	0,260	0,008	0,029
0,280	0,008	0,026	0,280	0,008	0,030	0,280	0,008	0,032	0,280	0,008	0,029	0,280	0,007	0,027	0,280	0,007	0,030	0,280	0,008	0,031	0,280	0,008	0,023	0,280	0,008	-0,001	0,280	0,008	0,030	0,280	0,008	0,028	0,280	0,007	0,032	0,280	0,008	0,030	0,280	0,008	0,035	0,280	0,008	0,030
0,300	0,007	0,025	0,300	0,008	0,030	0,300	0,008	0,032	0,300	0,008	0,028	0,300	0,008	0,027	0,300	0,008	0,030	0,300	0,008	0,031	0,300	0,008	0,023	0,300	0,008	0,023	0,300	0,007	0,031	0,300	0,008	0,029	0,300	0,008	0,033	0,300	0,008	0,030	0,300	0,008	0,035	0,300	0,008	0,030
0,320	0,008	0,026	0,320	0,008	0,030	0,320	0,008	0,032	0,320	0,008	0,028	0,320	0,008	0,028	0,320	0,008	0,030	0,320	0,008	0,031	0,320	0,008	0,024	0,320	0,008	0,029	0,320	0,008	0,031	0,320	0,008	0,029	0,320	0,007	0,027	0,320	0,008	0,029	0,320	0,008	0,035	0,320	0,008	0,030
0,340	0,008	0,026	0,340	0,008	0,030	0,340	0,007	0,032	0,340	0,008	0,028	0,340	0,007	0,028	0,340	0,008	0,030	0,340	0,008	0,032	0,340	0,008	0,024	0,340	0,008	0,033	0,340	0,008	0,031	0,340	0,008	0,028	0,340	0,008	0,029	0,340	0,008	0,030	0,340	0,007	0,035	0,340	0,008	0,034
0,360	0,008	0,025	0,360	0,007	0,030	0,360	0,008	0,032	0,360	0,008	0,028	0,360	0,008	0,028	0,360	0,008	0,031	0,360	0,008	0,030	0,360	0,008	0,023	0,360	0,008	0,028	0,360	0,008	0,031	0,360	0,008	0,028	0,360	0,008	0,028	0,360	0,008	0,030	0,360	0,008	0,035	0,360	0,008	0,034
0,380	0,008	0,025	0,380	0,008	0,031	0,380	0,007	0,031	0,380	0,008	0,028	0,380	0,007	0,027	0,380	0,008	0,031	0,380	0,008	0,043	0,380	0,007	0,023	0,380	0,008	0,026	0,380	0,008	0,031	0,380	0,008	0,029	0,380	0,008	0,028	0,380	0,008	0,030	0,380	0,008	0,036	0,380	0,007	0,034
0,400	0,008	0,025	0,400	0,007	0,030	0,400	0,008	0,032	0,400	0,008	0,028	0,400	0,008	0,028	0,400	0,008	0,030	0,400	0,008	0,091	0,400	0,008	0,024	0,400	0,008	0,039	0,400	0,008	0,031	0,400	0,008	0,029	0,400	0,008	0,029	0,400	0,008	0,030	0,400	0,008	0,035	0,400	0,007	0,035
0,420	0,007	0,025	0,420	0,008	0,031	0,420	0,008	0,033	0,420	0,008	0,028	0,420	0,008	0,029	0,420	0,008	0,030	0,420	0,008	0,040	0,420	0,008	0,023	0,420	0,008	0,028	0,420	0,008	0,031	0,420	0,917	3,104	0,420	0,008	0,029	0,420	0,008	0,030	0,420	0,008	0,035	0,420	0,008	0,035
0,440	0,008	0,026	0,440	0,007	0,030	0,440	0,008	0,032	0,440	0,008	0,028	0,440	0,008	0,029	0,440	0,008	0,031	0,440	0,008	0,031	0,440	0,008	0,023	0,440	0,008	0,028	0,440	0,008	0,029	0,440	0,257	1,150	0,440	0,008	0,029	0,440	0,008	0,030	0,440	0,007	0,035	0,440	0,008	0,034
0,460	0,008	0,026	0,460	0,008	0,031	0,460	0,008	0,032	0,460	0,008	0,029	0,460	0,007	0,033	0,460	0,008	0,030	0,460	0,008	0,031	0,460	0,008	0,025	0,460	0,008	0,010	0,460	0,008	0,030	0,460	0,015	-0,031	0,460	0,008	0,028	0,460	0,008	0,030	0,460	0,008	0,035	0,460	0,008	0,034
0,480	0,007	0,025	0,480	0,008	0,039	0,480	0,008	0,033	0,480	0,008	0,034	0,480	0,007	0,032	0,480	0,007	0,030	0,480	0,008	0,031	0,480	0,013	0,046	0,480	0,008	0,042	0,480	0,007	0,031	0,480	0,020	0,110	0,480	0,008	0,029	0,480	0,008	0,030	0,480	0,008	0,035	0,480	0,008	0,034
0,500	0,008	0,025	0,500	0,008	0,035	0,500	0,008	0,032	0,500	0,008	0,032	0,500	0,008	0,033	0,500	0,008	0,030	0,500	0,008	0,031	0,500	1,190	3,982	0,500	0,008	-0,004	0,500	0,008	0,031	0,500	0,025	0,006	0,500	0,007	0,028	0,500	0,008	0,030	0,500	0,008	0,035	0,500	0,008	0,035
