Zeit (s) Messreihe #15	Spannung, Ch A (V) Messreihe #15	Spannung, Ch B (V) Messreihe #15
0,000	0,011	0,008
0,020	0,011	0,008
0,040	0,011	0,008
0,060	0,011	0,008
0,080	0,010	0,007
0,100	0,011	0,008
0,120	0,011	0,008
0,140	0,010	0,007
0,160	0,010	0,007
0,180	0,010	0,007
0,200	0,010	0,007
0,220	0,010	0,007
0,240	0,010	0,007
0,260	0,010	0,007
0,280	0,010	0,007
0,300	0,011	0,007
0,320	0,010	0,007
0,340	0,011	0,008
0,360	0,076	0,033
0,380	0,101	0,056
0,400	0,035	0,040
0,420	0,040	0,040
0,440	0,062	0,045
0,460	0,105	0,068
0,480	0,066	0,054
0,500	0,077	0,056
0,520	0,062	0,051
0,540	0,104	0,071
0,560	0,092	0,049
0,580	-0,033	0,015
0,600	0,072	0,037
0,620	-0,013	0,015
0,640	-0,002	0,008
0,660	0,010	0,009
0,680	0,014	0,011
0,700	0,218	0,064
0,720	0,453	0,149
0,740	4,951	1,632
0,760	1,448	0,422
0,780	0,107	0,134
0,800	-0,085	0,054
0,820	0,328	0,131
0,840	0,880	0,286
0,860	0,498	0,190
0,880	0,352	0,158
0,900	0,273	0,168
0,920	0,891	0,298
0,940	0,813	0,332
0,960	0,674	0,335
0,980	0,209	0,244
1,000	0,336	0,329
1,020	0,004	0,256
1,040	0,126	0,279
1,060	-0,032	0,256
1,080	-0,017	0,223
1,100	0,032	0,242
1,120	0,087	0,273
1,140	0,029	0,278
1,160	0,022	0,280
1,180	-0,031	0,261
1,200	-0,005	0,205
1,220	-0,012	0,193
1,240	-0,015	0,167
1,260	0,019	0,168
1,280	0,097	0,201
1,300	0,042	0,218
1,320	0,093	0,252
1,340	0,040	0,272
1,360	0,041	0,279
1,380	0,020	0,271
1,400	0,102	0,316
1,420	0,048	0,315
1,440	0,049	0,330
1,460	0,067	0,346
1,480	0,048	0,352
1,500	0,005	0,349
1,520	0,058	0,347
1,540	0,026	0,350
1,560	0,077	0,356
1,580	0,038	0,354
1,600	0,022	0,352
1,620	0,072	0,373
1,640	0,079	0,390
1,660	0,060	0,405
1,680	0,028	0,400
1,700	0,089	0,386
1,720	0,027	0,390
1,740	0,028	0,384
1,760	0,066	0,401
1,780	0,052	0,394
1,800	0,094	0,416
1,820	0,061	0,423
1,840	0,056	0,421
1,860	0,091	0,437
1,880	0,091	0,455
1,900	0,076	0,458
1,920	0,022	0,437
1,940	0,083	0,449
1,960	0,080	0,455
1,980	0,106	0,469
2,000	0,083	0,473
2,020	0,089	0,478
2,040	0,090	0,489
2,060	0,080	0,501
2,080	0,061	0,489
2,100	0,086	0,497
2,120	0,093	0,505
2,140	0,101	0,521
2,160	0,101	0,540
2,180	0,061	0,538
2,200	0,082	0,547
2,220	0,048	0,540
2,240	0,073	0,546
2,260	0,055	0,546
2,280	0,065	0,549
2,300	0,055	0,544
2,320	0,057	0,541
2,340	0,078	0,548
2,360	0,083	0,562
2,380	0,064	0,565
2,400	0,073	0,577
2,420	0,063	0,580
2,440	0,080	0,588
2,460	0,066	0,601
2,480	0,071	0,608
2,500	0,081	0,624
2,520	0,074	0,630
2,540	0,062	0,637
