Zeit (s) RK1 Schalter links R_V	Spannung, Ch A (V) RK1 Schalter links R_V	Spannung, Ch B (V) RK1 Schalter links R_V
0,000	0,011	-5,243E-4
0,050	0,011	-0,001
0,100	0,011	-4,633E-4
0,150	0,010	-9,503E-4
0,200	0,008	-6,653E-5
0,250	0,008	-0,001
0,300	0,011	-6,287E-5
0,350	0,032	-8,490E-4
0,400	0,052	7,019E-5
0,450	0,063	-4,242E-4
0,500	0,063	2,521E-4
0,550	0,067	-9,784E-4
0,600	0,084	2,899E-4
0,650	0,119	-9,949E-5
0,700	0,149	0,001
0,750	0,180	7,477E-4
0,800	0,212	0,002
0,850	0,233	0,002
0,900	0,253	0,003
0,950	0,266	0,002
1,000	0,282	0,003
1,050	0,287	0,003
1,100	0,288	0,003
1,150	0,302	0,003
1,200	0,308	0,004
1,250	0,319	0,003
1,300	0,333	0,004
1,350	0,347	0,003
1,400	0,361	0,004
1,450	0,372	0,004
1,500	0,388	0,005
1,550	0,419	0,005
1,600	0,448	0,006
1,650	0,457	0,005
1,700	0,464	0,006
1,750	0,488	0,005
1,800	0,504	0,007
1,850	0,506	0,006
1,900	0,506	0,007
1,950	0,506	0,006
2,000	0,507	0,007
2,050	0,507	0,006
2,100	0,507	0,007
2,150	0,507	0,006
2,200	0,507	0,007
2,250	0,515	0,006
2,300	0,530	0,007
2,350	0,540	0,006
2,400	0,541	0,007
2,450	0,541	0,006
2,500	0,542	0,007
2,550	0,542	0,006
2,600	0,542	0,007
2,650	0,542	0,006
2,700	0,542	0,007
2,750	0,542	0,006
2,800	0,542	0,007
2,850	0,542	0,006
2,900	0,542	0,008
2,950	0,543	0,006
3,000	0,550	0,008
3,050	0,551	0,007
3,100	0,551	0,007
3,150	0,552	0,007
3,200	0,552	0,007
3,250	0,552	0,006
3,300	0,554	0,007
3,350	0,571	0,007
3,400	0,576	0,008
3,450	0,578	0,007
3,500	0,594	0,008
3,550	0,603	0,008
3,600	0,608	0,008
3,650	0,627	0,007
3,700	0,633	0,009
3,750	0,634	0,008
3,800	0,634	0,009
3,850	0,634	0,008
3,900	0,634	0,009
3,950	0,634	0,008
4,000	0,634	0,009
4,050	0,641	0,008
4,100	0,647	0,009
4,150	0,654	0,008
4,200	0,659	0,009
4,250	0,661	0,008
4,300	0,672	0,009
4,350	0,686	0,008
4,400	0,690	0,010
4,450	0,692	0,009
4,500	0,701	0,010
4,550	0,704	0,009
4,600	0,709	0,010
4,650	0,716	0,009
4,700	0,717	0,010
4,750	0,719	0,009
4,800	0,743	0,010
4,850	0,766	0,010
4,900	0,778	0,011
4,950	0,779	0,010
5,000	0,784	0,011
5,050	0,792	0,010
5,100	0,793	0,011
5,150	0,793	0,010
5,200	0,794	0,011
5,250	0,802	0,010
5,300	0,809	0,011
5,350	0,813	0,011
5,400	0,825	0,012
5,450	0,829	0,011
5,500	0,838	0,012
5,550	0,857	0,011
5,600	0,867	0,012
5,650	0,868	0,011
5,700	0,868	0,012
5,750	0,869	0,011
5,800	0,876	0,012
5,850	0,888	0,012
5,900	0,890	0,012
5,950	0,896	0,011
6,000	0,899	0,012
6,050	0,899	0,011
6,100	0,900	0,013
6,150	0,899	0,011
6,200	0,899	0,012
6,250	0,900	0,012
6,300	0,900	0,012
6,350	0,900	0,012
6,400	0,904	0,012
6,450	0,904	0,012
6,500	0,904	0,013
6,550	0,905	0,012
6,600	0,904	0,012
6,650	0,905	0,012
6,700	0,917	0,013
6,750	0,925	0,012
6,800	0,926	0,013
6,850	0,926	0,012
6,900	0,926	0,013
6,950	0,926	0,012
7,000	0,926	0,013
7,050	0,926	0,012
7,100	0,935	0,013
7,150	0,941	0,012
7,200	0,943	0,013
7,250	0,944	0,012
7,300	0,947	0,013
7,350	0,947	0,012
7,400	0,948	0,013
7,450	0,951	0,012
7,500	0,956	0,013
7,550	0,957	0,012
7,600	0,957	0,013
7,650	0,957	0,012
7,700	0,962	0,013
7,750	0,968	0,013
7,800	0,973	0,014
7,850	0,980	0,013
7,900	0,980	0,014
7,950	0,983	0,013
8,000	0,983	0,014
8,050	0,983	0,013
8,100	0,984	0,013
8,150	0,988	0,013
8,200	0,992	0,014
8,250	0,998	0,013
8,300	1,001	0,014
8,350	1,002	0,013
8,400	1,011	0,014
8,450	1,019	0,013
8,500	1,026	0,014
8,550	1,027	0,013
8,600	1,027	0,014
8,650	1,027	0,013
8,700	1,027	0,014
8,750	1,027	0,013
8,800	1,027	0,014
8,850	1,027	0,013
8,900	1,027	0,014
8,950	1,027	0,013
9,000	1,027	0,014
9,050	1,027	0,013
9,100	1,027	0,014
9,150	1,027	0,013
9,200	1,027	0,014
9,250	1,027	0,013
9,300	1,027	0,014
9,350	1,037	0,013
9,400	1,046	0,014
9,450	1,051	0,014
9,500	1,053	0,014
9,550	1,062	0,014
9,600	1,080	0,015
9,650	1,114	0,014
9,700	1,134	0,015
9,750	1,162	0,015
9,800	1,183	0,016
9,850	1,193	0,016
9,900	1,197	0,017
9,950	1,207	0,015
10,000	1,215	0,016
10,050	1,230	0,016
10,100	1,239	0,017
10,150	1,241	0,016
10,200	1,250	0,017
10,250	1,256	0,016
10,300	1,263	0,017
10,350	1,279	0,016
10,400	1,287	0,017
10,450	1,297	0,016
10,500	1,307	0,018
10,550	1,315	0,017
10,600	1,324	0,018
10,650	1,335	0,017
10,700	1,349	0,018
10,750	1,356	0,017
10,800	1,375	0,018
10,850	1,390	0,018
10,900	1,395	0,018
10,950	1,405	0,018
11,000	1,415	0,019
11,050	1,432	0,018
11,100	1,437	0,019
11,150	1,437	0,018
11,200	1,437	0,019
11,250	1,437	0,018
11,300	1,443	0,019
11,350	1,461	0,018
11,400	1,464	0,019
11,450	1,483	0,019
11,500	1,494	0,020
11,550	1,495	0,019
11,600	1,495	0,020
11,650	1,509	0,019
11,700	1,512	0,020
11,750	1,519	0,019
11,800	1,538	0,020
11,850	1,546	0,019
11,900	1,548	0,020
11,950	1,564	0,020
12,000	1,573	0,020
12,050	1,576	0,020
12,100	1,586	0,021
12,150	1,588	0,020
12,200	1,596	0,021
12,250	1,615	0,020
12,300	1,622	0,021
12,350	1,623	0,020
12,400	1,623	0,021
12,450	1,629	0,020
12,500	1,635	0,021
12,550	1,640	0,020
12,600	1,642	0,021
12,650	1,652	0,020
12,700	1,654	0,021
12,750	1,665	0,020
12,800	1,674	0,021
12,850	1,680	0,021
12,900	1,705	0,022
12,950	1,715	0,021
13,000	1,717	0,022
13,050	1,725	0,021
13,100	1,737	0,022
13,150	1,751	0,021
13,200	1,759	0,022
13,250	1,764	0,022
13,300	1,780	0,023
13,350	1,797	0,022
13,400	1,801	0,023
13,450	1,817	0,022
13,500	1,826	0,023
13,550	1,832	0,022
13,600	1,836	0,023
13,650	1,840	0,022
13,700	1,854	0,023
13,750	1,865	0,023
13,800	1,872	0,023
13,850	1,887	0,023
13,900	1,894	0,023
13,950	1,903	0,023
14,000	1,906	0,023
14,050	1,906	0,023
14,100	1,906	0,024
14,150	1,908	0,023
14,200	1,908	0,024
14,250	1,908	0,023
14,300	1,908	0,024
14,350	1,908	0,023
14,400	1,907	0,023
14,450	1,906	0,023
14,500	1,906	0,024
14,550	1,906	0,023
14,600	1,906	0,024
14,650	1,906	0,023
14,700	1,910	0,024
14,750	1,916	0,023
14,800	1,929	0,024
14,850	1,941	0,023
14,900	1,958	0,024
14,950	1,968	0,024
15,000	1,973	0,024
15,050	1,989	0,024
15,100	1,997	0,024
15,150	2,005	0,024
15,200	2,015	0,024
15,250	2,019	0,024
15,300	2,040	0,025
15,350	2,067	0,025
15,400	2,090	0,025
15,450	2,114	0,025
15,500	2,132	0,026
15,550	2,144	0,025
15,600	2,155	0,026
15,650	2,166	0,025
15,700	2,178	0,026
15,750	2,186	0,025
15,800	2,192	0,026
15,850	2,206	0,025
15,900	2,218	0,026
15,950	2,224	0,026
16,000	2,230	0,026
16,050	2,248	0,026
16,100	2,257	0,027
16,150	2,267	0,026
16,200	2,281	0,027
16,250	2,286	0,026
16,300	2,289	0,027
16,350	2,299	0,026
16,400	2,301	0,027
16,450	2,316	0,026
16,500	2,325	0,027
16,550	2,328	0,027
16,600	2,332	0,027
16,650	2,332	0,027
16,700	2,340	0,027
16,750	2,343	0,027
16,800	2,344	0,027
16,850	2,357	0,027
16,900	2,370	0,027
16,950	2,380	0,027
17,000	2,383	0,028
17,050	2,389	0,027
17,100	2,393	0,028
17,150	2,394	0,027
17,200	2,400	0,028
17,250	2,410	0,028
17,300	2,415	0,028
17,350	2,427	0,028
17,400	2,428	0,028
17,450	2,428	0,028
17,500	2,428	0,028
17,550	2,428	0,028
17,600	2,441	0,028
17,650	2,462	0,028
17,700	2,473	0,028
17,750	2,475	0,028
17,800	2,475	0,028
17,850	2,477	0,028
17,900	2,477	0,029
17,950	2,483	0,028
18,000	2,515	0,029
18,050	2,532	0,028
18,100	2,535	0,029
18,150	2,567	0,029
18,200	2,587	0,029
18,250	2,603	0,029
18,300	2,625	0,030
18,350	2,626	0,029
18,400	2,640	0,030
18,450	2,666	0,030
18,500	2,672	0,030
18,550	2,709	0,030
18,600	2,743	0,030
18,650	2,756	0,030
18,700	2,796	0,031
18,750	2,834	0,031
18,800	2,855	0,031
18,850	2,881	0,031
18,900	2,892	0,032
18,950	2,909	0,031
19,000	2,918	0,032
19,050	2,917	0,032
19,100	2,917	0,032
19,150	2,918	0,032
19,200	2,918	0,032
19,250	2,918	0,031
19,300	2,918	0,032
19,350	2,918	0,032
19,400	2,918	0,032
19,450	2,918	0,032
19,500	2,919	0,032
19,550	2,918	0,032
19,600	2,918	0,032
19,650	2,919	0,031
19,700	2,921	0,032
19,750	2,918	0,031
19,800	2,918	0,032
19,850	2,918	0,032
19,900	2,918	0,032
19,950	2,922	0,032
20,000	2,923	0,032
20,050	2,944	0,032
20,100	2,983	0,032
20,150	3,028	0,033
20,200	3,045	0,033
20,250	3,048	0,033
20,300	3,058	0,033
20,350	3,068	0,033
20,400	3,086	0,033
20,450	3,094	0,033
20,500	3,107	0,034
20,550	3,114	0,033
20,600	3,118	0,033
20,650	3,129	0,033
20,700	3,143	0,034
20,750	3,159	0,034
20,800	3,174	0,034
20,850	3,188	0,034
20,900	3,199	0,034
20,950	3,215	0,034
21,000	3,221	0,034
21,050	3,232	0,034
21,100	3,244	0,035
21,150	3,261	0,034
21,200	3,270	0,034
21,250	3,285	0,034
21,300	3,311	0,035
21,350	3,325	0,035
21,400	3,339	0,035
21,450	3,349	0,035
21,500	3,355	0,035
21,550	3,355	0,035
21,600	3,358	0,035
21,650	3,359	0,035
21,700	3,359	0,035
21,750	3,372	0,035
21,800	3,401	0,036
21,850	3,412	0,035
21,900	3,431	0,036
21,950	3,450	0,036
22,000	3,463	0,036
22,050	3,478	0,036
22,100	3,496	0,036
22,150	3,504	0,036
22,200	3,516	0,036
22,250	3,519	0,036
22,300	3,524	0,036
22,350	3,536	0,036
22,400	3,551	0,037
22,450	3,587	0,037
22,500	3,619	0,037
22,550	3,640	0,037
22,600	3,695	0,038
22,650	3,742	0,038
22,700	3,760	0,038
22,750	3,772	0,038
22,800	3,786	0,038
22,850	3,804	0,038
22,900	3,834	0,038
22,950	3,860	0,038
23,000	3,871	0,039
23,050	3,872	0,038
23,100	3,872	0,039
23,150	3,872	0,038
23,200	3,872	0,039
23,250	3,872	0,038
23,300	3,872	0,039
23,350	3,872	0,039
23,400	3,872	0,039
23,450	3,872	0,039
23,500	3,872	0,039
23,550	3,881	0,039
23,600	3,938	0,039
23,650	4,005	0,039
23,700	4,029	0,040
23,750	4,070	0,040
23,800	4,117	0,040
23,850	4,129	0,040
23,900	4,145	0,040
23,950	4,160	0,040
24,000	4,173	0,041
24,050	4,183	0,041
24,100	4,214	0,041
24,150	4,236	0,041
24,200	4,255	0,041
24,250	4,267	0,041
24,300	4,283	0,041
24,350	4,298	0,042
24,400	4,303	0,042
24,450	4,324	0,042
24,500	4,334	0,042
24,550	4,335	0,042
24,600	4,361	0,042
24,650	4,399	0,042
24,700	4,423	0,042
24,750	4,436	0,042
24,800	4,447	0,042
24,850	4,488	0,043
24,900	4,526	0,043
24,950	4,566	0,043
25,000	4,611	0,044
25,050	4,643	0,044
25,100	4,690	0,044
25,150	4,722	0,044
25,200	4,734	0,044
25,250	4,764	0,044
25,300	4,776	0,044
25,350	4,792	0,045
25,400	4,804	0,044
25,450	4,817	0,045
25,500	4,826	0,044
25,550	4,841	0,044
25,600	4,857	0,045
25,650	4,878	0,045
25,700	4,895	0,045
25,750	4,903	0,045
25,800	4,914	0,045
25,850	4,923	0,045
25,900	4,924	0,045
25,950	4,924	0,045
26,000	4,925	0,045
26,050	4,924	0,045
26,100	4,924	0,045
26,150	4,924	0,045
26,200	4,924	0,045
26,250	4,924	0,045
26,300	4,924	0,045
26,350	4,924	0,045
26,400	4,924	0,045
26,450	4,933	0,045
26,500	4,943	0,045
26,550	4,972	0,046
26,600	5,014	0,045
26,650	5,031	0,046
26,700	5,050	0,046
26,750	5,081	0,046
26,800	5,098	0,046
26,850	5,115	0,046
26,900	5,127	0,046
26,950	5,140	0,046
27,000	5,159	0,046
27,050	5,171	0,046
27,100	5,198	0,046
27,150	5,217	0,047
27,200	5,219	0,047
27,250	5,236	0,047
27,300	5,262	0,047
27,350	5,267	0,047
27,400	5,282	0,047
27,450	5,318	0,047
27,500	5,345	0,047
27,550	5,361	0,047
27,600	5,368	0,047
27,650	5,372	0,048
27,700	5,387	0,047
27,750	5,415	0,048
27,800	5,426	0,048
27,850	5,431	0,048
27,900	5,431	0,048
27,950	5,431	0,047
28,000	5,450	0,048
28,050	5,497	0,048
28,100	5,506	0,048
28,150	5,506	0,048
28,200	5,510	0,048
28,250	5,550	0,048
28,300	5,603	0,048
28,350	5,609	0,049
28,400	5,609	0,049
28,450	5,618	0,049
28,500	5,681	0,049
28,550	5,713	0,049
28,600	5,715	0,049
28,650	5,720	0,049
28,700	5,722	0,049
28,750	5,722	0,049
28,800	5,723	0,049
28,850	5,724	0,049
28,900	5,754	0,049
28,950	5,776	0,050
29,000	5,788	0,049
29,050	5,799	0,050
29,100	5,807	0,050
29,150	5,810	0,050
29,200	5,821	0,049
29,250	5,839	0,050
29,300	5,854	0,050
29,350	5,863	0,050
