Zeit (s) Messreihe #10;Spannung, Ch A (V) Messreihe #10;Spannung, Ch B (V) Messreihe #10
0,000;6,917;0,002
0,050;6,917;0,002
0,100;6,920;0,002
0,150;6,926;0,002
0,200;6,926;0,002
0,250;6,926;0,002
0,300;6,926;0,002
0,350;6,926;0,003
0,400;6,926;0,002
0,450;6,926;0,003
0,500;6,926;0,002
0,550;6,926;0,003
0,600;6,926;0,002
0,650;6,926;0,003
0,700;6,926;0,002
0,750;6,929;0,002
0,800;6,930;0,002
0,850;6,930;0,002
0,900;6,928;0,002
0,950;6,924;0,003
1,000;6,922;0,002
1,050;6,925;0,003
1,100;6,923;0,002
1,150;6,924;0,003
1,200;6,924;0,002
1,250;6,930;0,003
1,300;6,925;0,002
1,350;6,921;0,003
1,400;6,920;0,002
1,450;6,896;0,003
1,500;6,895;0,002
1,550;6,892;0,003
1,600;6,885;0,002
1,650;6,884;0,003
1,700;6,873;0,002
1,750;6,868;0,003
1,800;6,864;0,002
1,850;6,852;0,003
1,900;6,844;0,002
1,950;6,829;0,003
2,000;6,823;0,002
2,050;6,804;0,003
2,100;6,793;0,002
2,150;6,774;0,003
2,200;6,757;0,002
2,250;6,738;0,003
2,300;6,724;0,002
2,350;6,724;0,003
2,400;6,713;0,002
2,450;6,698;0,002
2,500;6,677;0,002
2,550;6,657;0,003
2,600;6,654;0,002
2,650;6,637;0,003
2,700;6,620;0,002
2,750;6,603;0,003
2,800;6,603;0,002
2,850;6,592;0,003
2,900;6,580;0,002
2,950;6,572;0,003
3,000;6,548;0,002
3,050;6,541;0,003
3,100;6,514;0,002
3,150;6,487;0,003
3,200;6,418;0,002
3,250;6,338;0,003
3,300;6,315;0,002
3,350;6,315;0,003
3,400;6,315;0,002
3,450;6,315;0,003
3,500;6,315;0,002
3,550;6,315;0,003
3,600;6,315;0,002
3,650;6,315;0,003
3,700;6,315;0,002
3,750;6,315;0,003
3,800;6,314;0,001
3,850;6,314;0,002
3,900;6,314;0,002
3,950;6,314;0,003
4,000;6,315;0,002
4,050;6,314;0,003
4,100;6,314;0,002
4,150;6,300;0,003
4,200;6,152;0,002
4,250;6,100;0,003
4,300;6,099;0,001
4,350;6,099;0,002
4,400;6,099;0,002
4,450;6,080;0,003
4,500;6,072;0,002
4,550;6,058;0,003
4,600;6,040;0,002
4,650;6,030;0,003
4,700;6,013;0,002
4,750;6,009;0,003
4,800;5,990;0,002
4,850;5,988;0,003
4,900;5,973;0,002
4,950;5,973;0,003
5,000;5,973;0,002
5,050;5,973;0,003
5,100;5,973;0,002
5,150;5,972;0,002
5,200;5,972;0,001
5,250;5,973;0,003
5,300;5,973;0,002
5,350;5,973;0,003
5,400;5,973;0,002
5,450;5,973;0,003
5,500;5,973;0,002
5,550;5,973;0,003
5,600;5,973;0,002
5,650;5,973;0,003
5,700;5,963;0,002
5,750;5,953;0,003
5,800;5,947;0,002
5,850;5,945;0,003
5,900;5,945;0,002
5,950;5,945;0,003
6,000;5,946;0,002
6,050;5,945;0,003
6,100;5,946;0,002
6,150;5,945;0,002
6,200;5,945;0,002
6,250;5,945;0,003
6,300;5,935;0,002
6,350;5,943;0,002
6,400;5,944;0,002
6,450;5,943;0,003
6,500;5,943;0,001
6,550;5,942;0,003
6,600;5,942;0,001
6,650;5,942;0,003
6,700;5,942;0,001
6,750;5,941;0,003
6,800;5,935;0,001
6,850;5,933;0,003
6,900;5,933;0,002
6,950;5,929;0,002
7,000;5,921;0,002
7,050;5,920;0,003
7,100;5,919;0,002
7,150;5,907;0,003
7,200;5,880;0,002
7,250;5,865;0,003
7,300;5,865;0,002
7,350;5,844;0,003
7,400;5,840;0,002
7,450;5,839;0,002
7,500;5,839;0,002
7,550;5,839;0,002
7,600;5,840;0,002
7,650;5,840;0,002
7,700;5,840;0,002
7,750;5,839;0,002
7,800;5,840;0,001
7,850;5,839;0,002
7,900;5,839;0,002
7,950;5,839;0,002
8,000;5,839;0,002
8,050;5,839;0,002
8,100;5,839;0,002
8,150;5,842;0,003
8,200;5,843;0,002
8,250;5,842;0,002
8,300;5,831;0,002
8,350;5,804;0,002
8,400;5,770;0,001
8,450;5,749;0,002
8,500;5,740;0,001
8,550;5,726;0,003
8,600;5,712;0,001
8,650;5,706;0,003
8,700;5,689;0,002
8,750;5,664;0,003
8,800;5,662;0,001
8,850;5,646;0,003
8,900;5,640;0,002
8,950;5,636;0,003
9,000;5,615;0,002
9,050;5,615;0,003
9,100;5,599;0,002
9,150;5,582;0,002
9,200;5,570;0,002
9,250;5,564;0,002
9,300;5,548;0,002
9,350;5,522;0,002
9,400;5,503;0,002
9,450;5,476;0,002
9,500;5,462;0,002
9,550;5,442;0,002
9,600;5,442;0,001
9,650;5,442;0,002
9,700;5,442;0,002
