Zeit (s) Messreihe #9	Spannung, Ch A (V) Messreihe #9	Spannung, Ch B (V) Messreihe #9
0,000	6,653	-7,998E-4
0,050	6,652	-0,002
0,100	6,653	-0,001
0,150	6,652	-0,002
0,200	6,652	-8,547E-4
0,250	6,652	-0,002
0,300	6,652	-0,001
0,350	6,652	-0,002
0,400	6,652	-8,328E-4
0,450	6,651	-0,001
0,500	6,643	-0,001
0,550	6,628	-0,002
0,600	6,614	-8,889E-4
0,650	6,605	-0,002
0,700	6,594	-7,754E-4
0,750	6,576	-0,002
0,800	6,554	-8,096E-4
0,850	6,532	-0,002
0,900	6,515	-9,670E-4
0,950	6,494	-0,002
1,000	6,477	-0,001
1,050	6,461	-0,002
1,100	6,447	-0,001
1,150	6,430	-0,001
1,200	6,413	-9,011E-4
1,250	6,392	-0,001
1,300	6,371	-9,438E-4
1,350	6,353	-0,002
1,400	6,338	-0,001
1,450	6,320	-0,002
1,500	6,303	-0,001
1,550	6,286	-0,002
1,600	6,269	-0,001
1,650	6,249	-0,002
1,700	6,231	-0,001
1,750	6,216	-0,002
1,800	6,200	-0,001
1,850	6,179	-0,001
1,900	6,155	-0,001
1,950	6,131	-0,001
2,000	6,114	-9,475E-4
2,050	6,097	-0,002
2,100	6,081	-0,001
2,150	6,061	-0,002
2,200	6,039	-0,001
2,250	6,016	-0,002
2,300	5,996	-0,001
2,350	5,978	-0,002
2,400	5,960	-0,001
2,450	5,942	-0,001
2,500	5,919	-0,001
2,550	5,894	-0,002
2,600	5,872	-0,001
2,650	5,858	-0,002
2,700	5,849	-0,001
2,750	5,836	-0,002
2,800	5,823	-0,001
2,850	5,807	-0,001
2,900	5,799	-0,001
2,950	5,793	-0,002
3,000	5,785	-0,001
3,050	5,777	-0,002
3,100	5,768	-9,646E-4
3,150	5,759	-0,002
3,200	5,746	-0,001
3,250	5,724	-0,002
3,300	5,696	-0,001
3,350	5,669	-0,002
3,400	5,643	-0,001
3,450	5,615	-0,002
3,500	5,585	-0,001
3,550	5,551	-0,001
3,600	5,515	-0,001
3,650	5,483	-0,002
3,700	5,457	-0,001
3,750	5,435	-0,001
3,800	5,415	-0,001
3,850	5,391	-0,002
3,900	5,364	-0,001
3,950	5,336	-0,002
4,000	5,309	-0,001
4,050	5,283	-0,002
4,100	5,260	-0,001
4,150	5,236	-0,002
4,200	5,212	-0,001
4,250	5,184	-0,002
4,300	5,161	-0,002
4,350	5,142	-0,002
4,400	5,123	-0,001
4,450	5,101	-0,002
4,500	5,080	-0,002
4,550	5,058	-0,002
4,600	5,040	-0,001
4,650	5,019	-0,002
4,700	4,997	-0,001
4,750	4,976	-0,002
4,800	4,956	-0,001
4,850	4,936	-0,002
4,900	4,914	-0,001
4,950	4,886	-0,002
5,000	4,855	-0,001
5,050	4,820	-0,002
5,100	4,788	-0,001
5,150	4,757	-0,002
5,200	4,729	-0,001
5,250	4,700	-0,002
