Zeit (s) Messreihe #2	Spannung, Ch A (V) Messreihe #2	Spannung, Ch B (V) Messreihe #2
0,000	6,687	-0,004
0,050	6,687	-0,004
0,100	6,686	-0,004
0,150	6,687	-0,004
0,200	6,686	-0,004
0,250	6,687	-0,004
0,300	6,686	-0,005
0,350	6,687	-0,003
0,400	6,686	-0,004
0,450	6,687	-0,004
0,500	6,686	-0,004
0,550	6,687	-0,004
0,600	6,686	-0,004
0,650	6,686	-0,004
0,700	6,686	-0,004
0,750	6,687	-0,004
0,800	6,686	-0,005
0,850	6,687	-0,004
0,900	6,686	-0,004
0,950	6,687	-0,004
1,000	6,686	-0,004
1,050	6,686	-0,004
1,100	6,686	-0,005
1,150	6,686	-0,004
1,200	6,687	-0,004
1,250	6,687	-0,004
1,300	6,687	-0,004
1,350	6,687	-0,004
1,400	6,687	-0,004
1,450	6,687	-0,004
1,500	6,687	-0,004
1,550	6,687	-0,004
1,600	6,686	-0,004
1,650	6,686	-0,004
1,700	6,686	-0,004
1,750	6,686	-0,004
1,800	6,686	-0,004
1,850	6,686	-0,004
1,900	6,686	-0,005
1,950	6,686	-0,004
2,000	6,684	-0,004
2,050	6,669	-0,004
2,100	6,652	-0,005
2,150	6,636	-0,004
2,200	6,626	-0,005
2,250	6,621	-0,004
2,300	6,618	-0,005
2,350	6,616	-0,004
2,400	6,608	-0,005
2,450	6,601	-0,005
2,500	6,599	-0,005
2,550	6,598	-0,004
2,600	6,593	-0,005
2,650	6,585	-0,005
2,700	6,578	-0,005
2,750	6,569	-0,005
2,800	6,561	-0,005
2,850	6,553	-0,005
2,900	6,548	-0,005
2,950	6,545	-0,005
3,000	6,539	-0,005
3,050	6,532	-0,005
3,100	6,529	-0,005
3,150	6,521	-0,005
3,200	6,514	-0,006
3,250	6,511	-0,005
3,300	6,509	-0,005
3,350	6,507	-0,005
3,400	6,499	-0,005
3,450	6,494	-0,005
3,500	6,485	-0,006
3,550	6,478	-0,006
3,600	6,474	-0,006
3,650	6,472	-0,006
3,700	6,469	-0,006
3,750	6,461	-0,006
3,800	6,456	-0,006
3,850	6,446	-0,006
3,900	6,440	-0,006
3,950	6,434	-0,006
4,000	6,426	-0,006
4,050	6,418	-0,006
4,100	6,409	-0,006
4,150	6,403	-0,006
4,200	6,393	-0,006
4,250	6,385	-0,006
4,300	6,375	-0,006
4,350	6,368	-0,007
4,400	6,359	-0,006
4,450	6,352	-0,007
4,500	6,348	-0,007
4,550	6,345	-0,006
4,600	6,337	-0,007
4,650	6,332	-0,007
4,700	6,327	-0,007
4,750	6,318	-0,007
4,800	6,313	-0,007
4,850	6,306	-0,007
4,900	6,298	-0,007
4,950	6,288	-0,007
5,000	6,278	-0,007
5,050	6,265	-0,007
5,100	6,251	-0,007
5,150	6,243	-0,007
5,200	6,232	-0,007
5,250	6,224	-0,008
5,300	6,222	-0,008
5,350	6,216	-0,008
5,400	6,208	-0,007
5,450	6,198	-0,008
5,500	6,185	-0,008
5,550	6,174	-0,008
5,600	6,169	-0,008
5,650	6,164	-0,008
5,700	6,156	-0,008
5,750	6,151	-0,008
5,800	6,148	-0,008
5,850	6,140	-0,009
5,900	6,133	-0,008
5,950	6,122	-0,009
6,000	6,116	-0,008
