Zeit (s) Messreihe #13	Spannung, Ch A (V) Messreihe #13	Spannung, Ch B (V) Messreihe #13
0,000	1,000	-0,010
0,050	1,000	-0,011
0,100	1,000	-0,011
0,150	1,000	-0,011
0,200	1,000	-0,011
0,250	1,000	-0,011
0,300	1,000	-0,011
0,350	1,000	-0,011
0,400	1,000	-0,011
0,450	1,000	-0,011
0,500	1,000	-0,011
0,550	1,000	-0,011
0,600	1,000	-0,011
0,650	1,000	-0,011
0,700	1,000	-0,011
0,750	1,000	-0,011
0,800	0,999	-0,011
0,850	0,997	-0,012
0,900	0,995	-0,011
0,950	0,994	-0,011
1,000	0,993	-0,011
1,050	0,992	-0,011
1,100	0,990	-0,011
1,150	0,988	-0,012
1,200	0,986	-0,011
1,250	0,984	-0,012
1,300	0,982	-0,012
1,350	0,982	-0,012
1,400	0,980	-0,012
1,450	0,980	-0,012
1,500	0,980	-0,012
1,550	0,979	-0,012
1,600	0,978	-0,012
1,650	0,976	-0,012
1,700	0,975	-0,012
1,750	0,974	-0,012
1,800	0,973	-0,012
1,850	0,972	-0,012
1,900	0,972	-0,012
1,950	0,971	-0,013
2,000	0,971	-0,012
2,050	0,971	-0,013
2,100	0,970	-0,012
2,150	0,969	-0,013
2,200	0,968	-0,012
2,250	0,967	-0,013
2,300	0,966	-0,012
2,350	0,965	-0,013
2,400	0,964	-0,012
2,450	0,964	-0,013
2,500	0,963	-0,013
2,550	0,963	-0,013
2,600	0,961	-0,013
2,650	0,959	-0,013
2,700	0,958	-0,013
2,750	0,957	-0,013
2,800	0,957	-0,013
2,850	0,956	-0,014
2,900	0,955	-0,013
2,950	0,953	-0,014
3,000	0,950	-0,013
3,050	0,947	-0,014
3,100	0,941	-0,014
3,150	0,937	-0,015
3,200	0,936	-0,014
3,250	0,935	-0,015
3,300	0,935	-0,014
3,350	0,934	-0,015
3,400	0,933	-0,014
3,450	0,931	-0,015
3,500	0,929	-0,014
3,550	0,927	-0,015
3,600	0,924	-0,015
3,650	0,922	-0,015
3,700	0,920	-0,015
3,750	0,918	-0,016
3,800	0,916	-0,015
3,850	0,914	-0,016
3,900	0,913	-0,015
3,950	0,911	-0,016
4,000	0,908	-0,016
4,050	0,907	-0,016
4,100	0,905	-0,016
4,150	0,903	-0,017
4,200	0,901	-0,016
4,250	0,899	-0,017
4,300	0,899	-0,016
4,350	0,899	-0,017
4,400	0,899	-0,016
4,450	0,899	-0,017
4,500	0,899	-0,016
4,550	0,898	-0,017
4,600	0,899	-0,016
4,650	0,898	-0,017
4,700	0,896	-0,017
4,750	0,895	-0,017
4,800	0,894	-0,016
4,850	0,892	-0,017
4,900	0,891	-0,017
4,950	0,888	-0,017
5,000	0,886	-0,017
5,050	0,882	-0,018
5,100	0,877	-0,018
5,150	0,873	-0,019
5,200	0,869	-0,018
5,250	0,866	-0,019
5,300	0,865	-0,019
5,350	0,865	-0,019
5,400	0,864	-0,018
5,450	0,861	-0,019
5,500	0,858	-0,019
5,550	0,855	-0,019
5,600	0,853	-0,019
5,650	0,852	-0,020
5,700	0,850	-0,019
5,750	0,847	-0,020
5,800	0,844	-0,020
5,850	0,841	-0,020
5,900	0,839	-0,020
5,950	0,837	-0,021
6,000	0,834	-0,021
6,050	0,832	-0,021
6,100	0,830	-0,021
6,150	0,830	-0,021
6,200	0,830	-0,021
6,250	0,829	-0,022
6,300	0,830	-0,021
6,350	0,830	-0,021
6,400	0,830	-0,021
6,450	0,830	-0,021
6,500	0,830	-0,021
6,550	0,830	-0,021
6,600	0,830	-0,021
6,650	0,830	-0,021
6,700	0,830	-0,021
6,750	0,830	-0,021
6,800	0,830	-0,021
6,850	0,829	-0,022
6,900	0,829	-0,021
6,950	0,827	-0,022
7,000	0,827	-0,021
7,050	0,828	-0,022
7,100	0,827	-0,021
7,150	0,825	-0,022
7,200	0,823	-0,021
7,250	0,822	-0,022
7,300	0,820	-0,021
7,350	0,819	-0,022
7,400	0,818	-0,022
7,450	0,818	-0,022
7,500	0,816	-0,022
7,550	0,814	-0,022
7,600	0,812	-0,022
7,650	0,809	-0,023
7,700	0,806	-0,023
7,750	0,803	-0,023
7,800	0,796	-0,023
7,850	0,791	-0,024
7,900	0,788	-0,024
7,950	0,785	-0,024
8,000	0,782	-0,024
8,050	0,778	-0,025
8,100	0,775	-0,025
8,150	0,772	-0,026
8,200	0,770	-0,025
8,250	0,768	-0,026
8,300	0,767	-0,025
8,350	0,766	-0,026
8,400	0,764	-0,026
8,450	0,761	-0,027
8,500	0,759	-0,026
8,550	0,756	-0,027
8,600	0,752	-0,026
8,650	0,749	-0,027
8,700	0,745	-0,027
