Zeit (s) Messreihe #6	Spannung, Ch A (V) Messreihe #6	Spannung, Ch B (V) Messreihe #6
0,000	0,465	0,133
0,050	0,465	0,134
0,100	0,465	0,133
0,150	0,465	0,134
0,200	0,465	0,133
0,250	0,465	0,134
0,300	0,465	0,133
0,350	0,465	0,134
0,400	0,465	0,133
0,450	0,465	0,134
0,500	0,465	0,133
0,550	0,465	0,134
0,600	0,465	0,133
0,650	0,465	0,134
0,700	0,464	0,133
0,750	0,463	0,134
0,800	0,459	0,133
0,850	0,451	0,133
0,900	0,448	0,133
0,950	0,444	0,133
1,000	0,444	0,133
1,050	0,444	0,133
1,100	0,444	0,133
1,150	0,444	0,134
1,200	0,444	0,133
1,250	0,444	0,134
1,300	0,445	0,133
1,350	0,444	0,134
1,400	0,444	0,133
1,450	0,444	0,133
1,500	0,444	0,133
1,550	0,444	0,134
1,600	0,444	0,133
1,650	0,444	0,134
1,700	0,444	0,133
1,750	0,445	0,134
1,800	0,444	0,133
1,850	0,445	0,134
1,900	0,444	0,133
1,950	0,444	0,133
2,000	0,444	0,133
2,050	0,444	0,134
2,100	0,445	0,133
2,150	0,444	0,134
2,200	0,444	0,133
2,250	0,445	0,134
2,300	0,444	0,133
2,350	0,444	0,133
2,400	0,444	0,133
2,450	0,444	0,133
2,500	0,445	0,133
2,550	0,444	0,134
2,600	0,444	0,133
2,650	0,444	0,133
2,700	0,444	0,132
2,750	0,444	0,134
2,800	0,444	0,133
2,850	0,444	0,134
2,900	0,443	0,133
2,950	0,439	0,133
3,000	0,438	0,132
3,050	0,438	0,133
3,100	0,437	0,132
3,150	0,438	0,134
3,200	0,437	0,132
3,250	0,437	0,133
3,300	0,437	0,132
3,350	0,437	0,133
3,400	0,437	0,133
3,450	0,436	0,133
3,500	0,434	0,132
3,550	0,432	0,133
3,600	0,430	0,132
3,650	0,430	0,134
3,700	0,430	0,133
3,750	0,429	0,133
3,800	0,429	0,133
3,850	0,429	0,133
3,900	0,429	0,133
3,950	0,429	0,133
4,000	0,429	0,132
4,050	0,429	0,134
4,100	0,429	0,132
4,150	0,428	0,133
4,200	0,428	0,132
4,250	0,428	0,133
4,300	0,428	0,132
4,350	0,429	0,133
4,400	0,428	0,132
4,450	0,429	0,134
4,500	0,429	0,133
4,550	0,429	0,134
4,600	0,428	0,132
4,650	0,429	0,134
4,700	0,428	0,132
4,750	0,427	0,134
4,800	0,427	0,133
4,850	0,426	0,133
4,900	0,426	0,132
4,950	0,426	0,134
5,000	0,426	0,133
5,050	0,426	0,133
