Zeit (s) Messreihe #4;Spannung, Ch A (V) Messreihe #4;Spannung, Ch B (V) Messreihe #4
0,000;0,218;0,044
0,020;0,224;0,044
0,040;0,230;0,050
0,060;0,237;0,049
0,080;0,242;0,044
0,100;0,247;0,044
0,120;0,254;0,045
0,140;0,260;0,044
0,160;0,266;0,045
0,180;0,272;0,044
0,200;0,278;0,044
0,220;0,284;0,046
0,240;0,290;0,044
0,260;0,296;0,045
0,280;0,302;0,045
0,300;0,307;0,044
0,320;0,313;0,045
0,340;0,318;0,044
0,360;0,325;0,045
0,380;0,331;0,045
0,400;0,336;0,044
0,420;0,342;0,028
0,440;0,348;0,043
0,460;0,354;0,044
0,480;0,360;0,045
0,500;0,366;0,044
0,520;0,372;0,044
0,540;0,378;0,045
0,560;0,384;0,044
0,580;0,390;0,045
0,600;0,395;0,045
0,620;0,401;0,044
0,640;0,407;0,045
0,660;0,413;0,044
0,680;0,419;0,045
0,700;0,425;0,045
0,720;0,431;0,044
0,740;0,437;0,045
0,760;0,443;0,045
0,780;0,449;0,052
0,800;0,455;0,047
0,820;0,460;0,045
0,840;0,467;0,045
0,860;0,473;0,045
0,880;0,479;0,045
0,900;0,484;0,045
0,920;0,490;0,045
0,940;0,496;0,044
0,960;0,502;0,045
0,980;0,508;0,045
1,000;0,514;0,045
1,020;0,520;0,046
1,040;0,526;0,045
1,060;0,532;0,046
1,080;0,538;0,045
1,100;0,544;0,045
1,120;0,550;0,046
1,140;0,555;0,045
1,160;0,561;0,046
1,180;0,567;0,045
1,200;0,573;0,045
1,220;0,579;0,046
1,240;0,585;0,045
1,260;0,591;0,045
1,280;0,597;0,046
1,300;0,603;0,045
1,320;0,608;0,046
1,340;0,615;0,046
1,360;0,620;0,045
1,380;0,626;0,046
1,400;0,632;0,046
1,420;0,637;0,046
1,440;0,643;0,046
1,460;0,649;0,045
1,480;0,655;0,046
1,500;0,661;0,046
1,520;0,667;0,032
1,540;0,673;0,044
1,560;0,679;0,045
1,580;0,684;0,046
1,600;0,690;0,046
1,620;0,697;0,046
1,640;0,702;0,046
1,660;0,708;0,046
1,680;0,714;0,046
1,700;0,720;0,046
1,720;0,726;0,046
1,740;0,732;0,046
1,760;0,737;0,046
1,780;0,743;0,045
1,800;0,749;0,046
1,820;0,756;0,046
1,840;0,761;0,045
1,860;0,767;0,046
1,880;0,773;0,056
1,900;0,779;0,054
1,920;0,785;0,047
1,940;0,791;0,046
1,960;0,797;0,046
1,980;0,803;0,046
2,000;0,808;0,045
2,020;0,814;0,046
2,040;0,820;0,045
2,060;0,826;0,046
2,080;0,832;0,046
2,100;0,838;0,045
2,120;0,844;0,046
2,140;0,850;0,046
2,160;0,856;0,046
2,180;0,861;0,046
2,200;0,868;0,046
2,220;0,873;0,046
2,240;0,879;0,046
2,260;0,885;0,026
2,280;0,891;0,043
2,300;0,897;0,046
2,320;0,903;0,047
2,340;0,909;0,047
2,360;0,915;0,046
2,380;0,921;0,046
2,400;0,927;0,046
2,420;0,932;0,046
2,440;0,938;0,047
2,460;0,944;0,046
2,480;0,950;0,047
2,500;0,956;0,047
2,520;0,961;0,046
2,540;0,967;0,047
2,560;0,973;0,047
2,580;0,979;0,048
2,600;0,985;0,048
2,620;0,991;0,075
2,640;0,997;0,062
2,660;1,002;0,053
2,680;1,008;0,053
2,700;1,014;0,055
2,720;1,020;0,057
2,740;1,026;0,059
2,760;1,032;0,061
2,780;1,038;0,063
2,800;1,044;0,065
2,820;1,050;0,067
2,840;1,056;0,069
2,860;1,061;0,070
2,880;1,068;0,072
2,900;1,073;0,073
2,920;1,079;0,075
2,940;1,085;0,076
2,960;1,091;0,078
2,980;1,097;0,080
3,000;1,103;0,085
3,020;1,108;0,083
3,040;1,114;0,084
3,060;1,121;0,085
3,080;1,126;0,087
3,100;1,132;0,088
3,120;1,138;0,090
3,140;1,144;0,091
3,160;1,150;0,093
3,180;1,156;0,095
3,200;1,162;0,096
3,220;1,168;0,098
3,240;1,174;0,100
3,260;1,179;0,101
3,280;1,185;0,103
3,300;1,191;0,105
3,320;1,197;0,107
3,340;1,203;0,108
3,360;1,209;0,155
3,380;1,214;0,126
3,400;1,221;0,116
3,420;1,226;0,116
3,440;1,232;0,118
3,460;1,238;0,120
3,480;1,244;0,123
3,500;1,250;0,125
3,520;1,255;0,126
3,540;1,261;0,128
3,560;1,267;0,130
3,580;1,272;0,132
3,600;1,279;0,135
3,620;1,285;0,137
3,640;1,290;0,139
3,660;1,296;0,142
3,680;1,302;0,144
3,700;1,308;0,146
3,720;1,314;0,140
3,740;1,320;0,128
3,760;1,326;0,151
3,780;1,331;0,155
3,800;1,338;0,159
3,820;1,344;0,162
3,840;1,349;0,164
3,860;1,355;0,167
3,880;1,360;0,170
3,900;1,366;0,172
3,920;1,373;0,176
3,940;1,379;0,179
3,960;1,384;0,182
3,980;1,390;0,185
4,000;1,396;0,188
4,020;1,402;0,191
4,040;1,408;0,194
4,060;1,414;0,198
4,080;1,420;0,201
4,100;1,425;0,259
4,120;1,432;0,220
4,140;1,437;0,212
4,160;1,443;0,215
4,180;1,449;0,219
4,200;1,455;0,222
4,220;1,461;0,225
4,240;1,467;0,228
4,260;1,472;0,232
4,280;1,478;0,235
4,300;1,484;0,239
4,320;1,490;0,244
4,340;1,496;0,247
4,360;1,502;0,251
4,380;1,508;0,255
4,400;1,513;0,259
4,420;1,520;0,263
4,440;1,525;0,267
4,460;1,532;0,263
4,480;1,537;0,270
4,500;1,543;0,279
4,520;1,549;0,283
4,540;1,555;0,288
4,560;1,560;0,292
4,580;1,566;0,297
4,600;1,572;0,301
4,620;1,578;0,306
4,640;1,584;0,310
4,660;1,589;0,315
4,680;1,595;0,321
4,700;1,601;0,325
4,720;1,607;0,329
4,740;1,613;0,334
4,760;1,619;0,340
4,780;1,624;0,344
4,800;1,631;0,350
4,820;1,636;0,355
4,840;1,643;0,312
4,860;1,648;0,360
4,880;1,654;0,369
4,900;1,660;0,375
4,920;1,665;0,381
4,940;1,672;0,387
4,960;1,677;0,392
4,980;1,683;0,398
5,000;1,689;0,404
5,020;1,695;0,410
5,040;1,701;0,415
5,060;1,707;0,421
5,080;1,713;0,428
5,100;1,718;0,433
