"Zeit (s) Messreihe #17";"Spannung, Ch A (V) Messreihe #17";"Spannung, Ch B (V) Messreihe #17"
0,000;0,002;0,026
0,050;0,002;0,019
0,100;0,002;0,026
0,150;0,002;0,019
0,200;0,003;0,026
0,250;0,003;0,019
0,300;0,003;0,026
0,350;0,003;0,019
0,400;0,002;0,026
0,450;0,002;0,019
0,500;0,003;0,026
0,550;0,003;0,020
0,600;0,777;1,304
0,650;3,073;4,089
0,700;0,019;-0,044
0,750;0,034;-0,001
0,800;0,050;0,021
0,850;0,064;0,023
0,900;0,080;0,033
0,950;0,095;0,030
1,000;0,110;0,038
1,050;0,125;0,034
1,100;0,140;0,042
1,150;0,155;0,036
1,200;0,170;0,043
1,250;0,185;0,038
1,300;0,199;0,044
1,350;0,214;0,038
1,400;0,229;0,045
1,450;0,244;0,040
1,500;0,259;0,045
1,550;0,274;0,041
1,600;0,288;0,046
1,650;0,304;0,042
1,700;0,318;0,047
1,750;0,333;0,042
1,800;0,348;0,047
1,850;0,362;0,043
1,900;0,377;0,047
1,950;0,392;0,044
2,000;0,407;0,048
2,050;0,422;0,044
2,100;0,437;0,048
2,150;0,452;0,045
2,200;0,466;0,049
2,250;0,481;0,046
2,300;0,496;0,049
2,350;0,511;0,046
2,400;0,525;0,050
2,450;0,541;0,047
2,500;0,555;0,050
2,550;0,570;0,048
2,600;0,585;0,051
2,650;0,599;0,048
2,700;0,614;0,051
2,750;0,629;0,049
2,800;0,643;0,052
2,850;0,658;0,049
2,900;0,672;0,052
2,950;0,687;0,050
3,000;0,702;0,052
3,050;0,717;0,051
3,100;0,732;0,053
3,150;0,747;0,051
3,200;0,761;0,053
3,250;0,776;0,052
3,300;0,791;0,053
3,350;0,806;0,052
3,400;0,821;0,054
3,450;0,835;0,053
3,500;0,850;0,054
3,550;0,865;0,054
3,600;0,880;0,055
3,650;0,894;0,054
3,700;0,909;0,055
3,750;0,924;0,055
3,800;0,938;0,056
3,850;0,953;0,056
3,900;0,968;0,056
3,950;0,982;0,057
4,000;0,997;0,058
4,050;1,012;0,062
4,100;1,026;0,066
4,150;1,041;0,070
4,200;1,056;0,073
4,250;1,071;0,077
4,300;1,086;0,080
4,350;1,100;0,084
4,400;1,115;0,086
4,450;1,130;0,090
4,500;1,144;0,092
4,550;1,159;0,096
4,600;1,174;0,099
4,650;1,188;0,103
4,700;1,203;0,106
4,750;1,218;0,111
4,800;1,233;0,113
4,850;1,247;0,120
4,900;1,261;0,122
4,950;1,276;0,129
5,000;1,291;0,131
5,050;1,305;0,138
5,100;1,320;0,141
5,150;1,335;0,149
5,200;1,350;0,152
5,250;1,364;0,161
5,300;1,379;0,164
5,350;1,394;0,173
5,400;1,409;0,177
5,450;1,423;0,187
5,500;1,438;0,191
5,550;1,453;0,201
5,600;1,467;0,205
5,650;1,482;0,217
5,700;1,497;0,221
5,750;1,512;0,234
5,800;1,526;0,238
5,850;1,541;0,251
5,900;1,556;0,256
5,950;1,570;0,270
6,000;1,584;0,274
6,050;1,599;0,290
6,100;1,614;0,295
6,150;1,629;0,312
6,200;1,643;0,317
6,250;1,658;0,335
6,300;1,673;0,341
6,350;1,687;0,359
6,400;1,702;0,366
6,450;1,716;0,385
6,500;1,731;0,392
6,550;1,746;0,412
6,600;1,761;0,418
6,650;1,775;0,438
6,700;1,790;0,442
6,750;1,804;0,459
6,800;1,819;0,459
6,850;1,834;0,472
6,900;1,848;0,465
6,950;1,863;0,473
7,000;1,877;0,463
7,050;1,891;0,470
7,100;1,906;0,460
7,150;1,921;0,465
7,200;1,936;0,453
7,250;1,950;0,455
7,300;1,965;0,439
7,350;1,979;0,439
7,400;1,994;0,420
7,450;2,009;0,418
7,500;2,024;0,396
7,550;2,038;0,393
7,600;2,053;0,370
7,650;2,067;0,366
7,700;2,082;0,343
7,750;2,097;0,338
7,800;2,111;0,314
7,850;2,126;0,309
7,900;2,141;0,286
7,950;2,155;0,279
8,000;2,170;0,256
8,050;2,184;0,251
8,100;2,199;0,228
8,150;2,213;0,222
8,200;2,228;0,199
8,250;2,243;0,194
8,300;2,257;0,171
8,350;2,272;0,165
8,400;2,287;0,142
8,450;2,301;0,135
8,500;2,316;0,113
8,550;2,330;0,106
8,600;2,345;0,083
8,650;2,359;0,076
8,700;2,374;0,054
8,750;2,389;0,048
8,800;2,403;0,029
8,850;2,418;0,024
8,900;2,433;0,006
8,950;2,448;0,005
9,000;2,462;-0,011
9,050;2,476;-0,012
9,100;2,491;-0,026
9,150;2,505;-0,025
9,200;2,520;-0,039
9,250;2,535;-0,035
9,300;2,549;-0,048
9,350;2,564;-0,044
9,400;2,579;-0,056
9,450;2,593;-0,052
9,500;2,608;-0,062
9,550;2,622;-0,057
9,600;2,637;-0,067
9,650;2,652;-0,061
9,700;2,666;-0,070
9,750;2,681;-0,061
9,800;2,696;-0,066
9,850;2,710;-0,046
9,900;2,725;-0,030
9,950;2,739;0,026
10,000;2,754;0,090
10,050;2,769;0,190
10,100;2,783;0,259
10,150;2,798;0,344
10,200;2,812;0,390
10,250;2,826;0,458
10,300;2,841;0,492
10,350;2,855;0,552
10,400;2,870;0,581
10,450;2,884;0,644
10,500;2,899;0,682
10,550;2,914;0,764
10,600;2,928;0,821
10,650;2,943;0,919
10,700;2,958;0,981
10,750;2,972;1,077
10,800;2,987;1,129
10,850;3,001;1,216
10,900;3,016;1,262
10,950;3,030;1,347
11,000;3,045;1,395
11,050;3,059;1,483
11,100;3,074;1,532
11,150;3,089;1,623
11,200;3,103;1,673
11,250;3,117;1,763
11,300;3,132;1,812
11,350;3,146;1,904
11,400;3,160;1,951
11,450;3,175;2,042
11,500;3,189;2,089
11,550;3,204;2,182
11,600;3,218;2,229
11,650;3,233;2,322
11,700;3,248;2,370
11,750;3,262;2,465
11,800;3,277;2,515
11,850;3,292;2,611
11,900;3,306;2,660
11,950;3,321;2,758
12,000;3,335;2,807
12,050;3,350;2,906
12,100;3,364;2,955
12,150;3,379;3,054
12,200;3,393;3,104
12,250;3,408;3,206
12,300;3,422;3,254
12,350;3,437;3,356
12,400;3,451;3,404
12,450;3,466;3,505
12,500;3,480;3,549
12,550;3,495;3,644
12,600;3,509;3,679
12,650;3,524;3,764
12,700;3,538;3,786
12,750;3,552;3,856
12,800;3,567;3,860
12,850;3,581;3,911
12,900;3,596;3,896
12,950;3,610;3,934
13,000;3,625;3,912
13,050;3,639;3,947
13,100;3,654;3,923
13,150;3,669;3,955
13,200;3,683;3,923
13,250;3,698;3,946
13,300;3,712;3,903
13,350;3,727;3,915
13,400;3,741;3,862
13,450;3,755;3,863
13,500;3,770;3,799
13,550;3,784;3,790
13,600;3,798;3,719
13,650;3,813;3,707
13,700;3,827;3,635
13,750;3,842;3,619
13,800;3,857;3,545
13,850;3,871;3,526
13,900;3,886;3,447
13,950;3,900;3,423
14,000;3,915;3,339
14,050;3,929;3,311
14,100;3,944;3,223
14,150;3,958;3,190
14,200;3,973;3,098
14,250;3,987;3,060
14,300;4,002;2,963
14,350;4,016;2,919
14,400;4,031;2,815
14,450;4,045;2,764
14,500;4,059;2,654
14,550;4,073;2,595
14,600;4,088;2,479
14,650;4,102;2,414
14,700;4,117;2,292
14,750;4,131;2,222
14,800;4,146;2,098
14,850;4,160;2,025
14,900;4,175;1,899
14,950;4,189;1,824
15,000;4,203;1,696
15,050;4,218;1,620
15,100;4,232;1,491
15,150;4,247;1,413
15,200;4,262;1,285
15,250;4,277;1,207
15,300;4,290;1,078
15,350;4,305;1,000
15,400;4,319;0,872
15,450;4,334;0,794
15,500;4,349;0,672
15,550;4,363;0,604
15,600;4,377;0,505
15,650;4,391;0,482
15,700;4,405;0,458
15,750;4,420;0,526
15,800;4,434;0,576
15,850;4,448;0,674
15,900;4,463;0,704
15,950;4,478;0,757
16,000;4,492;0,741
16,050;4,506;0,758
16,100;4,521;0,717
16,150;4,535;0,720
16,200;4,550;0,675
16,250;4,564;0,684
16,300;4,579;0,665
16,350;4,593;0,724
16,400;4,607;0,768
16,450;4,622;0,888
16,500;4,636;0,968
16,550;4,651;1,094
16,600;4,665;1,155
16,650;4,680;1,253
16,700;4,693;1,288
16,750;4,708;1,375
16,800;4,722;1,411
16,850;4,737;1,507
16,900;4,751;1,556
16,950;4,766;1,668
17,000;4,780;1,732
17,050;4,794;1,859
17,100;4,809;1,936
17,150;4,823;2,072
17,200;4,838;2,154
17,250;4,852;2,294
17,300;4,866;2,374
17,350;4,881;2,513
17,400;4,895;2,595
17,450;4,910;2,740
17,500;4,924;2,829
17,550;4,939;2,985
17,600;4,953;3,083
